college_name,placement_year,programme,branch,record_scope,graduating_students,eligible_students,registered_students,students_placed,placement_percentage,higher_studies_count,median_package_lpa,average_package_lpa,highest_domestic_package_lpa,highest_international_package_lpa,internship_count,ppo_count,average_stipend,highest_stipend,source_type,source_id,source_page,notes
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",2022-23,UG 4-year,All applicable programmes,overall NIRF graduating cohort,82,,,71,86.59,10,22.2,,,,,,,,NIRF-reported,SRC013,1-2,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",2023-24,UG 4-year,All applicable programmes,overall NIRF graduating cohort,73,,,54,73.97,18,22.0,,,,,,,,NIRF-reported,SRC013,1-2,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",2024-25,UG 4-year,All applicable programmes,overall NIRF graduating cohort,73,,,73,100.0,0,24.7,,,,,,,,NIRF-reported,SRC013,1-2,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",2022-23,PG-Integrated 5-year,All applicable programmes,overall NIRF graduating cohort,95,,,82,86.32,11,24.01,,,,,,,,NIRF-reported,SRC013,1-2,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",2023-24,PG-Integrated 5-year,All applicable programmes,overall NIRF graduating cohort,110,,,83,75.45,25,22.0,,,,,,,,NIRF-reported,SRC013,1-2,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",2024-25,PG-Integrated 5-year,All applicable programmes,overall NIRF graduating cohort,104,,,89,85.58,15,19.63,,,,,,,,NIRF-reported,SRC013,1-2,
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",2024-25,B.Tech. CS/IT group,All applicable programmes,branch-group college brochure record,,,,,,,,27.23,67.5,,,,,,college-reported,SRC009,74-76,Average and maximum CTC reported; placement count not provided for this group.
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",2024-25,Integrated B.Tech.+M.Tech. IT,All applicable programmes,programme college brochure record,,,,,,,,29.59,65.0,,,,,,college-reported,SRC009,74-76,Average and maximum CTC reported; placement count not provided.
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",2024-25,Integrated B.Tech.+MBA,All applicable programmes,programme college brochure record,,,,,,,,28.49,54.0,,,,,,college-reported,SRC009,74-76,Average and maximum CTC reported; placement count not provided.
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",2024-25,All placement-participating programmes,Overall,college brochure: students meeting stated 6+ CGPA eligibility,,,,,90.0,,,,67.5,,,,,,college-reported,SRC009,74-76,"Brochure reports 90% placement for students with 6+ CGPA, 150+ summer internships, 80+ companies, 50 offers above 30 LPA and 19 offers at 50+ LPA. Scope differs from NIRF cohorts."
