college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",Google,2024-25,,Role not specified in official brochure,Not officially stated,Full-time/internship/PPO - unspecified,officially listed for year,,,SRC009,"Company appears in the institute-published 2024-25 recruiter list; role, branch eligibility and selection count were not inferred.",C
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",D. E. Shaw,2024-25,,Role not specified in official brochure,Not officially stated,Full-time/internship/PPO - unspecified,officially listed for year,,,SRC009,"Company appears in the institute-published 2024-25 recruiter list; role, branch eligibility and selection count were not inferred.",C
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",Intuit,2024-25,,Role not specified in official brochure,Not officially stated,Full-time/internship/PPO - unspecified,officially listed for year,,,SRC009,"Company appears in the institute-published 2024-25 recruiter list; role, branch eligibility and selection count were not inferred.",C
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",Amazon,2024-25,,Role not specified in official brochure,Not officially stated,Full-time/internship/PPO - unspecified,officially listed for year,,,SRC009,"Company appears in the institute-published 2024-25 recruiter list; role, branch eligibility and selection count were not inferred.",C
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",Microsoft,2024-25,,Role not specified in official brochure,Not officially stated,Full-time/internship/PPO - unspecified,officially listed for year,,,SRC009,"Company appears in the institute-published 2024-25 recruiter list; role, branch eligibility and selection count were not inferred.",C
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",Nutanix,2024-25,,Role not specified in official brochure,Not officially stated,Full-time/internship/PPO - unspecified,officially listed for year,,,SRC009,"Company appears in the institute-published 2024-25 recruiter list; role, branch eligibility and selection count were not inferred.",C
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",Samsung R&D,2024-25,,Role not specified in official brochure,Not officially stated,Full-time/internship/PPO - unspecified,officially listed for year,,,SRC009,"Company appears in the institute-published 2024-25 recruiter list; role, branch eligibility and selection count were not inferred.",C
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",Samsung SDS,2024-25,,Role not specified in official brochure,Not officially stated,Full-time/internship/PPO - unspecified,officially listed for year,,,SRC009,"Company appears in the institute-published 2024-25 recruiter list; role, branch eligibility and selection count were not inferred.",C
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",IBM,2024-25,,Role not specified in official brochure,Not officially stated,Full-time/internship/PPO - unspecified,officially listed for year,,,SRC009,"Company appears in the institute-published 2024-25 recruiter list; role, branch eligibility and selection count were not inferred.",C
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",Ericsson R&D,2024-25,,Role not specified in official brochure,Not officially stated,Full-time/internship/PPO - unspecified,officially listed for year,,,SRC009,"Company appears in the institute-published 2024-25 recruiter list; role, branch eligibility and selection count were not inferred.",C
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",Synopsys,2024-25,,Role not specified in official brochure,Not officially stated,Full-time/internship/PPO - unspecified,officially listed for year,,,SRC009,"Company appears in the institute-published 2024-25 recruiter list; role, branch eligibility and selection count were not inferred.",C
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",Media.net,2024-25,,Role not specified in official brochure,Not officially stated,Full-time/internship/PPO - unspecified,officially listed for year,,,SRC009,"Company appears in the institute-published 2024-25 recruiter list; role, branch eligibility and selection count were not inferred.",C
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",GoJek,2024-25,,Role not specified in official brochure,Not officially stated,Full-time/internship/PPO - unspecified,officially listed for year,,,SRC009,"Company appears in the institute-published 2024-25 recruiter list; role, branch eligibility and selection count were not inferred.",C
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",Oracle,2024-25,,Role not specified in official brochure,Not officially stated,Full-time/internship/PPO - unspecified,officially listed for year,,,SRC009,"Company appears in the institute-published 2024-25 recruiter list; role, branch eligibility and selection count were not inferred.",C
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",Dell R&D,2024-25,,Role not specified in official brochure,Not officially stated,Full-time/internship/PPO - unspecified,officially listed for year,,,SRC009,"Company appears in the institute-published 2024-25 recruiter list; role, branch eligibility and selection count were not inferred.",C
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",American Express,2024-25,,Role not specified in official brochure,Not officially stated,Full-time/internship/PPO - unspecified,officially listed for year,,,SRC009,"Company appears in the institute-published 2024-25 recruiter list; role, branch eligibility and selection count were not inferred.",C
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",MoEngage,2024-25,,Role not specified in official brochure,Not officially stated,Full-time/internship/PPO - unspecified,officially listed for year,,,SRC009,"Company appears in the institute-published 2024-25 recruiter list; role, branch eligibility and selection count were not inferred.",C
