college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",NIRMAAN,Social responsibility,Official/institution-associated,Student-founded social-responsibility organisation with an official activity log.,https://www.bits-pilani.ac.in/goa/nirmaan-social-responsibility/,Semester activity list published for January–May 2025,2025-05,,,recently active,S020,2026-06-26
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",Electronics and Robotics Club (ERC),Technical/robotics,Official/institution-associated,"Student technical club spanning electronics, machine learning, mechanical design and robotics; founded in 2008.",https://www.bits-pilani.ac.in/goa/electronics-and-robotics-club-erc/,,,,,unable to verify,S021,2026-06-26
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",Center for Entrepreneurial Leadership (CEL),Entrepreneurship,Official/institution-associated,Campus entrepreneurship cell operating under the innovation and incubation ecosystem.,https://www.bits-pilani.ac.in/goa/ciie/,Young Entrepreneurs' Boot Camp 2026 linked to the campus entrepreneurship ecosystem,2026-05,,,active,S026,2026-06-26
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",Quark organising community,Technical festival,Official/institution-associated,"Student-facing science, technology and management festival ecosystem.",https://www.bits-pilani.ac.in/goa/events-festivals/,Current edition details require manual confirmation,,Official page states the festival began in 2006,,unable to verify,S022,2026-06-26
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",Waves organising community,Cultural festival,Official/institution-associated,Campus cultural-festival organising community evidenced in official event archives.,https://www.bits-pilani.ac.in/goa/picture-gallery/,Official archive contains Waves 2022 and earlier editions,2022,,,possibly dormant,S027,2026-06-26
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",Spree organising community,Sports festival,Official/institution-associated,Campus sports-festival organising community evidenced in official event archives.,https://www.bits-pilani.ac.in/goa/picture-gallery/,Official archive contains Spree 2019 and earlier editions,2019,,,possibly dormant,S027,2026-06-26
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",TEDxBITSGoa team,Ideas/event management,Official/institution-associated,Student event team evidenced in the official campus event archive.,https://www.bits-pilani.ac.in/goa/pastseminarsworkshops/,Official archive lists TEDx BITS Goa in January 2020,2020-01,,,possibly dormant,S027,2026-06-26
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",BITScan,Campus media/publication,Official/institution-associated,Officially linked student-activity publication.,https://www.bits-pilani.ac.in/goa/about-us/,,,,,unable to verify,S023,2026-06-26
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",Annual Magazine team,Publication/media,Official/institution-associated,Officially linked campus annual-magazine activity.,https://www.bits-pilani.ac.in/goa/about-us/,,,,,unable to verify,S023,2026-06-26
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",PMP – A Students' Initiative,Student development,Official/institution-associated,Student initiative linked from the official prospective-students section.,https://www.bits-pilani.ac.in/goa/about-us/,,,,,unable to verify,S023,2026-06-26
