college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",,2023,BITSAT,Final published cutoff,Institute counselling,B.E. Chemical,CHE,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,209,BITSAT score (maximum 390),S009,
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",,2023,BITSAT,Final published cutoff,Institute counselling,B.E. Electrical and Electronics,EEE,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,252,BITSAT score (maximum 390),S009,
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",,2023,BITSAT,Final published cutoff,Institute counselling,B.E. Mechanical,ME,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,223,BITSAT score (maximum 390),S009,
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",,2023,BITSAT,Final published cutoff,Institute counselling,B.E. Computer Science,CSE,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,295,BITSAT score (maximum 390),S009,
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",,2023,BITSAT,Final published cutoff,Institute counselling,B.E. Electronics and Instrumentation,E&I,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,244,BITSAT score (maximum 390),S009,
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",,2023,BITSAT,Final published cutoff,Institute counselling,B.E. Electronics and Communication,ECE,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,267,BITSAT score (maximum 390),S009,
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",,2024,BITSAT,Final published cutoff,Institute counselling,B.E. Chemical,CHE,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,239,BITSAT score (maximum 390),S009,
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",,2024,BITSAT,Final published cutoff,Institute counselling,B.E. Electrical and Electronics,EEE,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,278,BITSAT score (maximum 390),S009,
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",,2024,BITSAT,Final published cutoff,Institute counselling,B.E. Mechanical,ME,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,254,BITSAT score (maximum 390),S009,
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",,2024,BITSAT,Final published cutoff,Institute counselling,B.E. Computer Science,CSE,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,301,BITSAT score (maximum 390),S009,
