college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",Acceldata Technology,2023-24,,,,Unknown,confirmed for year,,,S019,"Company appears in the official Goa-campus list of companies visited/recruited for AY 2023-24; no role, package, branch eligibility or selection count is published in this source.",C
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",Accenture,2023-24,,,,Unknown,confirmed for year,,,S019,"Company appears in the official Goa-campus list of companies visited/recruited for AY 2023-24; no role, package, branch eligibility or selection count is published in this source.",C
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",ACKO General Insurance,2023-24,,,,Unknown,confirmed for year,,,S019,"Company appears in the official Goa-campus list of companies visited/recruited for AY 2023-24; no role, package, branch eligibility or selection count is published in this source.",C
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",Adaptoid Labs,2023-24,,,,Unknown,confirmed for year,,,S019,"Company appears in the official Goa-campus list of companies visited/recruited for AY 2023-24; no role, package, branch eligibility or selection count is published in this source.",C
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",Aditya Birla Capital,2023-24,,,,Unknown,confirmed for year,,,S019,"Company appears in the official Goa-campus list of companies visited/recruited for AY 2023-24; no role, package, branch eligibility or selection count is published in this source.",C
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",Aditya Birla Group,2023-24,,,,Unknown,confirmed for year,,,S019,"Company appears in the official Goa-campus list of companies visited/recruited for AY 2023-24; no role, package, branch eligibility or selection count is published in this source.",C
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",Adobe,2023-24,,,,Unknown,confirmed for year,,,S019,"Company appears in the official Goa-campus list of companies visited/recruited for AY 2023-24; no role, package, branch eligibility or selection count is published in this source.",C
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",Aequs Group,2023-24,,,,Unknown,confirmed for year,,,S019,"Company appears in the official Goa-campus list of companies visited/recruited for AY 2023-24; no role, package, branch eligibility or selection count is published in this source.",C
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",Airamatrix,2023-24,,,,Unknown,confirmed for year,,,S019,"Company appears in the official Goa-campus list of companies visited/recruited for AY 2023-24; no role, package, branch eligibility or selection count is published in this source.",C
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",Airbnb,2023-24,,,,Unknown,confirmed for year,,,S019,"Company appears in the official Goa-campus list of companies visited/recruited for AY 2023-24; no role, package, branch eligibility or selection count is published in this source.",C
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",Akaike Technologies,2023-24,,,,Unknown,confirmed for year,,,S019,"Company appears in the official Goa-campus list of companies visited/recruited for AY 2023-24; no role, package, branch eligibility or selection count is published in this source.",C
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",Akash Byju's,2023-24,,,,Unknown,confirmed for year,,,S019,"Company appears in the official Goa-campus list of companies visited/recruited for AY 2023-24; no role, package, branch eligibility or selection count is published in this source.",C
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",Amazon,2023-24,,,,Unknown,confirmed for year,,,S019,"Company appears in the official Goa-campus list of companies visited/recruited for AY 2023-24; no role, package, branch eligibility or selection count is published in this source.",C
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",AMD,2023-24,,,,Unknown,confirmed for year,,,S019,"Company appears in the official Goa-campus list of companies visited/recruited for AY 2023-24; no role, package, branch eligibility or selection count is published in this source.",C
"Birla Institute of Technology & Science, Pilani – K K Birla Goa Campus",American Express,2023-24,,,,Unknown,confirmed for year,,,S019,"Company appears in the official Goa-campus list of companies visited/recruited for AY 2023-24; no role, package, branch eligibility or selection count is published in this source.",C
