college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",BITScan,Campus publication,Official or institution-associated,BITScan is listed through an official or institution-associated Hyderabad-campus source.,https://www.bits-pilani.ac.in/hyderabad/bitscan/,July–December 2025 issue visible,2025-12,,,active,S026,2026-06-27
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Computer Science Association,Technical/departmental,Official or institution-associated,Computer Science Association is listed through an official or institution-associated Hyderabad-campus source.,https://csabphc.github.io/,2025 Freshers Fair referenced,2025,,,recently active,S028,2026-06-27
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Synapsis,Biology/academic,Official or institution-associated,Synapsis is listed through an official or institution-associated Hyderabad-campus source.,https://sites.google.com/hyderabad.bits-pilani.ac.in/synapsis/home,Current event site visible,2025-26,,,recently active,S027,2026-06-27
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Entrepreneurship Cell,Entrepreneurship,Official or institution-associated,Entrepreneurship Cell is listed through an official or institution-associated Hyderabad-campus source.,https://www.bits-pilani.ac.in/hyderabad/e-cell/,,,,,unable to verify,S024,2026-06-27
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Innovation Cell,Innovation/startups,Official or institution-associated,Innovation Cell is listed through an official or institution-associated Hyderabad-campus source.,https://www.bits-pilani.ac.in/hyderabad/innovation-cell/,,,,,unable to verify,S025,2026-06-27
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Dance Club,Cultural,Official or institution-associated,Dance Club is listed through an official or institution-associated Hyderabad-campus source.,https://www.bits-pilani.ac.in/hyderabad/student-welfare-division/,,,,,unable to verify,S004,2026-06-27
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Music Club – Indian,Cultural/music,Official or institution-associated,Music Club – Indian is listed through an official or institution-associated Hyderabad-campus source.,https://www.bits-pilani.ac.in/hyderabad/student-welfare-division/,,,,,unable to verify,S004,2026-06-27
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Music Club – Western,Cultural/music,Official or institution-associated,Music Club – Western is listed through an official or institution-associated Hyderabad-campus source.,https://www.bits-pilani.ac.in/hyderabad/student-welfare-division/,,,,,unable to verify,S004,2026-06-27
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",VFX Club,Creative/technical,Official or institution-associated,VFX Club is listed through an official or institution-associated Hyderabad-campus source.,https://www.bits-pilani.ac.in/hyderabad/student-welfare-division/,,,,,unable to verify,S004,2026-06-27
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Photography Club,Creative/media,Official or institution-associated,Photography Club is listed through an official or institution-associated Hyderabad-campus source.,https://www.bits-pilani.ac.in/hyderabad/student-welfare-division/,,,,,unable to verify,S004,2026-06-27
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Dramatics Club,Cultural/theatre,Official or institution-associated,Dramatics Club is listed through an official or institution-associated Hyderabad-campus source.,https://www.bits-pilani.ac.in/hyderabad/student-welfare-division/,,,,,unable to verify,S004,2026-06-27
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Arts and Deco Club,Creative/design,Official or institution-associated,Arts and Deco Club is listed through an official or institution-associated Hyderabad-campus source.,https://www.bits-pilani.ac.in/hyderabad/student-welfare-division/,,,,,unable to verify,S004,2026-06-27
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",English Language Activities Society,Literary/language,Official or institution-associated,English Language Activities Society is listed through an official or institution-associated Hyderabad-campus source.,https://www.bits-pilani.ac.in/hyderabad/student-welfare-division/,,,,,unable to verify,S004,2026-06-27
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",National Service Scheme,Community service,Official or institution-associated,National Service Scheme is listed through an official or institution-associated Hyderabad-campus source.,https://www.bits-pilani.ac.in/hyderabad/,,,,,unable to verify,S029,2026-06-27
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",ATMOS organising community,Technical festival,Official or institution-associated,ATMOS organising community is listed through an official or institution-associated Hyderabad-campus source.,https://www.bits-pilani.ac.in/hyderabad/events-festivals/,Official archive includes ATMOS 2022,2022,,,possibly dormant,S023,2026-06-27
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Pearl organising community,Cultural festival,Official or institution-associated,Pearl organising community is listed through an official or institution-associated Hyderabad-campus source.,https://www.bits-pilani.ac.in/hyderabad/events-festivals/,Official archive includes Pearl 2018,2018,,,possibly dormant,S023,2026-06-27
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Arena organising community,Sports festival,Official or institution-associated,Arena organising community is listed through an official or institution-associated Hyderabad-campus source.,https://www.bits-pilani.ac.in/hyderabad/events-festivals/,Official archive includes Arena 2018,2018,,,possibly dormant,S023,2026-06-27
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Nirmaan / Ignite community initiative,Community service,Official or institution-associated,Nirmaan / Ignite community initiative is listed through an official or institution-associated Hyderabad-campus source.,https://www.bits-pilani.ac.in/hyderabad/events-festivals/,Official archive includes Ignite 2017,2017,,,possibly dormant,S023,2026-06-27
