college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",,2023,BITSAT,Final published cutoff,Institute counselling,B.E. Chemical,CHE,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,207,BITSAT score (maximum 390),S011,
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",,2023,BITSAT,Final published cutoff,Institute counselling,B.E. Civil,CE,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,204,BITSAT score (maximum 390),S011,
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",,2023,BITSAT,Final published cutoff,Institute counselling,B.E. Electrical and Electronics,EEE,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,251,BITSAT score (maximum 390),S011,
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",,2023,BITSAT,Final published cutoff,Institute counselling,B.E. Mechanical,ME,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,218,BITSAT score (maximum 390),S011,
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",,2023,BITSAT,Final published cutoff,Institute counselling,B.E. Computer Science,CSE,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,284,BITSAT score (maximum 390),S011,
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",,2023,BITSAT,Final published cutoff,Institute counselling,B.E. Electronics and Instrumentation,E&I,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,244,BITSAT score (maximum 390),S011,
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",,2023,BITSAT,Final published cutoff,Institute counselling,B.E. Electronics and Communication,ECE,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,265,BITSAT score (maximum 390),S011,
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",,2024,BITSAT,Final published cutoff,Institute counselling,B.E. Chemical,CHE,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,238,BITSAT score (maximum 390),S011,
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",,2024,BITSAT,Final published cutoff,Institute counselling,B.E. Civil,CE,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,235,BITSAT score (maximum 390),S011,
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",,2024,BITSAT,Final published cutoff,Institute counselling,B.E. Electrical and Electronics,EEE,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,275,BITSAT score (maximum 390),S011,
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",,2024,BITSAT,Final published cutoff,Institute counselling,B.E. Mechanical,ME,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,251,BITSAT score (maximum 390),S011,
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",,2024,BITSAT,Final published cutoff,Institute counselling,B.E. Computer Science,CSE,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,298,BITSAT score (maximum 390),S011,
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",,2024,BITSAT,Final published cutoff,Institute counselling,B.E. Electronics and Instrumentation,E&I,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,270,BITSAT score (maximum 390),S011,
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",,2024,BITSAT,Final published cutoff,Institute counselling,B.E. Electronics and Communication,ECE,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,284,BITSAT score (maximum 390),S011,
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",,2024,BITSAT,Final published cutoff,Institute counselling,B.E. Mathematics and Computing,MnC,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,293,BITSAT score (maximum 390),S011,
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",,2025,BITSAT,Final published cutoff,Institute counselling,B.E. Chemical,CHE,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,205,BITSAT score (maximum 390),S011,
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",,2025,BITSAT,Final published cutoff,Institute counselling,B.E. Civil,CE,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,203,BITSAT score (maximum 390),S011,
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",,2025,BITSAT,Final published cutoff,Institute counselling,B.E. Electrical and Electronics,EEE,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,239,BITSAT score (maximum 390),S011,
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",,2025,BITSAT,Final published cutoff,Institute counselling,B.E. Mechanical,ME,Not differentiated in official final-score table,Not applicable; score-based publication,Not differentiated; no domicile quota table published,Not differentiated,,,,214,BITSAT score (maximum 390),S011,
