college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Acceldata Technology,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Accenture,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",ACKO General Insurance,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Adaptoid Labs,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Aditya Birla Capital,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Aditya Birla Group,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Adobe,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Aequs Group,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Airamatrix,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Airbnb,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Akaike Technologies,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Akash Byju's,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Amazon,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",AMD,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",American Express,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Amuse Labs,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Analytics Quad 4,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Anand Group,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Andromeda Security,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Apple,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Arcesium,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Arista Networks,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Arre,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Arup,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Asian Paints PPG Ltd.,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Aspect Ratio,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Axtria,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Axxela,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Barclays,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
"Birla Institute of Technology & Science, Pilani – Hyderabad Campus",Beyond Cloud Consulting,2023-24,,,,Unknown,confirmed for year,,,S007,"Official list confirms participation; role, branch eligibility, package and selection count are not published.",C
