college_name,official_branch_name,normalized_branch,degree,duration_years,approved_intake,female_supernumerary_seats,tfws_seats,nba_status,academic_year,source_id
"Birla Institute of Technology & Science, Pilani",B.E. Chemical,CHE,B.E.,4,,,,,2026-27,S007
"Birla Institute of Technology & Science, Pilani",B.E. Civil,CE,B.E.,4,,,,,2026-27,S007
"Birla Institute of Technology & Science, Pilani",B.E. Computer Science,CSE,B.E.,4,,,,,2026-27,S007
"Birla Institute of Technology & Science, Pilani",B.E. Electrical and Electronics,EEE,B.E.,4,,,,,2026-27,S007
"Birla Institute of Technology & Science, Pilani",B.E. Electronics and Instrumentation,E&I,B.E.,4,,,,,2026-27,S007
"Birla Institute of Technology & Science, Pilani",B.E. Electronics and Communication,ECE,B.E.,4,,,,,2026-27,S007
"Birla Institute of Technology & Science, Pilani",B.E. Mathematics and Computing,MnC,B.E.,4,,,,,2026-27,S007
"Birla Institute of Technology & Science, Pilani",B.E. Mechanical,ME,B.E.,4,,,,,2026-27,S007
"Birla Institute of Technology & Science, Pilani",B.E. Manufacturing Engineering,MFG,B.E.,4,,,,,2026-27,S007
"Birla Institute of Technology & Science, Pilani",B.E. Environmental and Sustainability Engineering,ESE,B.E.,4,,,,,2026-27,S007
"Birla Institute of Technology & Science, Pilani",B.E. Pharmaceutical Engineering,PHE,B.E.,4,,,,,2026-27,S007
