college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
"Birla Institute of Technology & Science, Pilani",English Press Club,Media/literary,Official/institution-associated,Officially listed student organization; current detailed activity was not independently verified.,https://www.bits-pilani.ac.in/clubs/,,,,,unable to verify,S030,2026-06-26
"Birla Institute of Technology & Science, Pilani",Hindi Drama Club,Performing arts,Official/institution-associated,Officially listed student organization; current detailed activity was not independently verified.,https://www.bits-pilani.ac.in/clubs/,,,,,unable to verify,S030,2026-06-26
"Birla Institute of Technology & Science, Pilani",Music Club,Performing arts,Official/institution-associated,Officially listed student organization; current detailed activity was not independently verified.,https://www.bits-pilani.ac.in/clubs/,,,,,unable to verify,S030,2026-06-26
"Birla Institute of Technology & Science, Pilani",Hindi Press Club,Media/literary,Official/institution-associated,Officially listed student organization; current detailed activity was not independently verified.,https://www.bits-pilani.ac.in/clubs/,,,,,unable to verify,S030,2026-06-26
"Birla Institute of Technology & Science, Pilani",BITS Pilani Consulting Club,Consulting/career,Official/institution-associated,Officially listed student organization; current detailed activity was not independently verified.,https://www.bits-pilani.ac.in/clubs/,,,,,unable to verify,S030,2026-06-26
"Birla Institute of Technology & Science, Pilani",Astro Club,Science/astronomy,Official/institution-associated,Astronomy and observational-science student organization.,https://www.bits-pilani.ac.in/clubs/,Recent astronomy-related activity referenced in an official BITSology publication,2025-10-22,,,recently active,S031,2026-06-26
"Birla Institute of Technology & Science, Pilani",Gurukul,Cultural/learning,Official/institution-associated,Officially listed student organization; current detailed activity was not independently verified.,https://www.bits-pilani.ac.in/clubs/,,,,,unable to verify,S030,2026-06-26
"Birla Institute of Technology & Science, Pilani",Fashion Club,Fashion/creative,Official/institution-associated,Officially listed student organization; current detailed activity was not independently verified.,https://www.bits-pilani.ac.in/clubs/,,,,,unable to verify,S030,2026-06-26
"Birla Institute of Technology & Science, Pilani",Poetry Club,Literary,Official/institution-associated,Officially listed student organization; current detailed activity was not independently verified.,https://www.bits-pilani.ac.in/clubs/,,,,,unable to verify,S030,2026-06-26
"Birla Institute of Technology & Science, Pilani",Renewable Energy Club,Technical/sustainability,Official/institution-associated,Officially listed student organization; current detailed activity was not independently verified.,https://www.bits-pilani.ac.in/clubs/,,,,,unable to verify,S030,2026-06-26
"Birla Institute of Technology & Science, Pilani",Film Making Club,Film/media,Official/institution-associated,Officially listed student organization; current detailed activity was not independently verified.,https://www.bits-pilani.ac.in/clubs/,,,,,unable to verify,S030,2026-06-26
"Birla Institute of Technology & Science, Pilani",The BITS Review,Publication/media,Official/institution-associated,Officially listed student organization; current detailed activity was not independently verified.,https://www.bits-pilani.ac.in/clubs/,,,,,unable to verify,S030,2026-06-26
"Birla Institute of Technology & Science, Pilani",SOVESA,Social service,Official/institution-associated,Officially listed student organization; current detailed activity was not independently verified.,https://www.bits-pilani.ac.in/clubs/,,,,,unable to verify,S030,2026-06-26
"Birla Institute of Technology & Science, Pilani",Photography Club,Photography/media,Official/institution-associated,Officially listed student organization; current detailed activity was not independently verified.,https://www.bits-pilani.ac.in/clubs/,,,,,unable to verify,S030,2026-06-26
"Birla Institute of Technology & Science, Pilani",Debating Society,Debate/literary,Official/institution-associated,Officially listed student organization; current detailed activity was not independently verified.,https://www.bits-pilani.ac.in/clubs/,,,,,unable to verify,S030,2026-06-26
"Birla Institute of Technology & Science, Pilani",BITS Karaoke Club,Music,Official/institution-associated,Officially listed student organization; current detailed activity was not independently verified.,https://www.bits-pilani.ac.in/clubs/,,,,,unable to verify,S030,2026-06-26
"Birla Institute of Technology & Science, Pilani",Media Relations Club,Media/communications,Official/institution-associated,Officially listed student organization; current detailed activity was not independently verified.,https://www.bits-pilani.ac.in/clubs/,,,,,unable to verify,S030,2026-06-26
"Birla Institute of Technology & Science, Pilani",Comedy Hub BITS Pilani,Comedy/performing arts,Official/institution-associated,Officially listed student organization; current detailed activity was not independently verified.,https://www.bits-pilani.ac.in/clubs/,,,,,unable to verify,S030,2026-06-26
"Birla Institute of Technology & Science, Pilani",Coding Club,Technical/coding,Official/institution-associated,Technical student organization featured in recent institution material.,https://www.bits-pilani.ac.in/clubs/,Featured in the official 2024-25 placement brochure,2024,,,recently active,S022,2026-06-26
"Birla Institute of Technology & Science, Pilani",Team Anant,Technical/aerospace,Official/institution-associated,Technical student organization featured in recent institution material.,https://www.bits-pilani.ac.in/clubs/,Featured in the official 2024-25 placement brochure,2024,,,recently active,S022,2026-06-26
