college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
"Birla Institute of Technology & Science, Pilani",,2023,BITSAT,Final published cutoff,Institute counselling,B.E. Chemical,CHE,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,224,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2023,BITSAT,Final published cutoff,Institute counselling,B.E. Civil,CE,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,213,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2023,BITSAT,Final published cutoff,Institute counselling,B.E. Electrical and Electronics,EEE,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,272,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2023,BITSAT,Final published cutoff,Institute counselling,B.E. Mechanical,ME,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,244,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2023,BITSAT,Final published cutoff,Institute counselling,B.E. Computer Science,CSE,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,331,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2023,BITSAT,Final published cutoff,Institute counselling,B.E. Electronics and Instrumentation,E&I,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,266,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2023,BITSAT,Final published cutoff,Institute counselling,B.E. Electronics and Communication,ECE,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,296,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2023,BITSAT,Final published cutoff,Institute counselling,B.E. Manufacturing Engineering,MFG,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,220,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2023,BITSAT,Final published cutoff,Institute counselling,B.Pharm.,BPharm,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,153,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2023,BITSAT,Final published cutoff,Institute counselling,M.Sc. Biological Sciences,MSc Bio,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,212,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2023,BITSAT,Final published cutoff,Institute counselling,M.Sc. Chemistry,MSc Chem,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,213,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2023,BITSAT,Final published cutoff,Institute counselling,M.Sc. Economics,MSc Eco,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,257,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2023,BITSAT,Final published cutoff,Institute counselling,M.Sc. Mathematics,MSc Math,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,236,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2023,BITSAT,Final published cutoff,Institute counselling,M.Sc. Physics,MSc Physics,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,235,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2024,BITSAT,Final published cutoff,Institute counselling,B.E. Chemical,CHE,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,247,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2024,BITSAT,Final published cutoff,Institute counselling,B.E. Civil,CE,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,238,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2024,BITSAT,Final published cutoff,Institute counselling,B.E. Electrical and Electronics,EEE,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,292,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2024,BITSAT,Final published cutoff,Institute counselling,B.E. Mechanical,ME,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,266,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2024,BITSAT,Final published cutoff,Institute counselling,B.E. Computer Science,CSE,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,327,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2024,BITSAT,Final published cutoff,Institute counselling,B.E. Electronics and Instrumentation,E&I,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,282,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2024,BITSAT,Final published cutoff,Institute counselling,B.E. Electronics and Communication,ECE,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,314,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2024,BITSAT,Final published cutoff,Institute counselling,B.E. Manufacturing Engineering,MFG,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,243,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2024,BITSAT,Final published cutoff,Institute counselling,B.E. Mathematics and Computing,MnC,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,318,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2024,BITSAT,Final published cutoff,Institute counselling,B.Pharm.,BPharm,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,165,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2024,BITSAT,Final published cutoff,Institute counselling,M.Sc. Biological Sciences,MSc Bio,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,236,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2024,BITSAT,Final published cutoff,Institute counselling,M.Sc. Chemistry,MSc Chem,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,241,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2024,BITSAT,Final published cutoff,Institute counselling,M.Sc. Economics,MSc Eco,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,271,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2024,BITSAT,Final published cutoff,Institute counselling,M.Sc. Mathematics,MSc Math,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,256,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2024,BITSAT,Final published cutoff,Institute counselling,M.Sc. Physics,MSc Physics,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,254,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2025,BITSAT,Final published cutoff,Institute counselling,B.E. Chemical,CHE,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,210,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2025,BITSAT,Final published cutoff,Institute counselling,B.E. Civil,CE,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,206,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2025,BITSAT,Final published cutoff,Institute counselling,B.E. Electrical and Electronics,EEE,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,260,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2025,BITSAT,Final published cutoff,Institute counselling,B.E. Mechanical,ME,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,235,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2025,BITSAT,Final published cutoff,Institute counselling,B.E. Computer Science,CSE,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,304,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2025,BITSAT,Final published cutoff,Institute counselling,B.E. Electronics and Instrumentation,E&I,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,250,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2025,BITSAT,Final published cutoff,Institute counselling,B.E. Electronics and Communication,ECE,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,285,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2025,BITSAT,Final published cutoff,Institute counselling,B.E. Manufacturing Engineering,MFG,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,211,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2025,BITSAT,Final published cutoff,Institute counselling,B.E. Mathematics and Computing,MnC,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,295,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2025,BITSAT,Final published cutoff,Institute counselling,B.E. Environmental and Sustainability Engineering,ESE,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,203,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2025,BITSAT,Final published cutoff,Institute counselling,B.Pharm.,BPharm,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,168,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2025,BITSAT,Final published cutoff,Institute counselling,M.Sc. Biological Sciences,MSc Bio,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,208,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2025,BITSAT,Final published cutoff,Institute counselling,M.Sc. Chemistry,MSc Chem,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,212,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2025,BITSAT,Final published cutoff,Institute counselling,M.Sc. Economics,MSc Eco,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,251,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2025,BITSAT,Final published cutoff,Institute counselling,M.Sc. Mathematics,MSc Math,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,229,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2025,BITSAT,Final published cutoff,Institute counselling,M.Sc. Physics,MSc Physics,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,223,BITSAT score (maximum 390),S013,
"Birla Institute of Technology & Science, Pilani",,2025,BITSAT,Final published cutoff,Institute counselling,M.Sc. Semiconductor and Nanoscience,MSc SemiNano,Not differentiated in official final-score table,,Not differentiated; no domicile quota table published,Not differentiated,,,,239,BITSAT score (maximum 390),S013,
