college_name,placement_year,programme,branch,record_scope,graduating_students,eligible_students,registered_students,students_placed,placement_percentage,higher_studies_count,median_package_lpa,average_package_lpa,highest_domestic_package_lpa,highest_international_package_lpa,internship_count,ppo_count,average_stipend,highest_stipend,source_type,source_id,source_page,notes
"Birla Institute of Technology & Science, Pilani",2024-25,All programmes,All campuses / all programmes,"University-wide, all campuses",,,,2490,,,19.05,22.28,,,,,,,official university placement report,S019,1,Official report states 2490+ students placed and 615+ recruiters; 2490 is stored as a lower-bound numeric value. This is not Pilani-campus-only.
"Birla Institute of Technology & Science, Pilani",2024-25,All programmes,Analytics,"University-wide sector, all campuses",,,,,,,13.65,14.56,,,,,,,official university placement report,S019,1,Sector-level university-wide package statistic; not a branch-specific or Pilani-campus-only record.
"Birla Institute of Technology & Science, Pilani",2024-25,All programmes,Banking & Finance,"University-wide sector, all campuses",,,,,,,18.0,20.04,,,,,,,official university placement report,S019,1,Sector-level university-wide package statistic; not a branch-specific or Pilani-campus-only record.
"Birla Institute of Technology & Science, Pilani",2024-25,All programmes,Bio Pharma,"University-wide sector, all campuses",,,,,,,6.99,7.29,,,,,,,official university placement report,S019,1,Sector-level university-wide package statistic; not a branch-specific or Pilani-campus-only record.
"Birla Institute of Technology & Science, Pilani",2024-25,All programmes,Chemical,"University-wide sector, all campuses",,,,,,,8.0,11.2,,,,,,,official university placement report,S019,1,Sector-level university-wide package statistic; not a branch-specific or Pilani-campus-only record.
"Birla Institute of Technology & Science, Pilani",2024-25,All programmes,Consulting,"University-wide sector, all campuses",,,,,,,16.5,16.89,,,,,,,official university placement report,S019,1,Sector-level university-wide package statistic; not a branch-specific or Pilani-campus-only record.
"Birla Institute of Technology & Science, Pilani",2024-25,All programmes,Electronics,"University-wide sector, all campuses",,,,,,,31.05,29.07,,,,,,,official university placement report,S019,1,Sector-level university-wide package statistic; not a branch-specific or Pilani-campus-only record.
"Birla Institute of Technology & Science, Pilani",2024-25,All programmes,Infrastructure,"University-wide sector, all campuses",,,,,,,7.1,7.65,,,,,,,official university placement report,S019,1,Sector-level university-wide package statistic; not a branch-specific or Pilani-campus-only record.
"Birla Institute of Technology & Science, Pilani",2024-25,All programmes,IT/Software,"University-wide sector, all campuses",,,,,,,22.81,26.39,,,,,,,official university placement report,S019,1,Sector-level university-wide package statistic; not a branch-specific or Pilani-campus-only record.
"Birla Institute of Technology & Science, Pilani",2024-25,All programmes,Mechanical/Manufacturing,"University-wide sector, all campuses",,,,,,,10.0,11.46,,,,,,,official university placement report,S019,1,Sector-level university-wide package statistic; not a branch-specific or Pilani-campus-only record.
"Birla Institute of Technology & Science, Pilani",2024-25,All programmes,"Others (Sales, Teaching, etc.)","University-wide sector, all campuses",,,,,,,9.0,10.6,,,,,,,official university placement report,S019,1,Sector-level university-wide package statistic; not a branch-specific or Pilani-campus-only record.
"Birla Institute of Technology & Science, Pilani",2022-23,First Degree,All branches,Pilani Campus FD,,,848,764,90.09,,,,,,,,,,official Pilani campus placement report,S018,1,Median and average are published for the total campus record only; FD/HD rows retain registration and placement counts.
"Birla Institute of Technology & Science, Pilani",2022-23,Higher Degree,All branches,Pilani Campus HD,,,367,325,88.56,,,,,,,,,,official Pilani campus placement report,S018,1,Median and average are published for the total campus record only; FD/HD rows retain registration and placement counts.
"Birla Institute of Technology & Science, Pilani",2022-23,All participating programmes,All branches,Pilani Campus Total,,,1215,1089,89.63,,18.2,20.79432,,,,,,,official Pilani campus placement report,S018,1,Median and average are published for the total campus record only; FD/HD rows retain registration and placement counts.
"Birla Institute of Technology & Science, Pilani",2023-24,First Degree,All branches,Pilani Campus FD,,,852,705,82.75,,,,,,,,,,official Pilani campus placement report,S018,1,Median and average are published for the total campus record only; FD/HD rows retain registration and placement counts.
"Birla Institute of Technology & Science, Pilani",2023-24,Higher Degree,All branches,Pilani Campus HD,,,360,265,73.61,,,,,,,,,,official Pilani campus placement report,S018,1,Median and average are published for the total campus record only; FD/HD rows retain registration and placement counts.
"Birla Institute of Technology & Science, Pilani",2023-24,All participating programmes,All branches,Pilani Campus Total,,,1212,970,80.03,,16.15,19.70579,,,,,,,official Pilani campus placement report,S018,1,Median and average are published for the total campus record only; FD/HD rows retain registration and placement counts.
