college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
"Birla Institute of Technology & Science, Pilani",Google,2024-25,,Technology/software (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",Microsoft IDC,2024-25,,Technology/software (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",Amazon,2024-25,,Technology/e-commerce (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",Apple,2024-25,,Technology/hardware/software (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",Adobe,2024-25,,Technology/software (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",Atlassian,2024-25,,Technology/software (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",Uber,2024-25,,Technology/mobility (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",Walmart Global Tech,2024-25,,Technology/retail engineering (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",NVIDIA,2024-25,,Semiconductors/AI (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",AMD,2024-25,,Semiconductors (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",Intel,2024-25,,Semiconductors (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",Qualcomm,2024-25,,Semiconductors/telecom (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",Texas Instruments,2024-25,,Semiconductors/electronics (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",NXP Semiconductors,2024-25,,Semiconductors/electronics (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",Cadence Design Systems,2024-25,,Electronic design automation (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",Boston Consulting Group (BCG),2024-25,,Consulting (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",Kearney,2024-25,,Consulting (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",Deloitte India,2024-25,,Consulting/professional services (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",Ernst & Young (EY),2024-25,,Consulting/professional services (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",PwC Acceleration Centre,2024-25,,Consulting/professional services (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",Goldman Sachs,2024-25,,Banking/finance (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",JPMorgan Chase,2024-25,,Banking/finance (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",IMC Trading,2024-25,,Quantitative trading (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",General Electric,2024-25,,Industrial/engineering (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",Honeywell,2024-25,,Industrial/aerospace/automation (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",ExxonMobil,2024-25,,Energy (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",Larsen & Toubro (L&T),2024-25,,Engineering/infrastructure (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",Tata Steel,2024-25,,Metals/manufacturing (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",Arup,2024-25,,Engineering/consulting (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
"Birla Institute of Technology & Science, Pilani",Biocon,2024-25,,Biopharma (company-sector mapping; role not published),,Unknown,Confirmed in official Pilani recruiter list for 2024-25,,,S020,"Official list confirms company presence only; it does not establish role, branch eligibility, selection count or package.",C for company presence; F for broad sector mapping
