scholarship_name,provider,college_name,applicable_programme,applicable_year,category_requirement,gender_requirement,income_limit_inr,domicile_requirement,academic_requirement,entrance_exam_requirement,benefit_amount_inr,benefit_description,duration,required_documents,renewal_conditions,deadline,application_url,source_id,confidence_level
Tuition-blind admission support for top 500 BITSAT rankers,BITS Pilani,"Birla Institute of Technology & Science, Pilani",First-degree programmes,2026-27,,,2000000,,Minimum CGPA 7.5 for renewal,Among top 500 BITSAT rankers under the official 2026-27 policy,,"100% tuition fee waiver for the normal four-year programme duration, subject to renewal conditions",Up to 4 years,Official income-verification documents as specified by BITS,Maintain minimum CGPA 7.5 and satisfy current policy,Built into admission offer; verify 2026 counselling instructions,https://admissions.bits-pilani.ac.in/FD/scholarship.html,S015,B
Institute Merit Scholarship – top 2%,BITS Pilani,"Birla Institute of Technology & Science, Pilani",First-degree programmes,2026-27,,,,,Top 2% under semester merit criteria,,,100% tuition fee waiver for the applicable semester,Semester-wise,,Reassessed each semester according to institute policy,Institute process; verify after admission,https://admissions.bits-pilani.ac.in/FD/scholarship.html,S015,B
Institute Merit Scholarship – next 1%,BITS Pilani,"Birla Institute of Technology & Science, Pilani",First-degree programmes,2026-27,,,,,Next 1% under semester merit criteria,,,50% tuition fee waiver for the applicable semester,Semester-wise,,Reassessed each semester according to institute policy,Institute process; verify after admission,https://admissions.bits-pilani.ac.in/FD/scholarship.html,S015,B
MCN – top 5%,BITS Pilani,"Birla Institute of Technology & Science, Pilani",First-degree programmes,2026-27,Merit-cum-need,,1500000,,Top 5% in MCN ranking and current institute academic requirements,,,100% tuition fee waiver for the applicable semester,Semester-wise,Family income and other documents specified in the current MCN notice,Fresh/renewal assessment each semester under current policy,Verify semester notice,https://admissions.bits-pilani.ac.in/FD/scholarship_NKS.html,S016,B; income threshold requires 2026 notice confirmation
MCN – next 2%,BITS Pilani,"Birla Institute of Technology & Science, Pilani",First-degree programmes,2026-27,Merit-cum-need,,1500000,,Next 2% and current institute academic requirements,,,50% tuition fee waiver for the applicable semester,Semester-wise,Family income and other documents specified in the current MCN notice,Fresh/renewal assessment each semester under current policy,Verify semester notice,https://admissions.bits-pilani.ac.in/FD/scholarship_NKS.html,S016,B; income threshold requires 2026 notice confirmation
MCN – next 5%,BITS Pilani,"Birla Institute of Technology & Science, Pilani",First-degree programmes,2026-27,Merit-cum-need,,1500000,,Next 5% and current institute academic requirements,,,25% tuition fee waiver for the applicable semester,Semester-wise,Family income and other documents specified in the current MCN notice,Fresh/renewal assessment each semester under current policy,Verify semester notice,https://admissions.bits-pilani.ac.in/FD/scholarship_NKS.html,S016,B; income threshold requires 2026 notice confirmation
MCN – next 10%,BITS Pilani,"Birla Institute of Technology & Science, Pilani",First-degree programmes,2026-27,Merit-cum-need,,1500000,,Next 10% and current institute academic requirements,,,10% tuition fee waiver for the applicable semester,Semester-wise,Family income and other documents specified in the current MCN notice,Fresh/renewal assessment each semester under current policy,Verify semester notice,https://admissions.bits-pilani.ac.in/FD/scholarship_NKS.html,S016,B; income threshold requires 2026 notice confirmation
Students Aid Fund,BITS Pilani Student Welfare Division,"Birla Institute of Technology & Science, Pilani",Students in financial need,Current cycle to be verified,Need-based,,,,As notified,,,Need-based aid; benefit quantum is not standardized on the public page,As sanctioned,As requested by SWD,Case-specific,,https://swd.bits-pilani.ac.in/,S035,C
Golden 76 Scholarship,BITS Pilani / alumni-supported initiative,"Birla Institute of Technology & Science, Pilani",Eligible BITS students under the current award cycle,Current cycle to be verified,Need/merit criteria as notified,,,,As notified,,,Institution announcement describes full tuition and on-campus expense support for selected recipients; current criteria require confirmation,As awarded,,As notified,,https://www.bits-pilani.ac.in/news/golden-76-scholarship/,S034,C
BITS–BITSAA International Travel Fellowship,BITS Pilani and BITS Alumni Association,"Birla Institute of Technology & Science, Pilani",Eligible students presenting selected research work,Current cycle to be verified,,,,,Accepted paper / institute approval under the fellowship rules,,,Institution material describes support of up to 75% of eligible travel cost; verify current cap and process,One approved event,Acceptance and travel documents as prescribed,Not applicable,Event/call-specific,https://admissions.bits-pilani.ac.in/FD/FD.html,S012,C
PM-Vidyalaxmi education-loan interest subvention,Government of India / participating lenders,"Birla Institute of Technology & Science, Pilani",Eligible higher-education students,2026-27,Subject to scheme rules,,800000,,Admission to an eligible quality higher-education institution and lender requirements,,,"3% interest subvention on eligible education loans up to INR 10 lakh, subject to the government scheme; this is loan support, not a guaranteed cash scholarship",As per scheme,"Income, admission and loan documents",Government/lender rules,Scheme/lender-specific,https://admissions.bits-pilani.ac.in/FD/PM_Vidyalaxmi.html,S017,A/B; official scheme guidance via institution
