college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
Dhirubhai Ambani University,,2025,ACPC Gujarat,Final online closure,First Year Degree Engineering – Gujarat Category,B.Tech. Electronics and VLSI Design,EVD,OPEN,ACPC merit rank / GUJCET-based merit rank,Gujarat Home State,Not differentiated,,223,99.21017474,,ACPC closing merit rank,S013,24
Dhirubhai Ambani University,,2025,ACPC Gujarat,Final online closure,First Year Degree Engineering – Gujarat Category,B.Tech. Electronics and VLSI Design,EVD,SC,ACPC merit rank / GUJCET-based merit rank,Gujarat Home State,Not differentiated,,1480,96.0486167,,ACPC closing merit rank,S013,24
Dhirubhai Ambani University,,2025,ACPC Gujarat,Final online closure,First Year Degree Engineering – Gujarat Category,B.Tech. Electronics and VLSI Design,EVD,ST,ACPC merit rank / GUJCET-based merit rank,Gujarat Home State,Not differentiated,,4335,89.8097694,,ACPC closing merit rank,S013,24
Dhirubhai Ambani University,,2025,ACPC Gujarat,Final online closure,First Year Degree Engineering – Gujarat Category,B.Tech. Electronics and VLSI Design,EVD,SEBC,ACPC merit rank / GUJCET-based merit rank,Gujarat Home State,Not differentiated,,789,97.71809534,,ACPC closing merit rank,S013,24
Dhirubhai Ambani University,,2025,ACPC Gujarat,Final online closure,First Year Degree Engineering – Gujarat Category,B.Tech. Electronics and VLSI Design,EVD,EWS,ACPC merit rank / GUJCET-based merit rank,Gujarat Home State,Not differentiated,,262,99.10568299,,ACPC closing merit rank,S013,24
Dhirubhai Ambani University,,2025,ACPC Gujarat,Final online closure,First Year Degree Engineering – Gujarat Category,B.Tech. Electronics and VLSI Design,EVD,TFWS,ACPC merit rank / GUJCET-based merit rank,Gujarat TFWS,Not differentiated,,54,99.7645075,,ACPC closing merit rank,S013,24
Dhirubhai Ambani University,,2025,ACPC Gujarat,Final online closure,First Year Degree Engineering – Gujarat Category,B.Tech. (Honours) in ICT with minor in Computational Science,ICT-CS,OPEN,ACPC merit rank / GUJCET-based merit rank,Gujarat Home State,Not differentiated,,71,99.70886999,,ACPC closing merit rank,S013,24
Dhirubhai Ambani University,,2025,ACPC Gujarat,Final online closure,First Year Degree Engineering – Gujarat Category,B.Tech. (Honours) in ICT with minor in Computational Science,ICT-CS,SC,ACPC merit rank / GUJCET-based merit rank,Gujarat Home State,Not differentiated,,139,99.46170141,,ACPC closing merit rank,S013,24
Dhirubhai Ambani University,,2025,ACPC Gujarat,Final online closure,First Year Degree Engineering – Gujarat Category,B.Tech. (Honours) in ICT with minor in Computational Science,ICT-CS,ST,ACPC merit rank / GUJCET-based merit rank,Gujarat Home State,Not differentiated,,12609,73.07381411,,ACPC closing merit rank,S013,24
Dhirubhai Ambani University,,2025,ACPC Gujarat,Final online closure,First Year Degree Engineering – Gujarat Category,B.Tech. (Honours) in ICT with minor in Computational Science,ICT-CS,SEBC,ACPC merit rank / GUJCET-based merit rank,Gujarat Home State,Not differentiated,,274,99.06698376,,ACPC closing merit rank,S013,24
Dhirubhai Ambani University,,2025,ACPC Gujarat,Final online closure,First Year Degree Engineering – Gujarat Category,B.Tech. (Honours) in ICT with minor in Computational Science,ICT-CS,EWS,ACPC merit rank / GUJCET-based merit rank,Gujarat Home State,Not differentiated,,111,99.58285696,,ACPC closing merit rank,S013,24
Dhirubhai Ambani University,,2025,ACPC Gujarat,Final online closure,First Year Degree Engineering – Gujarat Category,B.Tech. (Honours) in ICT with minor in Computational Science,ICT-CS,ESM,ACPC merit rank / GUJCET-based merit rank,Gujarat Home State,Not differentiated,,613,98.19766707,,ACPC closing merit rank,S013,24
Dhirubhai Ambani University,,2025,ACPC Gujarat,Final online closure,First Year Degree Engineering – Gujarat Category,B.Tech. (Honours) in ICT with minor in Computational Science,ICT-CS,TFWS,ACPC merit rank / GUJCET-based merit rank,Gujarat TFWS,Not differentiated,,19,99.89970156,,ACPC closing merit rank,S013,24
Dhirubhai Ambani University,,2025,ACPC Gujarat,Final online closure,First Year Degree Engineering – Gujarat Category,B.Tech. Information and Communication Technology,ICT,OPEN,ACPC merit rank / GUJCET-based merit rank,Gujarat Home State,Not differentiated,,149,99.44188366,,ACPC closing merit rank,S013,24
Dhirubhai Ambani University,,2025,ACPC Gujarat,Final online closure,First Year Degree Engineering – Gujarat Category,B.Tech. Information and Communication Technology,ICT,SC,ACPC merit rank / GUJCET-based merit rank,Gujarat Home State,Not differentiated,,2377,94.04321349,,ACPC closing merit rank,S013,24
Dhirubhai Ambani University,,2025,ACPC Gujarat,Final online closure,First Year Degree Engineering – Gujarat Category,B.Tech. Information and Communication Technology,ICT,ST,ACPC merit rank / GUJCET-based merit rank,Gujarat Home State,Not differentiated,,14470,69.11216812,,ACPC closing merit rank,S013,24
Dhirubhai Ambani University,,2025,ACPC Gujarat,Final online closure,First Year Degree Engineering – Gujarat Category,B.Tech. Information and Communication Technology,ICT,SEBC,ACPC merit rank / GUJCET-based merit rank,Gujarat Home State,Not differentiated,,379,98.80531235,,ACPC closing merit rank,S013,24
Dhirubhai Ambani University,,2025,ACPC Gujarat,Final online closure,First Year Degree Engineering – Gujarat Category,B.Tech. Information and Communication Technology,ICT,EWS,ACPC merit rank / GUJCET-based merit rank,Gujarat Home State,Not differentiated,,188,99.31558086,,ACPC closing merit rank,S013,24
Dhirubhai Ambani University,,2025,ACPC Gujarat,Final online closure,First Year Degree Engineering – Gujarat Category,B.Tech. Information and Communication Technology,ICT,TFWS,ACPC merit rank / GUJCET-based merit rank,Gujarat TFWS,Not differentiated,,39,99.82722807,,ACPC closing merit rank,S013,24
Dhirubhai Ambani University,,2025,ACPC Gujarat,Final online closure,First Year Degree Engineering – Gujarat Category,B.Tech. Mathematics and Computing,MnC,OPEN,ACPC merit rank / GUJCET-based merit rank,Gujarat Home State,Not differentiated,,91,99.63843699,,ACPC closing merit rank,S013,28
Dhirubhai Ambani University,,2025,ACPC Gujarat,Final online closure,First Year Degree Engineering – Gujarat Category,B.Tech. Mathematics and Computing,MnC,SC,ACPC merit rank / GUJCET-based merit rank,Gujarat Home State,Not differentiated,,478,98.53305379,,ACPC closing merit rank,S013,28
Dhirubhai Ambani University,,2025,ACPC Gujarat,Final online closure,First Year Degree Engineering – Gujarat Category,B.Tech. Mathematics and Computing,MnC,ST,ACPC merit rank / GUJCET-based merit rank,Gujarat Home State,Not differentiated,,855,97.5675745,,ACPC closing merit rank,S013,28
