college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
"Indian Institute of Information Technology, Allahabad",VIRTUOSI,Music,official/institution-associated,Institution-listed student activity or technical community.,https://www.iiita.ac.in/campus_life/gymkhana/,Current activity requires manual social-page verification,,,Not officially verified,unable to verify,SRC016,2026-06-26
"Indian Institute of Information Technology, Allahabad",USHMA,Dance,official/institution-associated,Institution-listed student activity or technical community.,https://www.iiita.ac.in/campus_life/gymkhana/,Current activity requires manual social-page verification,,,Not officially verified,unable to verify,SRC016,2026-06-26
"Indian Institute of Information Technology, Allahabad",RANGTARANGINI,Dramatics,official/institution-associated,Institution-listed student activity or technical community.,https://www.iiita.ac.in/campus_life/gymkhana/,Current activity requires manual social-page verification,,,Not officially verified,unable to verify,SRC016,2026-06-26
"Indian Institute of Information Technology, Allahabad",SPIRIT,Sports,official/institution-associated,Institution-listed student activity or technical community.,https://www.iiita.ac.in/campus_life/gymkhana/,Current activity requires manual social-page verification,,,Not officially verified,unable to verify,SRC016,2026-06-26
"Indian Institute of Information Technology, Allahabad",SARASVA,Literary,official/institution-associated,Institution-listed student activity or technical community.,https://www.iiita.ac.in/campus_life/gymkhana/,Current activity requires manual social-page verification,,,Not officially verified,unable to verify,SRC016,2026-06-26
"Indian Institute of Information Technology, Allahabad",THUNDERBOLT,Audio and Lights,official/institution-associated,Institution-listed student activity or technical community.,https://www.iiita.ac.in/campus_life/gymkhana/,Current activity requires manual social-page verification,,,Not officially verified,unable to verify,SRC016,2026-06-26
"Indian Institute of Information Technology, Allahabad",STAMBH,Program management and publicity,official/institution-associated,Institution-listed student activity or technical community.,https://www.iiita.ac.in/campus_life/gymkhana/,Current activity requires manual social-page verification,,,Not officially verified,unable to verify,SRC016,2026-06-26
"Indian Institute of Information Technology, Allahabad",Robita,Robotics,official/institution-associated,Institution-listed student activity or technical community.,https://robita.iiita.ac.in/,Current activity requires manual social-page verification,,,Not officially verified,recently active,SRC021,2026-06-26
"Indian Institute of Information Technology, Allahabad",GDSC IIIT Allahabad,Developer community,official/institution-associated,Institution-listed student activity or technical community.,https://gdsc.iiita.ac.in/,Current activity requires manual social-page verification,,,Not officially verified,recently active,SRC022,2026-06-26
"Indian Institute of Information Technology, Allahabad",IEEE Student Branch,Professional/technical,official/institution-associated,Institution-listed student activity or technical community.,https://ieeesb.iiita.ac.in/,Current activity requires manual social-page verification,,,Not officially verified,recently active,SRC023,2026-06-26
