college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 1,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,EWS,GEN-EWS rank,All India,Female-only (including Supernumerary),2165,2348,,,GEN-EWS rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 2,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,EWS,GEN-EWS rank,All India,Female-only (including Supernumerary),2165,2348,,,GEN-EWS rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 3,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,EWS,GEN-EWS rank,All India,Female-only (including Supernumerary),2165,2348,,,GEN-EWS rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 4,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,EWS,GEN-EWS rank,All India,Female-only (including Supernumerary),2165,2348,,,GEN-EWS rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 5,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,EWS,GEN-EWS rank,All India,Female-only (including Supernumerary),2165,2348,,,GEN-EWS rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 1,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,EWS,GEN-EWS rank,All India,Gender-Neutral,1012,1130,,,GEN-EWS rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 2,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,EWS,GEN-EWS rank,All India,Gender-Neutral,1053,1279,,,GEN-EWS rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 3,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,EWS,GEN-EWS rank,All India,Gender-Neutral,1053,1279,,,GEN-EWS rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 4,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,EWS,GEN-EWS rank,All India,Gender-Neutral,1053,1279,,,GEN-EWS rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 5,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,EWS,GEN-EWS rank,All India,Gender-Neutral,1063,1376,,,GEN-EWS rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 1,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,EWS (PwD),GEN-EWS (PwD) rank,All India,Gender-Neutral,92,92,,,GEN-EWS (PwD) rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 2,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,EWS (PwD),GEN-EWS (PwD) rank,All India,Gender-Neutral,92,92,,,GEN-EWS (PwD) rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 3,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,EWS (PwD),GEN-EWS (PwD) rank,All India,Gender-Neutral,92,92,,,GEN-EWS (PwD) rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 4,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,EWS (PwD),GEN-EWS (PwD) rank,All India,Gender-Neutral,92,92,,,GEN-EWS (PwD) rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 5,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,EWS (PwD),GEN-EWS (PwD) rank,All India,Gender-Neutral,92,92,,,GEN-EWS (PwD) rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 1,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OBC-NCL,OBC-NCL rank,All India,Female-only (including Supernumerary),6185,7272,,,OBC-NCL rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 2,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OBC-NCL,OBC-NCL rank,All India,Female-only (including Supernumerary),6185,7281,,,OBC-NCL rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 3,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OBC-NCL,OBC-NCL rank,All India,Female-only (including Supernumerary),6185,7281,,,OBC-NCL rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 4,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OBC-NCL,OBC-NCL rank,All India,Female-only (including Supernumerary),6185,7281,,,OBC-NCL rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 5,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OBC-NCL,OBC-NCL rank,All India,Female-only (including Supernumerary),6185,7281,,,OBC-NCL rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 1,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,2423,3394,,,OBC-NCL rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 2,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,2428,3549,,,OBC-NCL rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 3,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,2428,3549,,,OBC-NCL rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 4,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,2428,3556,,,OBC-NCL rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 5,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,2428,3558,,,OBC-NCL rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 1,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,193,193,,,OBC-NCL (PwD) rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 2,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,193,193,,,OBC-NCL (PwD) rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 3,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,193,193,,,OBC-NCL (PwD) rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 4,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,193,193,,,OBC-NCL (PwD) rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 5,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,193,193,,,OBC-NCL (PwD) rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 1,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OPEN,CRL,All India,Female-only (including Supernumerary),10761,13617,,,CRL,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 2,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OPEN,CRL,All India,Female-only (including Supernumerary),10761,13617,,,CRL,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 3,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OPEN,CRL,All India,Female-only (including Supernumerary),10761,13617,,,CRL,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 4,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OPEN,CRL,All India,Female-only (including Supernumerary),10761,14168,,,CRL,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 5,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OPEN,CRL,All India,Female-only (including Supernumerary),10761,14319,,,CRL,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 1,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OPEN,CRL,All India,Gender-Neutral,5249,7355,,,CRL,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 2,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OPEN,CRL,All India,Gender-Neutral,5249,7478,,,CRL,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 3,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OPEN,CRL,All India,Gender-Neutral,5249,7478,,,CRL,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 4,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OPEN,CRL,All India,Gender-Neutral,5249,7478,,,CRL,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 5,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OPEN,CRL,All India,Gender-Neutral,5569,7758,,,CRL,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 1,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OPEN (PwD),CRL-PwD,All India,Female-only (including Supernumerary),487,487,,,CRL-PwD,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 2,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OPEN (PwD),CRL-PwD,All India,Female-only (including Supernumerary),487,487,,,CRL-PwD,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 3,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OPEN (PwD),CRL-PwD,All India,Female-only (including Supernumerary),487,487,,,CRL-PwD,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 4,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OPEN (PwD),CRL-PwD,All India,Female-only (including Supernumerary),487,487,,,CRL-PwD,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 5,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OPEN (PwD),CRL-PwD,All India,Female-only (including Supernumerary),487,487,,,CRL-PwD,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 1,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OPEN (PwD),CRL-PwD,All India,Gender-Neutral,337,344,,,CRL-PwD,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 2,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OPEN (PwD),CRL-PwD,All India,Gender-Neutral,337,344,,,CRL-PwD,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 3,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OPEN (PwD),CRL-PwD,All India,Gender-Neutral,337,344,,,CRL-PwD,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 4,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OPEN (PwD),CRL-PwD,All India,Gender-Neutral,337,344,,,CRL-PwD,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 5,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OPEN (PwD),CRL-PwD,All India,Gender-Neutral,337,344,,,CRL-PwD,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 1,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,SC,SC rank,All India,Female-only (including Supernumerary),2564,4416,,,SC rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 2,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,SC,SC rank,All India,Female-only (including Supernumerary),2564,4416,,,SC rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 3,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,SC,SC rank,All India,Female-only (including Supernumerary),2564,4416,,,SC rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 4,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,SC,SC rank,All India,Female-only (including Supernumerary),2564,4416,,,SC rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 5,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,SC,SC rank,All India,Female-only (including Supernumerary),2564,4416,,,SC rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 1,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,SC,SC rank,All India,Gender-Neutral,1144,2130,,,SC rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 2,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,SC,SC rank,All India,Gender-Neutral,1144,2399,,,SC rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 3,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,SC,SC rank,All India,Gender-Neutral,1144,2399,,,SC rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 4,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,SC,SC rank,All India,Gender-Neutral,1144,2399,,,SC rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 5,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,SC,SC rank,All India,Gender-Neutral,1144,2402,,,SC rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 1,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,SC (PwD),SC (PwD) rank,All India,Gender-Neutral,88,88,,,SC (PwD) rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 2,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,SC (PwD),SC (PwD) rank,All India,Gender-Neutral,88,88,,,SC (PwD) rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 3,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,SC (PwD),SC (PwD) rank,All India,Gender-Neutral,88,88,,,SC (PwD) rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 4,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,SC (PwD),SC (PwD) rank,All India,Gender-Neutral,88,88,,,SC (PwD) rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 5,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,SC (PwD),SC (PwD) rank,All India,Gender-Neutral,88,88,,,SC (PwD) rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 1,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,ST,ST rank,All India,Female-only (including Supernumerary),1588,1635,,,ST rank,SRC003,
"Indian Institute of Information Technology, Allahabad",309,2024,JoSAA,Round 2,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,ST,ST rank,All India,Female-only (including Supernumerary),2680,2784,,,ST rank,SRC003,
