college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
"Indian Institute of Information Technology, Allahabad",Rubrik,2024-25,Not published,Not published,Not published,Not published,confirmed for year,1,Not published,SRC001,"Company and selected-student count are listed in the JoSAA 2026 institute profile placement report. Role, branch eligibility and package are not inferred.",A
"Indian Institute of Information Technology, Allahabad",Cure.fit,2024-25,Not published,Not published,Not published,Not published,confirmed for year,2,Not published,SRC001,"Company and selected-student count are listed in the JoSAA 2026 institute profile placement report. Role, branch eligibility and package are not inferred.",A
"Indian Institute of Information Technology, Allahabad",Trilogy Innovations,2024-25,Not published,Not published,Not published,Not published,confirmed for year,1,Not published,SRC001,"Company and selected-student count are listed in the JoSAA 2026 institute profile placement report. Role, branch eligibility and package are not inferred.",A
"Indian Institute of Information Technology, Allahabad",Goldman Sachs,2024-25,Not published,Not published,Not published,Not published,confirmed for year,4,Not published,SRC001,"Company and selected-student count are listed in the JoSAA 2026 institute profile placement report. Role, branch eligibility and package are not inferred.",A
"Indian Institute of Information Technology, Allahabad",Oracle,2024-25,Not published,Not published,Not published,Not published,confirmed for year,5,Not published,SRC001,"Company and selected-student count are listed in the JoSAA 2026 institute profile placement report. Role, branch eligibility and package are not inferred.",A
"Indian Institute of Information Technology, Allahabad",D. E. Shaw,2024-25,Not published,Not published,Not published,Not published,confirmed for year,5,Not published,SRC001,"Company and selected-student count are listed in the JoSAA 2026 institute profile placement report. Role, branch eligibility and package are not inferred.",A
"Indian Institute of Information Technology, Allahabad",Flipkart,2024-25,Not published,Not published,Not published,Not published,confirmed for year,1,Not published,SRC001,"Company and selected-student count are listed in the JoSAA 2026 institute profile placement report. Role, branch eligibility and package are not inferred.",A
"Indian Institute of Information Technology, Allahabad",Zomato,2024-25,Not published,Not published,Not published,Not published,confirmed for year,7,Not published,SRC001,"Company and selected-student count are listed in the JoSAA 2026 institute profile placement report. Role, branch eligibility and package are not inferred.",A
"Indian Institute of Information Technology, Allahabad",Google,2024-25,Not published,Not published,Not published,Not published,confirmed for year,17,Not published,SRC001,"Company and selected-student count are listed in the JoSAA 2026 institute profile placement report. Role, branch eligibility and package are not inferred.",A
"Indian Institute of Information Technology, Allahabad",Amazon,2024-25,Not published,Not published,Not published,Not published,confirmed for year,2,Not published,SRC001,"Company and selected-student count are listed in the JoSAA 2026 institute profile placement report. Role, branch eligibility and package are not inferred.",A
"Indian Institute of Information Technology, Allahabad",UnifyApps,2024-25,Not published,Not published,Not published,Not published,confirmed for year,7,Not published,SRC001,"Company and selected-student count are listed in the JoSAA 2026 institute profile placement report. Role, branch eligibility and package are not inferred.",A
"Indian Institute of Information Technology, Allahabad",Texas Instruments,2024-25,Not published,Not published,Not published,Not published,confirmed for year,1,Not published,SRC001,"Company and selected-student count are listed in the JoSAA 2026 institute profile placement report. Role, branch eligibility and package are not inferred.",A
"Indian Institute of Information Technology, Allahabad",Microsoft,2024-25,Not published,Not published,Not published,Not published,confirmed for year,6,Not published,SRC001,"Company and selected-student count are listed in the JoSAA 2026 institute profile placement report. Role, branch eligibility and package are not inferred.",A
"Indian Institute of Information Technology, Allahabad",Vyapar Apps,2024-25,Not published,Not published,Not published,Not published,confirmed for year,5,Not published,SRC001,"Company and selected-student count are listed in the JoSAA 2026 institute profile placement report. Role, branch eligibility and package are not inferred.",A
"Indian Institute of Information Technology, Allahabad",Kivi Capital,2024-25,Not published,Not published,Not published,Not published,confirmed for year,2,Not published,SRC001,"Company and selected-student count are listed in the JoSAA 2026 institute profile placement report. Role, branch eligibility and package are not inferred.",A
"Indian Institute of Information Technology, Allahabad",American Express,2024-25,Not published,Not published,Not published,Not published,confirmed for year,1,Not published,SRC001,"Company and selected-student count are listed in the JoSAA 2026 institute profile placement report. Role, branch eligibility and package are not inferred.",A
"Indian Institute of Information Technology, Allahabad",Qualcomm,2024-25,Not published,Not published,Not published,Not published,confirmed for year,13,Not published,SRC001,"Company and selected-student count are listed in the JoSAA 2026 institute profile placement report. Role, branch eligibility and package are not inferred.",A
"Indian Institute of Information Technology, Allahabad",Meesho,2024-25,Not published,Not published,Not published,Not published,confirmed for year,9,Not published,SRC001,"Company and selected-student count are listed in the JoSAA 2026 institute profile placement report. Role, branch eligibility and package are not inferred.",A
"Indian Institute of Information Technology, Allahabad",Salesforce,2024-25,Not published,Not published,Not published,Not published,confirmed for year,7,Not published,SRC001,"Company and selected-student count are listed in the JoSAA 2026 institute profile placement report. Role, branch eligibility and package are not inferred.",A
"Indian Institute of Information Technology, Allahabad",Game Theory,2024-25,Not published,Not published,Not published,Not published,confirmed for year,8,Not published,SRC001,"Company and selected-student count are listed in the JoSAA 2026 institute profile placement report. Role, branch eligibility and package are not inferred.",A
"Indian Institute of Information Technology, Allahabad",26 Miles,2024-25,Not published,Not published,Not published,Not published,confirmed for year,1,Not published,SRC001,"Company and selected-student count are listed in the JoSAA 2026 institute profile placement report. Role, branch eligibility and package are not inferred.",A
"Indian Institute of Information Technology, Allahabad",Concentric AI,2024-25,Not published,Not published,Not published,Not published,confirmed for year,2,Not published,SRC001,"Company and selected-student count are listed in the JoSAA 2026 institute profile placement report. Role, branch eligibility and package are not inferred.",A
"Indian Institute of Information Technology, Allahabad",Zepto,2024-25,Not published,Not published,Not published,Not published,confirmed for year,10,Not published,SRC001,"Company and selected-student count are listed in the JoSAA 2026 institute profile placement report. Role, branch eligibility and package are not inferred.",A
"Indian Institute of Information Technology, Allahabad",Walmart,2024-25,Not published,Not published,Not published,Not published,confirmed for year,10,Not published,SRC001,"Company and selected-student count are listed in the JoSAA 2026 institute profile placement report. Role, branch eligibility and package are not inferred.",A
"Indian Institute of Information Technology, Allahabad",Atlassian,2024-25,Not published,Not published,Not published,Not published,confirmed for year,4,Not published,SRC001,"Company and selected-student count are listed in the JoSAA 2026 institute profile placement report. Role, branch eligibility and package are not inferred.",A
