college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,EWS,GEN-EWS rank,All India,Gender-Neutral,3337,4087,,,GEN-EWS rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,EWS,GEN-EWS rank,All India,Gender-Neutral,3748,4365,,,GEN-EWS rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,EWS,GEN-EWS rank,All India,Gender-Neutral,3748,4368,,,GEN-EWS rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,EWS,GEN-EWS rank,All India,Gender-Neutral,3748,4368,,,GEN-EWS rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,EWS,GEN-EWS rank,All India,Gender-Neutral,3789,4572,,,GEN-EWS rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,EWS (PwD),GEN-EWS (PwD) rank,All India,Gender-Neutral,198,198,,,GEN-EWS (PwD) rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,5583,9633,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,6771,10584,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,6771,10722,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,6771,10797,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,7232,10997,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,558,630,,,OBC-NCL (PwD) rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,725,755,,,OBC-NCL (PwD) rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,725,755,,,OBC-NCL (PwD) rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,725,755,,,OBC-NCL (PwD) rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,725,755,,,OBC-NCL (PwD) rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN,CRL,All India,Gender-Neutral,7514,21419,,,CRL,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN,CRL,All India,Gender-Neutral,14339,23042,,,CRL,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN,CRL,All India,Gender-Neutral,14339,23273,,,CRL,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN,CRL,All India,Gender-Neutral,14339,23305,,,CRL,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN,CRL,All India,Gender-Neutral,15159,23999,,,CRL,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN (PwD),CRL-PwD,All India,Gender-Neutral,1111,1272,,,CRL-PwD,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN (PwD),CRL-PwD,All India,Gender-Neutral,1111,1581,,,CRL-PwD,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN (PwD),CRL-PwD,All India,Gender-Neutral,1111,1581,,,CRL-PwD,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN (PwD),CRL-PwD,All India,Gender-Neutral,1111,1581,,,CRL-PwD,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN (PwD),CRL-PwD,All India,Gender-Neutral,1111,1581,,,CRL-PwD,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC,SC rank,All India,Gender-Neutral,4374,6382,,,SC rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC,SC rank,All India,Gender-Neutral,4374,6708,,,SC rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC,SC rank,All India,Gender-Neutral,4374,6708,,,SC rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC,SC rank,All India,Gender-Neutral,4374,6708,,,SC rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC,SC rank,All India,Gender-Neutral,4374,6860,,,SC rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC (PwD),SC (PwD) rank,All India,Gender-Neutral,137,137,,,SC (PwD) rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,ST,ST rank,All India,Gender-Neutral,2289,3256,,,ST rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,ST,ST rank,All India,Gender-Neutral,3159,3825,,,ST rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,ST,ST rank,All India,Gender-Neutral,3159,3841,,,ST rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,ST,ST rank,All India,Gender-Neutral,3159,3841,,,ST rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,ST,ST rank,All India,Gender-Neutral,3159,3841,,,ST rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (Artificial Intelligence) (4 Years, Bachelor of Technology)",CSE (Artificial Intelligence),EWS,GEN-EWS rank,All India,Gender-Neutral,3371,3375,,,GEN-EWS rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (Artificial Intelligence) (4 Years, Bachelor of Technology)",CSE (Artificial Intelligence),EWS,GEN-EWS rank,All India,Gender-Neutral,3640,3704,,,GEN-EWS rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (Artificial Intelligence) (4 Years, Bachelor of Technology)",CSE (Artificial Intelligence),EWS,GEN-EWS rank,All India,Gender-Neutral,3640,3704,,,GEN-EWS rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (Artificial Intelligence) (4 Years, Bachelor of Technology)",CSE (Artificial Intelligence),EWS,GEN-EWS rank,All India,Gender-Neutral,3640,3704,,,GEN-EWS rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (Artificial Intelligence) (4 Years, Bachelor of Technology)",CSE (Artificial Intelligence),EWS,GEN-EWS rank,All India,Gender-Neutral,3704,3784,,,GEN-EWS rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (Artificial Intelligence) (4 Years, Bachelor of Technology)",CSE (Artificial Intelligence),EWS (PwD),GEN-EWS (PwD) rank,All India,Gender-Neutral,269,269,,,GEN-EWS (PwD) rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (Artificial Intelligence) (4 Years, Bachelor of Technology)",CSE (Artificial Intelligence),EWS (PwD),GEN-EWS (PwD) rank,All India,Gender-Neutral,269,269,,,GEN-EWS (PwD) rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (Artificial Intelligence) (4 Years, Bachelor of Technology)",CSE (Artificial Intelligence),EWS (PwD),GEN-EWS (PwD) rank,All India,Gender-Neutral,269,269,,,GEN-EWS (PwD) rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (Artificial Intelligence) (4 Years, Bachelor of Technology)",CSE (Artificial Intelligence),EWS (PwD),GEN-EWS (PwD) rank,All India,Gender-Neutral,269,269,,,GEN-EWS (PwD) rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (Artificial Intelligence) (4 Years, Bachelor of Technology)",CSE (Artificial Intelligence),EWS (PwD),GEN-EWS (PwD) rank,All India,Gender-Neutral,269,269,,,GEN-EWS (PwD) rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (Artificial Intelligence) (4 Years, Bachelor of Technology)",CSE (Artificial Intelligence),OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,6270,9399,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (Artificial Intelligence) (4 Years, Bachelor of Technology)",CSE (Artificial Intelligence),OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,7573,10421,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (Artificial Intelligence) (4 Years, Bachelor of Technology)",CSE (Artificial Intelligence),OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,7573,10421,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Bhopal,323,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (Artificial Intelligence) (4 Years, Bachelor of Technology)",CSE (Artificial Intelligence),OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,7573,10421,,,OBC-NCL rank,SRC003,
