college_name,placement_year,programme,branch,record_scope,graduating_students,eligible_students,registered_students,students_placed,placement_percentage,higher_studies_count,median_package_lpa,average_package_lpa,highest_domestic_package_lpa,highest_international_package_lpa,internship_count,ppo_count,average_stipend,highest_stipend,source_type,source_id,source_page,notes
Indian Institute of Information Technology Bhopal,2025,B.Tech,CSE,branch-specific final/updated institute record,,,73,45,84.9,,,19.1,,,,,,,institution-published official EOI,SRC010,18,"Total participated students: 53. Placement percentage uses placed/participated, not registered cohort."
Indian Institute of Information Technology Bhopal,2025,B.Tech,ECE,branch-specific final/updated institute record,,,55,33,82.5,,,16.98,,,,,,,institution-published official EOI,SRC010,18,"Total participated students: 40. Placement percentage uses placed/participated, not registered cohort."
Indian Institute of Information Technology Bhopal,2025,B.Tech,IT,branch-specific final/updated institute record,,,72,48,88.88,,,14.25,,,,,,,institution-published official EOI,SRC010,18,"Total participated students: 54. Placement percentage uses placed/participated, not registered cohort."
Indian Institute of Information Technology Bhopal,2024,B.Tech,CSE,branch-specific final/updated institute record,,,68,48,88.67,,,15.07,,,,,,,institution-published official EOI,SRC010,18,"Total participated students: 53. Placement percentage uses placed/participated, not registered cohort."
Indian Institute of Information Technology Bhopal,2024,B.Tech,ECE,branch-specific final/updated institute record,,,42,26,86.66,,,10.53,,,,,,,institution-published official EOI,SRC010,18,"Total participated students: 30. Placement percentage uses placed/participated, not registered cohort."
Indian Institute of Information Technology Bhopal,2024,B.Tech,IT,branch-specific final/updated institute record,,,58,41,78.84,,,11.36,,,,,,,institution-published official EOI,SRC010,18,"Total participated students: 52. Placement percentage uses placed/participated, not registered cohort."
Indian Institute of Information Technology Bhopal,2023,B.Tech,CSE,branch-specific final/updated institute record,,,58,53,100.0,,,22.56,,,,,,,institution-published official EOI,SRC010,18,"Total participated students: 53. Placement percentage uses placed/participated, not registered cohort."
Indian Institute of Information Technology Bhopal,2023,B.Tech,ECE,branch-specific final/updated institute record,,,43,29,96.66,,,18.03,,,,,,,institution-published official EOI,SRC010,18,"Total participated students: 30. Placement percentage uses placed/participated, not registered cohort."
Indian Institute of Information Technology Bhopal,2023,B.Tech,IT,branch-specific final/updated institute record,,,54,52,100.0,,,23.42,,,,,,,institution-published official EOI,SRC010,18,"Total participated students: 52. Placement percentage uses placed/participated, not registered cohort."
Indian Institute of Information Technology Bhopal,2023 interim snapshot (28 Oct 2022),B.Tech,Overall CSE/ECE/IT,overall interim till-date snapshot,,,155,96,73.84,,12,21.94,60,,,,,,institution-associated placement-cell interim report,SRC013,2,Report states approximately 130 participated and explicitly describes Batch 2023 as till date. Later 2026 EOI gives updated branch-level final figures; preserve both and do not compare as equivalent snapshots.
