college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
Indian Institute of Information Technology Bhopal,Amazon,Year unavailable on current institute page,,software/data/electronics or business role - not officially specified,,full-time/internship/PPO not specified,"officially listed, year unavailable",,,SRC023,Company logo/name appears on the current official institute recruiter carousel; current visit is not guaranteed.,C
Indian Institute of Information Technology Bhopal,Microsoft,Year unavailable on current institute page,,software/data/electronics or business role - not officially specified,,full-time/internship/PPO not specified,"officially listed, year unavailable",,,SRC023,Company logo/name appears on the current official institute recruiter carousel; current visit is not guaranteed.,C
Indian Institute of Information Technology Bhopal,NVIDIA,Year unavailable on current institute page,,software/data/electronics or business role - not officially specified,,full-time/internship/PPO not specified,"officially listed, year unavailable",,,SRC023,Company logo/name appears on the current official institute recruiter carousel; current visit is not guaranteed.,C
Indian Institute of Information Technology Bhopal,Samsung,Year unavailable on current institute page,,software/data/electronics or business role - not officially specified,,full-time/internship/PPO not specified,"officially listed, year unavailable",,,SRC023,Company logo/name appears on the current official institute recruiter carousel; current visit is not guaranteed.,C
Indian Institute of Information Technology Bhopal,Adobe,Year unavailable on current institute page,,software/data/electronics or business role - not officially specified,,full-time/internship/PPO not specified,"officially listed, year unavailable",,,SRC023,Company logo/name appears on the current official institute recruiter carousel; current visit is not guaranteed.,C
Indian Institute of Information Technology Bhopal,Qualcomm,Year unavailable on current institute page,,software/data/electronics or business role - not officially specified,,full-time/internship/PPO not specified,"officially listed, year unavailable",,,SRC023,Company logo/name appears on the current official institute recruiter carousel; current visit is not guaranteed.,C
Indian Institute of Information Technology Bhopal,Atlassian,Year unavailable on current institute page,,software/data/electronics or business role - not officially specified,,full-time/internship/PPO not specified,"officially listed, year unavailable",,,SRC023,Company logo/name appears on the current official institute recruiter carousel; current visit is not guaranteed.,C
Indian Institute of Information Technology Bhopal,Flipkart,Year unavailable on current institute page,,software/data/electronics or business role - not officially specified,,full-time/internship/PPO not specified,"officially listed, year unavailable",,,SRC023,Company logo/name appears on the current official institute recruiter carousel; current visit is not guaranteed.,C
Indian Institute of Information Technology Bhopal,TCS,Year unavailable on current institute page,,software/data/electronics or business role - not officially specified,,full-time/internship/PPO not specified,"officially listed, year unavailable",,,SRC023,Company logo/name appears on the current official institute recruiter carousel; current visit is not guaranteed.,C
Indian Institute of Information Technology Bhopal,Comviva,Year unavailable on current institute page,,software/data/electronics or business role - not officially specified,,full-time/internship/PPO not specified,"officially listed, year unavailable",,,SRC023,Company logo/name appears on the current official institute recruiter carousel; current visit is not guaranteed.,C
Indian Institute of Information Technology Bhopal,Jivox,Year unavailable on current institute page,,software/data/electronics or business role - not officially specified,,full-time/internship/PPO not specified,"officially listed, year unavailable",,,SRC023,Company logo/name appears on the current official institute recruiter carousel; current visit is not guaranteed.,C
Indian Institute of Information Technology Bhopal,Intuit,Year unavailable on current institute page,,software/data/electronics or business role - not officially specified,,full-time/internship/PPO not specified,"officially listed, year unavailable",,,SRC023,Company logo/name appears on the current official institute recruiter carousel; current visit is not guaranteed.,C
Indian Institute of Information Technology Bhopal,OpenFive,Year unavailable on current institute page,,software/data/electronics or business role - not officially specified,,full-time/internship/PPO not specified,"officially listed, year unavailable",,,SRC023,Company logo/name appears on the current official institute recruiter carousel; current visit is not guaranteed.,C
Indian Institute of Information Technology Bhopal,National Instruments,Year unavailable on current institute page,,software/data/electronics or business role - not officially specified,,full-time/internship/PPO not specified,"officially listed, year unavailable",,,SRC023,Company logo/name appears on the current official institute recruiter carousel; current visit is not guaranteed.,C
Indian Institute of Information Technology Bhopal,InfoEdge,Year unavailable on current institute page,,software/data/electronics or business role - not officially specified,,full-time/internship/PPO not specified,"officially listed, year unavailable",,,SRC023,Company logo/name appears on the current official institute recruiter carousel; current visit is not guaranteed.,C
Indian Institute of Information Technology Bhopal,GEP Worldwide,Year unavailable on current institute page,,software/data/electronics or business role - not officially specified,,full-time/internship/PPO not specified,"officially listed, year unavailable",,,SRC023,Company logo/name appears on the current official institute recruiter carousel; current visit is not guaranteed.,C
Indian Institute of Information Technology Bhopal,Sciative Solutions,Year unavailable on current institute page,,software/data/electronics or business role - not officially specified,,full-time/internship/PPO not specified,"officially listed, year unavailable",,,SRC023,Company logo/name appears on the current official institute recruiter carousel; current visit is not guaranteed.,C
