college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,EWS,GEN-EWS rank,All India,Female-only (including Supernumerary),4444,5301,,,GEN-EWS rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,EWS,GEN-EWS rank,All India,Female-only (including Supernumerary),5082,5344,,,GEN-EWS rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,EWS,GEN-EWS rank,All India,Female-only (including Supernumerary),5082,5344,,,GEN-EWS rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,EWS,GEN-EWS rank,All India,Female-only (including Supernumerary),5082,5385,,,GEN-EWS rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,EWS,GEN-EWS rank,All India,Female-only (including Supernumerary),5082,5385,,,GEN-EWS rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,EWS,GEN-EWS rank,All India,Gender-Neutral,2817,3208,,,GEN-EWS rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,EWS,GEN-EWS rank,All India,Gender-Neutral,3058,3371,,,GEN-EWS rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,EWS,GEN-EWS rank,All India,Gender-Neutral,3058,3381,,,GEN-EWS rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,EWS,GEN-EWS rank,All India,Gender-Neutral,3058,3381,,,GEN-EWS rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,EWS,GEN-EWS rank,All India,Gender-Neutral,3243,3551,,,GEN-EWS rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,EWS (PwD),GEN-EWS (PwD) rank,All India,Gender-Neutral,212,212,,,GEN-EWS (PwD) rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,EWS (PwD),GEN-EWS (PwD) rank,All India,Gender-Neutral,501,501,,,GEN-EWS (PwD) rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OBC-NCL,OBC-NCL rank,All India,Female-only (including Supernumerary),10414,12550,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OBC-NCL,OBC-NCL rank,All India,Female-only (including Supernumerary),10414,12590,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OBC-NCL,OBC-NCL rank,All India,Female-only (including Supernumerary),10414,12590,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OBC-NCL,OBC-NCL rank,All India,Female-only (including Supernumerary),10414,12590,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OBC-NCL,OBC-NCL rank,All India,Female-only (including Supernumerary),10414,13481,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,5019,7453,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,5512,8301,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,5512,8305,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,5512,8305,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,5512,8445,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,424,426,,,OBC-NCL (PwD) rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,426,1277,,,OBC-NCL (PwD) rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,426,1398,,,OBC-NCL (PwD) rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,426,1398,,,OBC-NCL (PwD) rank,SRC003,
Indian Institute of Information Technology Guwahati,303,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,1398,1399,,,OBC-NCL (PwD) rank,SRC003,
