college_name,placement_year,programme,branch,record_scope,graduating_students,eligible_students,registered_students,students_placed,placement_percentage,higher_studies_count,median_package_lpa,average_package_lpa,highest_domestic_package_lpa,highest_international_package_lpa,internship_count,ppo_count,average_stipend,highest_stipend,source_type,source_id,source_page,notes
Indian Institute of Information Technology Guwahati,2025-26,B.Tech,CSE,branch-specific,,,154,116,75.32,,11.89,18.07,,,,,,,institution-associated placement-cell report,SRC011,,The official table calls 154 students “attended placement drives” and reports 133 jobs offered. Highest salary 59 LPA is retained in notes because domestic/international geography is not specified. Data snapshot: 5 June 2026; includes on-campus and off-campus selections and may have pending results.
Indian Institute of Information Technology Guwahati,2025-26,B.Tech,ECE,branch-specific,,,62,30,48.39,,9,14.54,,,,,,,institution-associated placement-cell report,SRC011,,The official table calls 62 students “attended placement drives” and reports 32 jobs offered. Highest salary 46.38 LPA is retained in notes because domestic/international geography is not specified. Data snapshot: 5 June 2026; includes on-campus and off-campus selections and may have pending results.
Indian Institute of Information Technology Guwahati,2025-26,B.Tech,Overall,overall,,,216,146,67.59,,11.89,17.38,,,,,,,institution-associated placement-cell report,SRC011,,The official table calls 216 students “attended placement drives” and reports 165 jobs offered. Highest salary 59 LPA is retained in notes because domestic/international geography is not specified. Data snapshot: 5 June 2026; includes on-campus and off-campus selections and may have pending results.
Indian Institute of Information Technology Guwahati,2024-25,B.Tech,CSE,branch-specific,,,148,125,84.46,3,12,17.7,,,,,,,institution-associated placement-cell report,SRC012,,The official table calls 148 students “attended placement drives” and reports 137 jobs offered. Highest salary 58.3 LPA is retained in notes because domestic/international geography is not specified. Data snapshot: 14 March 2026; includes on-campus and off-campus selections and may have pending results.
Indian Institute of Information Technology Guwahati,2024-25,B.Tech,ECE,branch-specific,,,47,34,72.34,8,9,15.26,,,,,,,institution-associated placement-cell report,SRC012,,The official table calls 47 students “attended placement drives” and reports 44 jobs offered. Highest salary 71 LPA is retained in notes because domestic/international geography is not specified. Data snapshot: 14 March 2026; includes on-campus and off-campus selections and may have pending results.
Indian Institute of Information Technology Guwahati,2024-25,B.Tech,Overall,overall,,,195,159,81.54,11,11,17.28,,,,,,,institution-associated placement-cell report,SRC012,,The official table calls 195 students “attended placement drives” and reports 181 jobs offered. Highest salary 71 LPA is retained in notes because domestic/international geography is not specified. Data snapshot: 14 March 2026; includes on-campus and off-campus selections and may have pending results.
Indian Institute of Information Technology Guwahati,2023-24,B.Tech,CSE,branch-specific,,,123,77,62.6,,13.65,15.26,,,,,,,institution-associated placement-cell report,SRC013,,The official table calls 123 students “attended placement drives” and reports 94 jobs offered. Highest salary 52 LPA is retained in notes because domestic/international geography is not specified. Data snapshot: 30 April 2024; includes on-campus and off-campus selections and may have pending results.
Indian Institute of Information Technology Guwahati,2023-24,B.Tech,ECE,branch-specific,,,35,15,42.86,,13.65,13.1,,,,,,,institution-associated placement-cell report,SRC013,,The official table calls 35 students “attended placement drives” and reports 15 jobs offered. Highest salary 28 LPA is retained in notes because domestic/international geography is not specified. Data snapshot: 30 April 2024; includes on-campus and off-campus selections and may have pending results.
Indian Institute of Information Technology Guwahati,2023-24,B.Tech,Overall,overall,,,158,92,58.23,,13.65,14.88,,,,,,,institution-associated placement-cell report,SRC013,,The official table calls 158 students “attended placement drives” and reports 109 jobs offered. Highest salary 52 LPA is retained in notes because domestic/international geography is not specified. Data snapshot: 30 April 2024; includes on-campus and off-campus selections and may have pending results.
Indian Institute of Information Technology Guwahati,2025-26 updated JoSAA profile snapshot,B.Tech,Overall,overall updated/current profile snapshot,,,206,147,71.35,8,11.89,17.64,,,,,,,authoritative counselling profile reproducing institution data,SRC001,,"Reports 166 jobs and highest salary 59 LPA. This differs from the placement-cell page snapshot (216 attended, 146 selected, average 17.38); both are preserved."
