college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
Indian Institute of Information Technology Guwahati,Accenture,2025-26,,Not officially specified,,Full-time/internship/PPO not specified,confirmed for year; placement page includes on-campus and off-campus processes,,,SRC011,"Listed on the official 2025-26 placement-status page. The page does not provide company-specific role, eligibility, selection count or package.",C
Indian Institute of Information Technology Guwahati,Adobe,2025-26,,Not officially specified,,Full-time/internship/PPO not specified,confirmed for year; placement page includes on-campus and off-campus processes,,,SRC011,"Listed on the official 2025-26 placement-status page. The page does not provide company-specific role, eligibility, selection count or package.",C
Indian Institute of Information Technology Guwahati,Amazon,2025-26,,Not officially specified,,Full-time/internship/PPO not specified,confirmed for year; placement page includes on-campus and off-campus processes,,,SRC011,"Listed on the official 2025-26 placement-status page. The page does not provide company-specific role, eligibility, selection count or package.",C
Indian Institute of Information Technology Guwahati,Arista Networks,2025-26,,Not officially specified,,Full-time/internship/PPO not specified,confirmed for year; placement page includes on-campus and off-campus processes,,,SRC011,"Listed on the official 2025-26 placement-status page. The page does not provide company-specific role, eligibility, selection count or package.",C
Indian Institute of Information Technology Guwahati,Cisco,2025-26,,Not officially specified,,Full-time/internship/PPO not specified,confirmed for year; placement page includes on-campus and off-campus processes,,,SRC011,"Listed on the official 2025-26 placement-status page. The page does not provide company-specific role, eligibility, selection count or package.",C
Indian Institute of Information Technology Guwahati,D. E. Shaw,2025-26,,Not officially specified,,Full-time/internship/PPO not specified,confirmed for year; placement page includes on-campus and off-campus processes,,,SRC011,"Listed on the official 2025-26 placement-status page. The page does not provide company-specific role, eligibility, selection count or package.",C
Indian Institute of Information Technology Guwahati,Deloitte,2025-26,,Not officially specified,,Full-time/internship/PPO not specified,confirmed for year; placement page includes on-campus and off-campus processes,,,SRC011,"Listed on the official 2025-26 placement-status page. The page does not provide company-specific role, eligibility, selection count or package.",C
Indian Institute of Information Technology Guwahati,Google,2025-26,,Not officially specified,,Full-time/internship/PPO not specified,confirmed for year; placement page includes on-campus and off-campus processes,,,SRC011,"Listed on the official 2025-26 placement-status page. The page does not provide company-specific role, eligibility, selection count or package.",C
Indian Institute of Information Technology Guwahati,HCLTech,2025-26,,Not officially specified,,Full-time/internship/PPO not specified,confirmed for year; placement page includes on-campus and off-campus processes,,,SRC011,"Listed on the official 2025-26 placement-status page. The page does not provide company-specific role, eligibility, selection count or package.",C
Indian Institute of Information Technology Guwahati,Headout,2025-26,,Not officially specified,,Full-time/internship/PPO not specified,confirmed for year; placement page includes on-campus and off-campus processes,,,SRC011,"Listed on the official 2025-26 placement-status page. The page does not provide company-specific role, eligibility, selection count or package.",C
Indian Institute of Information Technology Guwahati,IBM,2025-26,,Not officially specified,,Full-time/internship/PPO not specified,confirmed for year; placement page includes on-campus and off-campus processes,,,SRC011,"Listed on the official 2025-26 placement-status page. The page does not provide company-specific role, eligibility, selection count or package.",C
