college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
Indian Institute of Information Technology Lucknow,315,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science (4 Years, Bachelor of Technology)",CS,EWS,GEN-EWS rank,All India,Gender-Neutral,1257,1480,,,GEN-EWS rank,SRC003,
Indian Institute of Information Technology Lucknow,315,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science (4 Years, Bachelor of Technology)",CS,EWS,GEN-EWS rank,All India,Gender-Neutral,1410,1550,,,GEN-EWS rank,SRC003,
Indian Institute of Information Technology Lucknow,315,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science (4 Years, Bachelor of Technology)",CS,EWS,GEN-EWS rank,All India,Gender-Neutral,1410,1550,,,GEN-EWS rank,SRC003,
Indian Institute of Information Technology Lucknow,315,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science (4 Years, Bachelor of Technology)",CS,EWS,GEN-EWS rank,All India,Gender-Neutral,1410,1550,,,GEN-EWS rank,SRC003,
Indian Institute of Information Technology Lucknow,315,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science (4 Years, Bachelor of Technology)",CS,EWS,GEN-EWS rank,All India,Gender-Neutral,1459,1639,,,GEN-EWS rank,SRC003,
Indian Institute of Information Technology Lucknow,315,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science (4 Years, Bachelor of Technology)",CS,EWS (PwD),GEN-EWS (PwD) rank,All India,Female-only (including Supernumerary),334,334,,,GEN-EWS (PwD) rank,SRC003,
Indian Institute of Information Technology Lucknow,315,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science (4 Years, Bachelor of Technology)",CS,OBC-NCL,OBC-NCL rank,All India,Female-only (including Supernumerary),5910,7090,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Lucknow,315,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science (4 Years, Bachelor of Technology)",CS,OBC-NCL,OBC-NCL rank,All India,Female-only (including Supernumerary),6458,7118,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Lucknow,315,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science (4 Years, Bachelor of Technology)",CS,OBC-NCL,OBC-NCL rank,All India,Female-only (including Supernumerary),6458,7118,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Lucknow,315,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science (4 Years, Bachelor of Technology)",CS,OBC-NCL,OBC-NCL rank,All India,Female-only (including Supernumerary),6458,7118,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Lucknow,315,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science (4 Years, Bachelor of Technology)",CS,OBC-NCL,OBC-NCL rank,All India,Female-only (including Supernumerary),6458,7118,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Lucknow,315,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science (4 Years, Bachelor of Technology)",CS,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,2778,3711,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Lucknow,315,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science (4 Years, Bachelor of Technology)",CS,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,2778,4134,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Lucknow,315,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science (4 Years, Bachelor of Technology)",CS,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,2778,4134,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Lucknow,315,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science (4 Years, Bachelor of Technology)",CS,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,2778,4134,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Lucknow,315,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science (4 Years, Bachelor of Technology)",CS,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,2778,4262,,,OBC-NCL rank,SRC003,
Indian Institute of Information Technology Lucknow,315,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science (4 Years, Bachelor of Technology)",CS,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,288,288,,,OBC-NCL (PwD) rank,SRC003,
Indian Institute of Information Technology Lucknow,315,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science (4 Years, Bachelor of Technology)",CS,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,403,403,,,OBC-NCL (PwD) rank,SRC003,
Indian Institute of Information Technology Lucknow,315,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science (4 Years, Bachelor of Technology)",CS,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,403,403,,,OBC-NCL (PwD) rank,SRC003,
Indian Institute of Information Technology Lucknow,315,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science (4 Years, Bachelor of Technology)",CS,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,403,403,,,OBC-NCL (PwD) rank,SRC003,
Indian Institute of Information Technology Lucknow,315,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science (4 Years, Bachelor of Technology)",CS,OBC-NCL (PwD),OBC-NCL (PwD) rank,All India,Gender-Neutral,403,403,,,OBC-NCL (PwD) rank,SRC003,
Indian Institute of Information Technology Lucknow,315,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science (4 Years, Bachelor of Technology)",CS,OPEN,CRL,All India,Female-only (including Supernumerary),10857,13117,,,CRL,SRC003,
Indian Institute of Information Technology Lucknow,315,2024,JoSAA,Round 2,Regular JoSAA round,"Computer Science (4 Years, Bachelor of Technology)",CS,OPEN,CRL,All India,Female-only (including Supernumerary),10857,13117,,,CRL,SRC003,
Indian Institute of Information Technology Lucknow,315,2024,JoSAA,Round 3,Regular JoSAA round,"Computer Science (4 Years, Bachelor of Technology)",CS,OPEN,CRL,All India,Female-only (including Supernumerary),10857,13117,,,CRL,SRC003,
Indian Institute of Information Technology Lucknow,315,2024,JoSAA,Round 4,Regular JoSAA round,"Computer Science (4 Years, Bachelor of Technology)",CS,OPEN,CRL,All India,Female-only (including Supernumerary),10857,13117,,,CRL,SRC003,
Indian Institute of Information Technology Lucknow,315,2024,JoSAA,Round 5,Regular JoSAA round,"Computer Science (4 Years, Bachelor of Technology)",CS,OPEN,CRL,All India,Female-only (including Supernumerary),10857,13117,,,CRL,SRC003,
Indian Institute of Information Technology Lucknow,315,2024,JoSAA,Round 1,Regular JoSAA round,"Computer Science (4 Years, Bachelor of Technology)",CS,OPEN,CRL,All India,Gender-Neutral,6204,8941,,,CRL,SRC003,
