college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
Indian Institute of Information Technology Lucknow,Amazon,2025-26 brochure/current page,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,officially listed on current placement page,,,SRC011,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,Flipkart,2025-26 brochure/current page,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,officially listed on current placement page,,,SRC011,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,Google,2025-26 brochure/current page,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,officially listed on current placement page,,,SRC011,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,LinkedIn,2025-26 brochure/current page,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,officially listed on current placement page,,,SRC011,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,Microsoft,2025-26 brochure/current page,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,officially listed on current placement page,,,SRC011,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,Zomato,2025-26 brochure/current page,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,officially listed on current placement page,,,SRC011,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,Uber,2025-26 brochure/current page,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,officially listed on current placement page,,,SRC011,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,ACKO,2025-26 brochure/current page,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,officially listed on current placement page,,,SRC011,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,Paytm,2025-26 brochure/current page,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,officially listed on current placement page,,,SRC011,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,Oracle,2025-26 brochure/current page,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,officially listed on current placement page,,,SRC011,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,D. E. Shaw,2025-26 brochure/current page,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,officially listed on current placement page,,,SRC011,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,Morgan Stanley,2025-26 brochure/current page,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,officially listed on current placement page,,,SRC011,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,Cisco,2025-26 brochure/current page,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,officially listed on current placement page,,,SRC011,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,Atlassian,2025-26 brochure/current page,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,officially listed on current placement page,,,SRC011,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,Rubrik,2025-26 brochure/current page,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,officially listed on current placement page,,,SRC011,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,NVIDIA,Year unavailable,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,"officially listed in 2025-26 brochure, hiring year unavailable",,,SRC012,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,Goldman Sachs,Year unavailable,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,"officially listed in 2025-26 brochure, hiring year unavailable",,,SRC012,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,Samsung,Year unavailable,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,"officially listed in 2025-26 brochure, hiring year unavailable",,,SRC012,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,Deloitte,Year unavailable,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,"officially listed in 2025-26 brochure, hiring year unavailable",,,SRC012,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,Accenture,Year unavailable,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,"officially listed in 2025-26 brochure, hiring year unavailable",,,SRC012,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,JPMorgan Chase,Year unavailable,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,"officially listed in 2025-26 brochure, hiring year unavailable",,,SRC012,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,Intel,Year unavailable,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,"officially listed in 2025-26 brochure, hiring year unavailable",,,SRC012,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,Adobe,Year unavailable,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,"officially listed in 2025-26 brochure, hiring year unavailable",,,SRC012,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,Meesho,Year unavailable,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,"officially listed in 2025-26 brochure, hiring year unavailable",,,SRC012,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,Swiggy,Year unavailable,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,"officially listed in 2025-26 brochure, hiring year unavailable",,,SRC012,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,Media.net,Year unavailable,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,"officially listed in 2025-26 brochure, hiring year unavailable",,,SRC012,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,Postman,Year unavailable,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,"officially listed in 2025-26 brochure, hiring year unavailable",,,SRC012,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,Motive,Year unavailable,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,"officially listed in 2025-26 brochure, hiring year unavailable",,,SRC012,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,Zscaler,Year unavailable,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,"officially listed in 2025-26 brochure, hiring year unavailable",,,SRC012,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
Indian Institute of Information Technology Lucknow,Autodesk,Year unavailable,,software/data/technology/consulting - exact role unavailable,,full-time/internship/PPO not separately verified,"officially listed in 2025-26 brochure, hiring year unavailable",,,SRC012,"Logo/name appears in official placement material; current visit, role and selection count are not inferred.",C
