college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
Indian Institute of Information Technology (IIIT) Pune,321,2023,JoSAA,Round 1,Regular JoSAA seat allocation; sourced from the original verified merged cutoff dataset,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,EWS,Category rank,AI,Female-only (including Supernumerary),3462,4084,,,Category rank,S027,
Indian Institute of Information Technology (IIIT) Pune,321,2023,JoSAA,Round 1,Regular JoSAA seat allocation; sourced from the original verified merged cutoff dataset,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,EWS,Category rank,AI,Gender-Neutral,2195,2499,,,Category rank,S027,
Indian Institute of Information Technology (IIIT) Pune,321,2023,JoSAA,Round 1,Regular JoSAA seat allocation; sourced from the original verified merged cutoff dataset,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,EWS (PwD),PwD rank within EWS category,AI,Gender-Neutral,172,172,,,PwD rank within EWS category,S027,
Indian Institute of Information Technology (IIIT) Pune,321,2023,JoSAA,Round 1,Regular JoSAA seat allocation; sourced from the original verified merged cutoff dataset,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OBC-NCL,Category rank,AI,Female-only (including Supernumerary),5680,10195,,,Category rank,S027,
Indian Institute of Information Technology (IIIT) Pune,321,2023,JoSAA,Round 1,Regular JoSAA seat allocation; sourced from the original verified merged cutoff dataset,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OBC-NCL,Category rank,AI,Gender-Neutral,3657,6174,,,Category rank,S027,
Indian Institute of Information Technology (IIIT) Pune,321,2023,JoSAA,Round 1,Regular JoSAA seat allocation; sourced from the original verified merged cutoff dataset,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OBC-NCL (PwD),PwD rank within OBC-NCL category,AI,Female-only (including Supernumerary),548,548,,,PwD rank within OBC-NCL category,S027,
Indian Institute of Information Technology (IIIT) Pune,321,2023,JoSAA,Round 1,Regular JoSAA seat allocation; sourced from the original verified merged cutoff dataset,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OBC-NCL (PwD),PwD rank within OBC-NCL category,AI,Gender-Neutral,239,257,,,PwD rank within OBC-NCL category,S027,
Indian Institute of Information Technology (IIIT) Pune,321,2023,JoSAA,Round 1,Regular JoSAA seat allocation; sourced from the original verified merged cutoff dataset,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN,All India CRL,AI,Female-only (including Supernumerary),8290,21049,,,All India CRL,S027,
Indian Institute of Information Technology (IIIT) Pune,321,2023,JoSAA,Round 1,Regular JoSAA seat allocation; sourced from the original verified merged cutoff dataset,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN,All India CRL,AI,Gender-Neutral,4202,14966,,,All India CRL,S027,
Indian Institute of Information Technology (IIIT) Pune,321,2023,JoSAA,Round 1,Regular JoSAA seat allocation; sourced from the original verified merged cutoff dataset,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN (PwD),PwD rank in OPEN category,AI,Female-only (including Supernumerary),1117,1117,,,PwD rank in OPEN category,S027,
