college_name,placement_year,programme,branch,record_scope,graduating_students,eligible_students,registered_students,students_placed,placement_percentage,higher_studies_count,median_package_lpa,average_package_lpa,highest_domestic_package_lpa,highest_international_package_lpa,internship_count,ppo_count,average_stipend,highest_stipend,source_type,source_id,source_page,notes
Indian Institute of Information Technology (IIIT) Pune,2022,B.Tech,CSE,branch-specific; college-reported CTC,,,,,,,,16.0,44.0,,,,,,official placement brochure,S007,15,Brochure labels package figures as placement stats/CTC. Domestic/international split and base salary are not published on this page.
Indian Institute of Information Technology (IIIT) Pune,2023,B.Tech,CSE,branch-specific; college-reported CTC,,,,,,,,19.0,53.0,,,,,,official placement brochure,S007,15,Brochure labels package figures as placement stats/CTC. Domestic/international split and base salary are not published on this page.
Indian Institute of Information Technology (IIIT) Pune,2024,B.Tech,CSE,branch-specific; college-reported CTC,,,,,,,,13.0,43.0,,,,,,official placement brochure,S007,15,Brochure labels package figures as placement stats/CTC. Domestic/international split and base salary are not published on this page.
Indian Institute of Information Technology (IIIT) Pune,2022,B.Tech,ECE,branch-specific; college-reported CTC,,,,,,,,12.0,53.0,,,,,,official placement brochure,S007,15,Brochure labels package figures as placement stats/CTC. Domestic/international split and base salary are not published on this page.
Indian Institute of Information Technology (IIIT) Pune,2023,B.Tech,ECE,branch-specific; college-reported CTC,,,,,,,,16.0,53.0,,,,,,official placement brochure,S007,15,Brochure labels package figures as placement stats/CTC. Domestic/international split and base salary are not published on this page.
Indian Institute of Information Technology (IIIT) Pune,2024,B.Tech,ECE,branch-specific; college-reported CTC,,,,,,,,12.0,21.0,,,,,,official placement brochure,S007,15,Brochure labels package figures as placement stats/CTC. Domestic/international split and base salary are not published on this page.
Indian Institute of Information Technology (IIIT) Pune,2022,M.Tech,CSE,branch-specific; college-reported CTC,,,,,,,,12.0,16.0,,,,,,official placement brochure,S007,15,Brochure labels package figures as placement stats/CTC. Domestic/international split and base salary are not published on this page.
Indian Institute of Information Technology (IIIT) Pune,2023,M.Tech,CSE,branch-specific; college-reported CTC,,,,,,,,9.0,9.0,,,,,,official placement brochure,S007,15,Brochure labels package figures as placement stats/CTC. Domestic/international split and base salary are not published on this page.
Indian Institute of Information Technology (IIIT) Pune,2024,M.Tech,CSE,branch-specific; college-reported CTC,,,,,,,,17.0,19.0,,,,,,official placement brochure,S007,15,Brochure labels package figures as placement stats/CTC. Domestic/international split and base salary are not published on this page.
Indian Institute of Information Technology (IIIT) Pune,2022,M.Tech,ECE,branch-specific; college-reported CTC,,,,,,,,10.0,21.0,,,,,,official placement brochure,S007,15,Brochure labels package figures as placement stats/CTC. Domestic/international split and base salary are not published on this page.
Indian Institute of Information Technology (IIIT) Pune,2023,M.Tech,ECE,branch-specific; college-reported CTC,,,,,,,,18.0,18.0,,,,,,official placement brochure,S007,15,Brochure labels package figures as placement stats/CTC. Domestic/international split and base salary are not published on this page.
Indian Institute of Information Technology (IIIT) Pune,2024,M.Tech,ECE,branch-specific; college-reported CTC,,,,,,,,16.0,18.0,,,,,,official placement brochure,S007,15,Brochure labels package figures as placement stats/CTC. Domestic/international split and base salary are not published on this page.
Indian Institute of Information Technology (IIIT) Pune,2025,B.Tech,CSE,branch-specific; on-campus only; provisional,167,148,162,55,37.16,,,17.12,45.0,,76,,,INR 100000; period not explicitly stated in table,official counselling institute profile,S025,,"Eligible field is the source's count with minimum 6 CGPA after VI semester. Lowest stipend shown as INR 20,000. On-campus placement percentage uses the eligible/minimum-CGPA denominator. Figures were subject to change."
Indian Institute of Information Technology (IIIT) Pune,2025,B.Tech,ECE,branch-specific; on-campus only; provisional,36,31,35,11,35.48,,,15.18,28.99,,13,,,INR 100000; period not explicitly stated in table,official counselling institute profile,S025,,"Eligible field is the source's count with minimum 6 CGPA after VI semester. Lowest stipend shown as INR 15,000. On-campus placement percentage uses the eligible/minimum-CGPA denominator. Figures were subject to change."
Indian Institute of Information Technology (IIIT) Pune,2025,M.Tech,CSE,branch-specific; on-campus only; provisional,13,11,11,7,63.64,,,18.5,22.0,,8,,,INR 55000; period not explicitly stated in table,official counselling institute profile,S025,,"Eligible field is the source's count with minimum 6 CGPA after VI semester. Lowest stipend shown as INR 25,000. On-campus placement percentage uses the eligible/minimum-CGPA denominator. Figures were subject to change."
Indian Institute of Information Technology (IIIT) Pune,2025,All,All,overall counts; on-campus only; provisional,216,190,208,77,,,,,,,97,,,INR 100000; narrative says per month,official counselling institute profile,S025,,"Source total: 216 final-year students, 208 registered, 190 with minimum 6 CGPA, 97 internships and 77 on-campus final placements. M.Tech ECE was shown as NA. Figures were subject to change."
