college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
Indian Institute of Information Technology (IIIT) Pune,Amazon,2025-26,,unknown — not published,,full-time/internship/PPO not separated,confirmed for year; hiring ongoing,,,S005,Named by the official placement statistics page as a major recruiter for the ongoing 2025-26 season.,C
Indian Institute of Information Technology (IIIT) Pune,Walmart,2025-26,,unknown — not published,,full-time/internship/PPO not separated,confirmed for year; hiring ongoing,,,S005,Named by the official placement statistics page as a major recruiter for the ongoing 2025-26 season.,C
Indian Institute of Information Technology (IIIT) Pune,Abacus Insights,2025-26,,unknown — not published,,full-time/internship/PPO not separated,confirmed for year; hiring ongoing,,,S005,Named by the official placement statistics page as a major recruiter for the ongoing 2025-26 season.,C
Indian Institute of Information Technology (IIIT) Pune,ThoughtSpot,2025-26,,unknown — not published,,full-time/internship/PPO not separated,confirmed for year; hiring ongoing,,,S005,Named by the official placement statistics page as a major recruiter for the ongoing 2025-26 season.,C
Indian Institute of Information Technology (IIIT) Pune,ION Group,2025-26,,unknown — not published,,full-time/internship/PPO not separated,confirmed for year; hiring ongoing,,,S005,Named by the official placement statistics page as a major recruiter for the ongoing 2025-26 season.,C
Indian Institute of Information Technology (IIIT) Pune,Salesforce,2025-26,,unknown — not published,,full-time/internship/PPO not separated,confirmed for year; hiring ongoing,,,S005,Named by the official placement statistics page as a major recruiter for the ongoing 2025-26 season.,C
Indian Institute of Information Technology (IIIT) Pune,Tarana Wireless,2025-26,,unknown — not published,,full-time/internship/PPO not separated,confirmed for year; hiring ongoing,,,S005,Named by the official placement statistics page as a major recruiter for the ongoing 2025-26 season.,C
Indian Institute of Information Technology (IIIT) Pune,IBM,2025-26,,unknown — not published,,full-time/internship/PPO not separated,confirmed for year; hiring ongoing,,,S005,Named by the official placement statistics page as a major recruiter for the ongoing 2025-26 season.,C
Indian Institute of Information Technology (IIIT) Pune,Deloitte,2025-26,,unknown — not published,,full-time/internship/PPO not separated,confirmed for year; hiring ongoing,,,S005,Named by the official placement statistics page as a major recruiter for the ongoing 2025-26 season.,C
Indian Institute of Information Technology (IIIT) Pune,GoDaddy,2025-26,,unknown — not published,,full-time/internship/PPO not separated,confirmed for year; hiring ongoing,,,S005,Named by the official placement statistics page as a major recruiter for the ongoing 2025-26 season.,C
Indian Institute of Information Technology (IIIT) Pune,Wayfair,2025,,unknown — not published,,job offer; internship/PPO status not separated,confirmed in official 2025-batch profile; provisional season,,48 LPA,S025,"Company and package were named in the official institute profile. Role, branch eligibility, selection count and base/CTC split were not published.",A for listing; B for institute-reported package
Indian Institute of Information Technology (IIIT) Pune,NVIDIA,2025,,unknown — not published,,job offer; internship/PPO status not separated,confirmed in official 2025-batch profile; provisional season,,45 LPA,S025,"Company and package were named in the official institute profile. Role, branch eligibility, selection count and base/CTC split were not published.",A for listing; B for institute-reported package
Indian Institute of Information Technology (IIIT) Pune,Autodesk,2025,,unknown — not published,,job offer; internship/PPO status not separated,confirmed in official 2025-batch profile; provisional season,,33.5 LPA,S025,"Company and package were named in the official institute profile. Role, branch eligibility, selection count and base/CTC split were not published.",A for listing; B for institute-reported package
