college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",AI & DS,EWS,EWS category rank,All India,Gender-Neutral,4233,4287,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",AI & DS,OBC-NCL,OBC-NCL category rank,All India,Female-only (including Supernumerary),11182,11182,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",AI & DS,OBC-NCL,OBC-NCL category rank,All India,Gender-Neutral,8343,10570,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",AI & DS,OPEN,CRL,All India,Female-only (including Supernumerary),26916,29340,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",AI & DS,OPEN,CRL,All India,Gender-Neutral,17087,26155,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",AI & DS,OPEN (PwD),OPEN-PwD rank,All India,Gender-Neutral,837,837,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",AI & DS,SC,SC category rank,All India,Gender-Neutral,6004,6487,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",AI & DS,ST,ST category rank,All India,Gender-Neutral,740,2955,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 1,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,EWS,EWS category rank,All India,Female-only (including Supernumerary),4056,4152,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 1,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,EWS,EWS category rank,All India,Gender-Neutral,3657,4207,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 1,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,EWS (PwD),EWS (PwD) category rank,All India,Gender-Neutral,145,145,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 1,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OBC-NCL,OBC-NCL category rank,All India,Female-only (including Supernumerary),8468,11080,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 1,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OBC-NCL,OBC-NCL category rank,All India,Gender-Neutral,6207,9861,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 1,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OBC-NCL (PwD),OBC-NCL (PwD) category rank,All India,Gender-Neutral,443,555,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 1,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN,CRL,All India,Female-only (including Supernumerary),17401,26299,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 1,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN,CRL,All India,Gender-Neutral,11064,24149,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 1,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN (PwD),OPEN-PwD rank,All India,Gender-Neutral,524,987,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 1,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC,SC category rank,All India,Female-only (including Supernumerary),3478,5956,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 1,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC,SC category rank,All India,Gender-Neutral,3777,6134,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 1,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC (PwD),SC (PwD) category rank,All India,Gender-Neutral,81,81,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 1,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,ST,ST category rank,All India,Female-only (including Supernumerary),2488,2488,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 1,Regular seat allocation,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,ST,ST category rank,All India,Gender-Neutral,1427,2799,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 1,Regular seat allocation,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,EWS,EWS category rank,All India,Gender-Neutral,4995,5410,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 1,Regular seat allocation,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OBC-NCL,OBC-NCL category rank,All India,Female-only (including Supernumerary),12459,12807,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 1,Regular seat allocation,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OBC-NCL,OBC-NCL category rank,All India,Gender-Neutral,9553,12254,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 1,Regular seat allocation,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OBC-NCL (PwD),OBC-NCL (PwD) category rank,All India,Gender-Neutral,747,747,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",307,2023,JoSAA,Round 1,Regular seat allocation,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OPEN,CRL,All India,Female-only (including Supernumerary),29384,32769,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
