college_name,placement_year,programme,branch,record_scope,graduating_students,eligible_students,registered_students,students_placed,placement_percentage,higher_studies_count,median_package_lpa,average_package_lpa,highest_domestic_package_lpa,highest_international_package_lpa,internship_count,ppo_count,average_stipend,highest_stipend,source_type,source_id,source_page,notes
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",2025-26,B.Tech,Overall,overall / registered cohort,,,235,193,82.1,,14,18.5,145,,,,,,College-reported official placement page,SRC008,,Provisional Batch 2026 report as of 21 April 2026; minimum CTC 8 LPA.
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",2025-26,B.Tech,CSE,branch-specific average only,,,,,,,,19.32,,,,,,,College-reported official placement page,SRC008,,CSE average CTC; no branch denominator published.
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",2025-26,B.Tech,ECE,branch-specific average only,,,,,,,,13.89,,,,,,,College-reported official placement page,SRC008,,ECE average CTC; no branch denominator published.
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",2024-25,B.Tech,Overall,overall / registered cohort,,,245,230,93.8,,14.32,18.44,120,,,,,,College-reported official placement page,SRC008,,Batch 2025 report as updated 21 April 2026; minimum CTC 8 LPA.
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",2024-25,B.Tech,CSE,branch-specific average only,,,,,,,,19.24,,,,,,,College-reported official placement page,SRC008,,CSE average CTC; no branch denominator published.
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",2024-25,B.Tech,ECE,branch-specific average only,,,,,,,,14.85,,,,,,,College-reported official placement page,SRC008,,ECE average CTC; no branch denominator published.
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",2023-24,B.Tech,Overall,overall / registered cohort,,,183,168,91.8,,12,14.2,41,,,,,,College-reported official placement page,SRC008,,Batch 2024 report as updated 21 April 2026; minimum CTC 8 LPA.
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",2023-24,B.Tech,CSE,branch-specific average only,,,,,,,,14.5,,,,,,,College-reported official placement page,SRC008,,CSE average CTC; no branch denominator published.
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",2023-24,B.Tech,ECE,branch-specific average only,,,,,,,,12.4,,,,,,,College-reported official placement page,SRC008,,ECE average CTC; no branch denominator published.
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",2024-25,B.Tech,Overall,archived overall percentage,,,,,93.6,,14.32,18.44,120,,,,,,College-reported official placement page,SRC009,,Archived Batch 2025 entry as of 30 May 2025; denominator not shown in archived table.
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",2023-24,B.Tech,Overall,archived overall percentage,,,,,89.67,,12,14.2,41,,,,,,College-reported official placement page,SRC009,,Archived Batch 2024 entry as of 30 May 2024; denominator not shown in archived table.
