college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Salesforce,Year not individually specified,,Not officially specified,Not published company-by-company,Full-time/internship/PPO not separated in list,"officially listed, year unavailable",,,SRC001,Listed as a latest addition in the 2026 JoSAA profile.,B
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",PayPal,Year not individually specified,,Not officially specified,Not published company-by-company,Full-time/internship/PPO not separated in list,"officially listed, year unavailable",,,SRC001,Listed as a latest addition in the 2026 JoSAA profile.,B
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Caterpillar,Year not individually specified,,Not officially specified,Not published company-by-company,Full-time/internship/PPO not separated in list,"officially listed, year unavailable",,,SRC001,Listed as a latest addition in the 2026 JoSAA profile.,B
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Swiggy,Year not individually specified,,Not officially specified,Not published company-by-company,Full-time/internship/PPO not separated in list,"officially listed, year unavailable",,,SRC001,Listed as a latest addition in the 2026 JoSAA profile.,B
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Amazon,Year not individually specified,,Not officially specified,Not published company-by-company,Full-time/internship/PPO not separated in list,"officially listed, year unavailable",,,SRC001,Listed as a latest addition in the 2026 JoSAA profile.,B
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Walmart,Year not individually specified,,Not officially specified,Not published company-by-company,Full-time/internship/PPO not separated in list,"officially listed, year unavailable",,,SRC001,Listed as a latest addition in the 2026 JoSAA profile.,B
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",NVIDIA,Year not individually specified,,Not officially specified,Not published company-by-company,Full-time/internship/PPO not separated in list,"officially listed, year unavailable",,,SRC001,Listed as a latest addition in the 2026 JoSAA profile.,B
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Kyndryl,Year not individually specified,,Not officially specified,Not published company-by-company,Full-time/internship/PPO not separated in list,"officially listed, year unavailable",,,SRC001,Listed as a latest addition in the 2026 JoSAA profile.,B
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Cyware,Year not individually specified,,Not officially specified,Not published company-by-company,Full-time/internship/PPO not separated in list,"officially listed, year unavailable",,,SRC001,Listed as a latest addition in the 2026 JoSAA profile.,B
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",iRage,Year not individually specified,,Not officially specified,Not published company-by-company,Full-time/internship/PPO not separated in list,"officially listed, year unavailable",,,SRC001,Listed as a latest addition in the 2026 JoSAA profile.,B
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Microsoft,Year not individually specified,,Not officially specified,Not published company-by-company,Full-time/internship/PPO not separated in list,historical recruiter,,,SRC001,Listed among companies that visited in the past; current participation not assumed.,B
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Commvault,Year not individually specified,,Not officially specified,Not published company-by-company,Full-time/internship/PPO not separated in list,historical recruiter,,,SRC001,Listed among companies that visited in the past; current participation not assumed.,B
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Deloitte,Year not individually specified,,Not officially specified,Not published company-by-company,Full-time/internship/PPO not separated in list,historical recruiter,,,SRC001,Listed among companies that visited in the past; current participation not assumed.,B
