college_name,placement_year,programme,branch,record_scope,graduating_students,eligible_students,registered_students,students_placed,placement_percentage,higher_studies_count,median_package_lpa,average_package_lpa,highest_domestic_package_lpa,highest_international_package_lpa,internship_count,ppo_count,average_stipend,highest_stipend,source_type,source_id,source_page,notes
Indian Institute of Technology Bombay,2022-23,B.Tech.,,programme-level,,679,791,598,88.07,,,,,,,,,,Official institution placement report,S013,programme table,Programme-level campus-placement outcome including PPOs. The eligible_students field stores actively participating students because the required CSV schema has no separate participated_students column.
Indian Institute of Technology Bombay,2022-23,B.S. (4 years),,programme-level,,43,57,39,90.7,,,,,,,,,,Official institution placement report,S013,programme table,Programme-level campus-placement outcome including PPOs. The eligible_students field stores actively participating students because the required CSV schema has no separate participated_students column.
Indian Institute of Technology Bombay,2022-23,Dual Degree (B.Tech. + M.Tech.),,programme-level,,187,215,178,95.19,,,,,,,,,,Official institution placement report,S013,programme table,Programme-level campus-placement outcome including PPOs. The eligible_students field stores actively participating students because the required CSV schema has no separate participated_students column.
Indian Institute of Technology Bombay,2022-23,All programmes,,institution overall,,1845,2174,1516,82.17,,,21.82,168,367,1195,194,,,Official institution placement report,S013,highlights/salary/internship tables,The figure 16.66 LPA is omitted from median because official documents conflict on whether it is median salary or average gross salary; see C002. The eligible_students field stores actively participating students because the required CSV schema has no separate participated_students column.
Indian Institute of Technology Bombay,2023-24,B.Tech.,,programme-level,,819,930,683,83.39,,,,,,,,,,Official institution placement report,S012,Table 3,Programme-level placement including PPOs. The eligible_students field stores actively participating students because the required CSV schema has no separate participated_students column.
Indian Institute of Technology Bombay,2023-24,B.S. (4 years),,programme-level,,60,69,39,65.0,,,,,,,,,,Official institution placement report,S012,Table 3,Programme-level placement including PPOs. The eligible_students field stores actively participating students because the required CSV schema has no separate participated_students column.
Indian Institute of Technology Bombay,2023-24,Dual Degree (B.Tech. + M.Tech.),,programme-level,,192,216,152,79.17,,,,,,,,,,Official institution placement report,S012,Table 3,Programme-level placement including PPOs. The eligible_students field stores actively participating students because the required CSV schema has no separate participated_students column.
Indian Institute of Technology Bombay,2023-24,All programmes,,institution overall,,1979,2414,1475,74.53,,17.92,23.5,,,1267,258,,,Official institution placement report,S012,"Tables 1, 8 and 10",Accepted offers/placed count from the official placement report; 78 international offers were accepted. The eligible_students field stores actively participating students because the required CSV schema has no separate participated_students column.
Indian Institute of Technology Bombay,2024-25,B.Tech.,,programme-level,,829,946,678,81.79,,,,,,,,,,Official institution placement report,S011,Placement Table 3,Programme-level placement including PPOs. The eligible_students field stores actively participating students because the required CSV schema has no separate participated_students column.
Indian Institute of Technology Bombay,2024-25,B.S. (4 years),,programme-level,,69,82,39,56.52,,,,,,,,,,Official institution placement report,S011,Placement Table 3,Programme-level placement including PPOs. The eligible_students field stores actively participating students because the required CSV schema has no separate participated_students column.
Indian Institute of Technology Bombay,2024-25,Dual Degree (B.Tech. + M.Tech.),,programme-level,,214,250,171,79.91,,,,,,,,,,Official institution placement report,S011,Placement Table 3,Programme-level placement including PPOs. The eligible_students field stores actively participating students because the required CSV schema has no separate participated_students column.
Indian Institute of Technology Bombay,2024-25,All programmes,,institution overall,,2040,2469,1422,69.71,,20.0,26.45,,,1260,260,,,Official institution placement report,S011,"Placement Tables 1, 7 and internship table",Accepted offers; 65 international offers. Internship total is the official 2024-25 total shown in the annual report. The eligible_students field stores actively participating students because the required CSV schema has no separate participated_students column.
