college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Biotechnology and Biochemical Engineering,EWS,JEE Advanced EWS category rank,AI,Female-only (including Supernumerary),2131,2457,,,JEE Advanced EWS category rank,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Biotechnology and Biochemical Engineering,EWS,JEE Advanced EWS category rank,AI,Gender-Neutral,864,925,,,JEE Advanced EWS category rank,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Biotechnology and Biochemical Engineering,OBC-NCL,JEE Advanced OBC-NCL category rank,AI,Female-only (including Supernumerary),3857,5718,,,JEE Advanced OBC-NCL category rank,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Biotechnology and Biochemical Engineering,OBC-NCL,JEE Advanced OBC-NCL category rank,AI,Gender-Neutral,1155,2725,,,JEE Advanced OBC-NCL category rank,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Biotechnology and Biochemical Engineering,OPEN,JEE Advanced CRL,AI,Female-only (including Supernumerary),7081,9291,,,JEE Advanced CRL,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Biotechnology and Biochemical Engineering,OPEN,JEE Advanced CRL,AI,Gender-Neutral,3596,5139,,,JEE Advanced CRL,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Biotechnology and Biochemical Engineering,SC,JEE Advanced SC category rank,AI,Female-only (including Supernumerary),1927,2689,,,JEE Advanced SC category rank,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Biotechnology and Biochemical Engineering,SC,JEE Advanced SC category rank,AI,Gender-Neutral,1111,1570,,,JEE Advanced SC category rank,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Biotechnology and Biochemical Engineering,ST,JEE Advanced ST category rank,AI,Female-only (including Supernumerary),1442,1442,,,JEE Advanced ST category rank,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Biotechnology and Biochemical Engineering,ST,JEE Advanced ST category rank,AI,Gender-Neutral,720,795,,,JEE Advanced ST category rank,S001,
Indian Institute of Technology Delhi,104,2023,JoSAA,Round 1,Regular,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,EWS,JEE Advanced EWS category rank,AI,Female-only (including Supernumerary),1209,1425,,,JEE Advanced EWS category rank,S001,
