college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
Indian Institute of Technology Gandhinagar,111,2023,JoSAA,Round 1,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,Category rank,AI,Female-only (including Supernumerary),660,660,,,Category rank,S001,
Indian Institute of Technology Gandhinagar,111,2023,JoSAA,Round 1,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,Category rank,AI,Gender-Neutral,270,352,,,Category rank,S001,
Indian Institute of Technology Gandhinagar,111,2023,JoSAA,Round 1,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,Category rank,AI,Female-only (including Supernumerary),1941,1993,,,Category rank,S001,
Indian Institute of Technology Gandhinagar,111,2023,JoSAA,Round 1,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,Category rank,AI,Gender-Neutral,585,1107,,,Category rank,S001,
Indian Institute of Technology Gandhinagar,111,2023,JoSAA,Round 1,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,All India CRL,AI,Female-only (including Supernumerary),2788,2979,,,All India CRL,S001,
Indian Institute of Technology Gandhinagar,111,2023,JoSAA,Round 1,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,All India CRL,AI,Gender-Neutral,1549,2258,,,All India CRL,S001,
Indian Institute of Technology Gandhinagar,111,2023,JoSAA,Round 1,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN (PwD),PwD rank in OPEN category,AI,Gender-Neutral,81,81,,,PwD rank in OPEN category,S001,
Indian Institute of Technology Gandhinagar,111,2023,JoSAA,Round 1,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,SC,Category rank,AI,Female-only (including Supernumerary),1004,1004,,,Category rank,S001,
Indian Institute of Technology Gandhinagar,111,2023,JoSAA,Round 1,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,SC,Category rank,AI,Gender-Neutral,460,731,,,Category rank,S001,
Indian Institute of Technology Gandhinagar,111,2023,JoSAA,Round 1,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,ST,Category rank,AI,Gender-Neutral,308,310,,,Category rank,S001,
Indian Institute of Technology Gandhinagar,111,2023,JoSAA,Round 1,Regular JoSAA seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",CHE,EWS,Category rank,AI,Female-only (including Supernumerary),2947,2947,,,Category rank,S001,
Indian Institute of Technology Gandhinagar,111,2023,JoSAA,Round 1,Regular JoSAA seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",CHE,EWS,Category rank,AI,Gender-Neutral,1265,1332,,,Category rank,S001,
Indian Institute of Technology Gandhinagar,111,2023,JoSAA,Round 1,Regular JoSAA seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",CHE,OBC-NCL,Category rank,AI,Female-only (including Supernumerary),5786,6681,,,Category rank,S001,
Indian Institute of Technology Gandhinagar,111,2023,JoSAA,Round 1,Regular JoSAA seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",CHE,OBC-NCL,Category rank,AI,Gender-Neutral,3045,3852,,,Category rank,S001,
Indian Institute of Technology Gandhinagar,111,2023,JoSAA,Round 1,Regular JoSAA seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",CHE,OPEN,All India CRL,AI,Female-only (including Supernumerary),1780,14158,,,All India CRL,S001,
Indian Institute of Technology Gandhinagar,111,2023,JoSAA,Round 1,Regular JoSAA seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",CHE,OPEN,All India CRL,AI,Gender-Neutral,6522,8664,,,All India CRL,S001,
