college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
Indian Institute of Technology Gandhinagar,Accenture India,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,Accenture Japan,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,Acies,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,Adani Group,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,Addverb,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,Amazon,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,Amul,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,ArcelorMittal Nippon Steel,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,Atlas Copco,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,Axis Bank,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,Axtria India,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,Barclays,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,BNY Mellon,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,Broadridge,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,C-DOT,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,Citi Bank,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,DE Shaw,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,Decimal Point Analytics,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,DevRev,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,eClerx,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,FNZ Group,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,Futures First,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,Graviton,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,Hitachi Energy,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,HPCL,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,IBM,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,Jaguar Land Rover Technology,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,Larsen & Toubro,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,Oracle,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
Indian Institute of Technology Gandhinagar,Texas Instruments,2024,Not published in annual report,Multiple/undisclosed,Not officially published in annual report,Full-time campus placement,confirmed for year,,,S012,"Listed among organisations offering campus placements to the outgoing batch in 2024, annual report pp. 27-28.",B
