college_name,official_branch_name,normalized_branch,degree,duration_years,approved_intake,female_supernumerary_seats,tfws_seats,nba_status,academic_year,source_id
Indian Institute of Technology Guwahati,"Chemical Engineering (4 Years, Bachelor of Technology)",CHE,Bachelor of Technology,4,82,10,0,,2026-27,S002
Indian Institute of Technology Guwahati,"Chemical Science and Technology (4 Years, Bachelor of Technology)",Chemical Science & Technology,Bachelor of Technology,4,56,4,0,,2026-27,S002
Indian Institute of Technology Guwahati,"Civil Engineering (4 Years, Bachelor of Technology)",CE,Bachelor of Technology,4,99,18,0,,2026-27,S002
Indian Institute of Technology Guwahati,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,Bachelor of Technology,4,99,15,0,,2026-27,S002
Indian Institute of Technology Guwahati,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,Bachelor of Technology,4,90,14,0,,2026-27,S002
Indian Institute of Technology Guwahati,"Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",EEE,Bachelor of Technology,4,52,10,0,,2026-27,S002
Indian Institute of Technology Guwahati,"Engineering Physics (4 Years, Bachelor of Technology)",EP,Bachelor of Technology,4,61,7,0,,2026-27,S002
Indian Institute of Technology Guwahati,"Mathematics and Computing (4 Years, Bachelor of Technology)",MnC,Bachelor of Technology,4,68,4,0,,2026-27,S002
Indian Institute of Technology Guwahati,"Mechanical Engineering (4 Years, Bachelor of Technology)",ME,Bachelor of Technology,4,99,20,0,,2026-27,S002
Indian Institute of Technology Guwahati,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",DS & AI,Bachelor of Technology,4,60,0,0,,2026-27,S002
Indian Institute of Technology Guwahati,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",BSBE,Bachelor of Technology,4,69,5,0,,2026-27,S002
Indian Institute of Technology Guwahati,"Energy Engineering (4 Years, Bachelor of Technology)",Energy Engineering,Bachelor of Technology,4,20,0,0,,2026-27,S002
