college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",BSBE,EWS,Category rank,All India,Female-only (including Supernumerary),2802,2965,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",BSBE,EWS,Category rank,All India,Gender-Neutral,1305,1504,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",BSBE,OBC-NCL,Category rank,All India,Female-only (including Supernumerary),6769,7470,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",BSBE,OBC-NCL,Category rank,All India,Gender-Neutral,3179,3990,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",BSBE,OPEN,All India CRL,All India,Female-only (including Supernumerary),13369,15098,,,All India CRL,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",BSBE,OPEN,All India CRL,All India,Gender-Neutral,7637,9185,,,All India CRL,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",BSBE,SC,Category rank,All India,Female-only (including Supernumerary),3777,3853,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",BSBE,SC,Category rank,All India,Gender-Neutral,1992,2366,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",BSBE,ST,Category rank,All India,Female-only (including Supernumerary),1582,1582,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",BSBE,ST,Category rank,All India,Gender-Neutral,673,1192,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Chemical Engineering (4 Years, Bachelor of Technology)",CHE,EWS,Category rank,All India,Female-only (including Supernumerary),2299,2384,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Chemical Engineering (4 Years, Bachelor of Technology)",CHE,EWS,Category rank,All India,Gender-Neutral,829,1024,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Chemical Engineering (4 Years, Bachelor of Technology)",CHE,OBC-NCL,Category rank,All India,Female-only (including Supernumerary),4970,5272,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Chemical Engineering (4 Years, Bachelor of Technology)",CHE,OBC-NCL,Category rank,All India,Gender-Neutral,1960,2510,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Chemical Engineering (4 Years, Bachelor of Technology)",CHE,OPEN,All India CRL,All India,Female-only (including Supernumerary),9623,11057,,,All India CRL,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Chemical Engineering (4 Years, Bachelor of Technology)",CHE,OPEN,All India CRL,All India,Gender-Neutral,4344,5511,,,All India CRL,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Chemical Engineering (4 Years, Bachelor of Technology)",CHE,SC,Category rank,All India,Female-only (including Supernumerary),2408,2472,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Chemical Engineering (4 Years, Bachelor of Technology)",CHE,SC,Category rank,All India,Gender-Neutral,1045,1524,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Chemical Engineering (4 Years, Bachelor of Technology)",CHE,ST,Category rank,All India,Female-only (including Supernumerary),662,991,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Chemical Engineering (4 Years, Bachelor of Technology)",CHE,ST,Category rank,All India,Gender-Neutral,733,765,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Chemical Science and Technology (4 Years, Bachelor of Technology)",Chemical Science & Technology,EWS,Category rank,All India,Female-only (including Supernumerary),2599,2599,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Chemical Science and Technology (4 Years, Bachelor of Technology)",Chemical Science & Technology,EWS,Category rank,All India,Gender-Neutral,1082,1248,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Chemical Science and Technology (4 Years, Bachelor of Technology)",Chemical Science & Technology,OBC-NCL,Category rank,All India,Female-only (including Supernumerary),5350,6569,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Chemical Science and Technology (4 Years, Bachelor of Technology)",Chemical Science & Technology,OBC-NCL,Category rank,All India,Gender-Neutral,2394,3364,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Chemical Science and Technology (4 Years, Bachelor of Technology)",Chemical Science & Technology,OPEN,All India CRL,All India,Female-only (including Supernumerary),11302,12913,,,All India CRL,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Chemical Science and Technology (4 Years, Bachelor of Technology)",Chemical Science & Technology,OPEN,All India CRL,All India,Gender-Neutral,5400,7828,,,All India CRL,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Chemical Science and Technology (4 Years, Bachelor of Technology)",Chemical Science & Technology,SC,Category rank,All India,Female-only (including Supernumerary),2838,3005,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Chemical Science and Technology (4 Years, Bachelor of Technology)",Chemical Science & Technology,SC,Category rank,All India,Gender-Neutral,1657,1862,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Chemical Science and Technology (4 Years, Bachelor of Technology)",Chemical Science & Technology,ST,Category rank,All India,Female-only (including Supernumerary),1135,1135,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Chemical Science and Technology (4 Years, Bachelor of Technology)",Chemical Science & Technology,ST,Category rank,All India,Gender-Neutral,769,881,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Civil Engineering (4 Years, Bachelor of Technology)",CE,EWS,Category rank,All India,Female-only (including Supernumerary),2504,2530,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Civil Engineering (4 Years, Bachelor of Technology)",CE,EWS,Category rank,All India,Gender-Neutral,1193,1286,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Civil Engineering (4 Years, Bachelor of Technology)",CE,OBC-NCL,Category rank,All India,Female-only (including Supernumerary),5903,6256,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Civil Engineering (4 Years, Bachelor of Technology)",CE,OBC-NCL,Category rank,All India,Gender-Neutral,2849,3126,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Civil Engineering (4 Years, Bachelor of Technology)",CE,OPEN,All India CRL,All India,Female-only (including Supernumerary),12805,14541,,,All India CRL,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Civil Engineering (4 Years, Bachelor of Technology)",CE,OPEN,All India CRL,All India,Gender-Neutral,4386,7399,,,All India CRL,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Civil Engineering (4 Years, Bachelor of Technology)",CE,SC,Category rank,All India,Female-only (including Supernumerary),2170,3087,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Civil Engineering (4 Years, Bachelor of Technology)",CE,SC,Category rank,All India,Gender-Neutral,1507,1656,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Civil Engineering (4 Years, Bachelor of Technology)",CE,ST,Category rank,All India,Female-only (including Supernumerary),893,1169,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Civil Engineering (4 Years, Bachelor of Technology)",CE,ST,Category rank,All India,Gender-Neutral,528,585,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,EWS,Category rank,All India,Female-only (including Supernumerary),181,204,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,EWS,Category rank,All India,Gender-Neutral,72,91,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OBC-NCL,Category rank,All India,Female-only (including Supernumerary),666,757,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OBC-NCL,Category rank,All India,Gender-Neutral,196,262,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OBC-NCL (PwD),PwD rank within OBC-NCL category,All India,Gender-Neutral,16,18,,,PwD rank within OBC-NCL category,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN,All India CRL,All India,Female-only (including Supernumerary),1422,1718,,,All India CRL,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN,All India CRL,All India,Gender-Neutral,398,601,,,All India CRL,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,OPEN (PwD),PwD rank in OPEN category,All India,Gender-Neutral,26,37,,,PwD rank in OPEN category,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC,Category rank,All India,Female-only (including Supernumerary),353,383,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC,Category rank,All India,Gender-Neutral,92,151,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,SC (PwD),PwD rank within SC category,All India,Gender-Neutral,8,8,,,PwD rank within SC category,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,ST,Category rank,All India,Female-only (including Supernumerary),238,296,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,ST,Category rank,All India,Gender-Neutral,58,83,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",DS & AI,EWS,Category rank,All India,Female-only (including Supernumerary),375,375,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",DS & AI,EWS,Category rank,All India,Gender-Neutral,119,129,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",DS & AI,OBC-NCL,Category rank,All India,Female-only (including Supernumerary),1187,1243,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",DS & AI,OBC-NCL,Category rank,All India,Gender-Neutral,306,380,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",DS & AI,OPEN,All India CRL,All India,Female-only (including Supernumerary),1497,1945,,,All India CRL,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",DS & AI,OPEN,All India CRL,All India,Gender-Neutral,628,974,,,All India CRL,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",DS & AI,SC,Category rank,All India,Female-only (including Supernumerary),802,802,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",DS & AI,SC,Category rank,All India,Gender-Neutral,183,262,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",DS & AI,ST,Category rank,All India,Gender-Neutral,98,100,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,EWS,Category rank,All India,Female-only (including Supernumerary),475,484,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,EWS,Category rank,All India,Gender-Neutral,221,271,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OBC-NCL,Category rank,All India,Female-only (including Supernumerary),1578,1674,,,Category rank,S001,
Indian Institute of Technology Guwahati,117,2023,JoSAA,Round 1,Regular JoSAA round,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,OBC-NCL,Category rank,All India,Gender-Neutral,616,780,,,Category rank,S001,
