college_name,placement_year,programme,branch,record_scope,graduating_students,eligible_students,registered_students,students_placed,placement_percentage,higher_studies_count,median_package_lpa,average_package_lpa,highest_domestic_package_lpa,highest_international_package_lpa,internship_count,ppo_count,average_stipend,highest_stipend,source_type,source_id,source_page,notes
Indian Institute of Technology Guwahati,2024-25,All programmes,Overall,CCD registered students,,,1606,1001,62,,,,125,,,193,,,College placement-cell reported,S014,3-4,Highest figure is CTC; placement percentage uses registered-student denominator.
Indian Institute of Technology Guwahati,2024-25,B.Tech,Overall,CCD B.Tech registered students,,,842,637,75.65,,20.44,25.21,,,,193,,,College placement-cell reported,S014,6;13,Compensation table covers 632 placed students while placement table reports 637; preserved as conflict.
Indian Institute of Technology Guwahati,2024-25,B.Tech,BSBE,Branch-specific CCD registered students,,,61,35,57.38,,13,15.97,,,,,,,College placement-cell reported,S014,8;14,CTC values are calculated only for placed students.
Indian Institute of Technology Guwahati,2024-25,B.Tech,CHE,Branch-specific CCD registered students,,,87,60,68.97,,15,17.14,,,,,,,College placement-cell reported,S014,8;14,CTC values are calculated only for placed students.
Indian Institute of Technology Guwahati,2024-25,B.Tech,Chemical Science & Technology,Branch-specific CCD registered students,,,51,31,60.78,,15,20.62,,,,,,,College placement-cell reported,S014,8;14,CTC values are calculated only for placed students.
Indian Institute of Technology Guwahati,2024-25,B.Tech,CE,Branch-specific CCD registered students,,,98,65,66.33,,17,20.57,,,,,,,College placement-cell reported,S014,8;14,CTC values are calculated only for placed students.
Indian Institute of Technology Guwahati,2024-25,B.Tech,CSE,Branch-specific CCD registered students,,,118,107,90.68,,34.1,36.94,,,,,,,College placement-cell reported,S014,8;14,CTC values are calculated only for placed students.
Indian Institute of Technology Guwahati,2024-25,B.Tech,ECE,Branch-specific CCD registered students,,,112,96,85.71,,23.43,24.82,,,,,,,College placement-cell reported,S014,8;14,CTC values are calculated only for placed students.
Indian Institute of Technology Guwahati,2024-25,B.Tech,EEE,Branch-specific CCD registered students,,,63,49,77.78,,21.2,24.38,,,,,,,College placement-cell reported,S014,8;14,CTC values are calculated only for placed students.
Indian Institute of Technology Guwahati,2024-25,B.Tech,MnC,Branch-specific CCD registered students,,,76,69,90.79,,25,33.14,,,,,,,College placement-cell reported,S014,8;14,CTC values are calculated only for placed students.
Indian Institute of Technology Guwahati,2024-25,B.Tech,ME,Branch-specific CCD registered students,,,102,71,69.61,,17,18.19,,,,,,,College placement-cell reported,S014,8;14,CTC values are calculated only for placed students.
Indian Institute of Technology Guwahati,2024-25,B.Tech,EP,Branch-specific CCD registered students,,,52,31,59.62,,16,20.06,,,,,,,College placement-cell reported,S014,8;14,CTC values are calculated only for placed students.
Indian Institute of Technology Guwahati,2024-25,B.Tech,DS & AI,Branch-specific CCD registered students,,,22,20,90.91,,25,33.98,,,,,,,College placement-cell reported,S014,8;14,CTC values are calculated only for placed students.
Indian Institute of Technology Guwahati,2023-24,All programmes,Overall,CCD registered students,,,1584,1124,71,,,,205,,,229,,,College placement-cell reported,S015,2-3,PPO count differs within the same report; 229 is the headline/year table value.
Indian Institute of Technology Guwahati,2023-24,B.Tech,Overall,Programme placed and compensation record,,,,636,,,19.48,25.75,205,,,,,,College placement-cell reported,S015,5;10,Registered denominator not published as a standalone B.Tech figure; CTC basis.
Indian Institute of Technology Guwahati,2023-24,B.Tech,BSBE,Branch-specific CCD registered students,,,52,36,69,,14,16.34,51.03,,,,,,College placement-cell reported,S015,6;10,Salary figures are CTC.
Indian Institute of Technology Guwahati,2023-24,B.Tech,CHE,Branch-specific CCD registered students,,,86,68,79,,17,22.49,75.97,,,,,,College placement-cell reported,S015,6;10,Salary figures are CTC.
