college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
Indian Institute of Technology Guwahati,Boston Consulting Group,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,McKinsey & Company,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,PwC,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,Deloitte,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,EY-Parthenon,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,KPMG,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,Media.net,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,Meesho,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,Zomato,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,Swiggy,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,Dream11,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,HSBC,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,Myntra,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,Fiserv,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,Tiger Analytics,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,Publicis Sapient,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,QRT,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,NoBroker,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,EXL,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,American Express,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,Zepto,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,Tata 1mg,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,Goldman Sachs,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,Groww,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,Citi,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,Mastercard,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,Oracle,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,PayPal,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,Flipkart,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
Indian Institute of Technology Guwahati,Deutsche Bank,2024-25,Not individually specified,"Varied — software, analytics, finance, consulting, product or business",Not publicly specified company-wise,Full-time / internship / PPO not individually specified,confirmed for year,,,S014,"Logo appears on the official 2024-25 CCD recruiter pages 20-21. Company-wise role, branch eligibility, selections and package were not published there.",B
