college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
Indian Institute of Technology Hyderabad,107,2024,JoSAA,1,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,GEN-EWS rank,AI,Female-only (including Supernumerary),372,372,,,GEN-EWS rank,S001,
Indian Institute of Technology Hyderabad,107,2024,JoSAA,2,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,GEN-EWS rank,AI,Female-only (including Supernumerary),372,372,,,GEN-EWS rank,S001,
Indian Institute of Technology Hyderabad,107,2024,JoSAA,3,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,GEN-EWS rank,AI,Female-only (including Supernumerary),372,372,,,GEN-EWS rank,S001,
Indian Institute of Technology Hyderabad,107,2024,JoSAA,4,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,GEN-EWS rank,AI,Female-only (including Supernumerary),372,372,,,GEN-EWS rank,S001,
Indian Institute of Technology Hyderabad,107,2024,JoSAA,5,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,GEN-EWS rank,AI,Female-only (including Supernumerary),372,372,,,GEN-EWS rank,S001,
Indian Institute of Technology Hyderabad,107,2024,JoSAA,1,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,GEN-EWS rank,AI,Gender-Neutral,114,115,,,GEN-EWS rank,S001,
Indian Institute of Technology Hyderabad,107,2024,JoSAA,2,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,GEN-EWS rank,AI,Gender-Neutral,114,127,,,GEN-EWS rank,S001,
Indian Institute of Technology Hyderabad,107,2024,JoSAA,3,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,GEN-EWS rank,AI,Gender-Neutral,114,127,,,GEN-EWS rank,S001,
Indian Institute of Technology Hyderabad,107,2024,JoSAA,4,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,GEN-EWS rank,AI,Gender-Neutral,114,127,,,GEN-EWS rank,S001,
Indian Institute of Technology Hyderabad,107,2024,JoSAA,5,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,GEN-EWS rank,AI,Gender-Neutral,114,127,,,GEN-EWS rank,S001,
Indian Institute of Technology Hyderabad,107,2024,JoSAA,1,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS (PwD),GEN-EWS-PwD rank,AI,Gender-Neutral,23,23,,,GEN-EWS-PwD rank,S001,
Indian Institute of Technology Hyderabad,107,2024,JoSAA,2,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS (PwD),GEN-EWS-PwD rank,AI,Gender-Neutral,23,23,,,GEN-EWS-PwD rank,S001,
Indian Institute of Technology Hyderabad,107,2024,JoSAA,3,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS (PwD),GEN-EWS-PwD rank,AI,Gender-Neutral,23,23,,,GEN-EWS-PwD rank,S001,
Indian Institute of Technology Hyderabad,107,2024,JoSAA,4,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS (PwD),GEN-EWS-PwD rank,AI,Gender-Neutral,23,23,,,GEN-EWS-PwD rank,S001,
Indian Institute of Technology Hyderabad,107,2024,JoSAA,5,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS (PwD),GEN-EWS-PwD rank,AI,Gender-Neutral,23,23,,,GEN-EWS-PwD rank,S001,
Indian Institute of Technology Hyderabad,107,2024,JoSAA,1,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,AI,Female-only (including Supernumerary),562,798,,,OBC-NCL rank,S001,
Indian Institute of Technology Hyderabad,107,2024,JoSAA,2,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,AI,Female-only (including Supernumerary),562,798,,,OBC-NCL rank,S001,
Indian Institute of Technology Hyderabad,107,2024,JoSAA,3,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,AI,Female-only (including Supernumerary),562,798,,,OBC-NCL rank,S001,
Indian Institute of Technology Hyderabad,107,2024,JoSAA,4,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,AI,Female-only (including Supernumerary),562,798,,,OBC-NCL rank,S001,
Indian Institute of Technology Hyderabad,107,2024,JoSAA,5,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,AI,Female-only (including Supernumerary),562,798,,,OBC-NCL rank,S001,
Indian Institute of Technology Hyderabad,107,2024,JoSAA,1,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,AI,Gender-Neutral,295,399,,,OBC-NCL rank,S001,
Indian Institute of Technology Hyderabad,107,2024,JoSAA,2,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,AI,Gender-Neutral,295,399,,,OBC-NCL rank,S001,
Indian Institute of Technology Hyderabad,107,2024,JoSAA,3,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,AI,Gender-Neutral,295,399,,,OBC-NCL rank,S001,
Indian Institute of Technology Hyderabad,107,2024,JoSAA,4,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,AI,Gender-Neutral,295,399,,,OBC-NCL rank,S001,
Indian Institute of Technology Hyderabad,107,2024,JoSAA,5,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,AI,Gender-Neutral,295,399,,,OBC-NCL rank,S001,
Indian Institute of Technology Hyderabad,107,2024,JoSAA,1,Regular JoSAA seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),OBC-NCL-PwD rank,AI,Gender-Neutral,19,19,,,OBC-NCL-PwD rank,S001,
