college_name,placement_year,programme,branch,record_scope,graduating_students,eligible_students,registered_students,students_placed,placement_percentage,higher_studies_count,median_package_lpa,average_package_lpa,highest_domestic_package_lpa,highest_international_package_lpa,internship_count,ppo_count,average_stipend,highest_stipend,source_type,source_id,source_page,notes
Indian Institute of Technology Hyderabad,2022-23,UG 4-year,Overall,NIRF graduating cohort,293,,,269,91.81,17,21.0,,,,,,,,NIRF-reported,S012,,Graduating-cohort outcome; not the same denominator as OCS registration data.
Indian Institute of Technology Hyderabad,2023-24,UG 4-year,Overall,NIRF graduating cohort,399,,,306,76.69,37,21.0,,,,,,,,NIRF-reported,S012,,Graduating-cohort outcome; not the same denominator as OCS registration data.
Indian Institute of Technology Hyderabad,2024-25,UG 4-year,Overall,NIRF graduating cohort,447,,,364,81.43,45,19.15,,,,,,,,NIRF-reported,S012,,Graduating-cohort outcome; not the same denominator as OCS registration data.
Indian Institute of Technology Hyderabad,2022-23,PG 2-year,Overall,NIRF graduating cohort,335,,,297,88.66,29,15.0,,,,,,,,NIRF-reported,S012,,Graduating-cohort outcome; not the same denominator as OCS registration data.
Indian Institute of Technology Hyderabad,2023-24,PG 2-year,Overall,NIRF graduating cohort,320,,,283,88.44,23,14.5,,,,,,,,NIRF-reported,S012,,Graduating-cohort outcome; not the same denominator as OCS registration data.
Indian Institute of Technology Hyderabad,2024-25,PG 2-year,Overall,NIRF graduating cohort,396,,,302,76.26,41,13.0,,,,,,,,NIRF-reported,S012,,Graduating-cohort outcome; not the same denominator as OCS registration data.
Indian Institute of Technology Hyderabad,2022-23,PG 3-year,Overall,NIRF graduating cohort,32,,,26,81.25,2,21.88,,,,,,,,NIRF-reported,S012,,Graduating-cohort outcome; not the same denominator as OCS registration data.
Indian Institute of Technology Hyderabad,2023-24,PG 3-year,Overall,NIRF graduating cohort,36,,,28,77.78,5,34.6,,,,,,,,NIRF-reported,S012,,Graduating-cohort outcome; not the same denominator as OCS registration data.
Indian Institute of Technology Hyderabad,2024-25,PG 3-year,Overall,NIRF graduating cohort,51,,,50,98.04,1,24.0,,,,,,,,NIRF-reported,S012,,Graduating-cohort outcome; not the same denominator as OCS registration data.
Indian Institute of Technology Hyderabad,2024-25,All programmes,Overall,Institution placement-office summary,,,943,700,74.23,,,20.26,66.13,,403,,"INR 80,000/month","INR 19,00,000/month",College-reported annual report,S013,,"700 offers treated as accepted/placement offers only where the report supports that interpretation; 210 hiring companies, 53 international offers. Internship narrative says 403 while highlights table says 405."
Indian Institute of Technology Hyderabad,2023-24,All programmes,Overall,Institution placement-office summary,,,845,530,62.72,,,22.45,90,,254,66,"INR 77,000/month","INR 2,00,000/month",College-reported annual report,S014,,"530 offers, 148 hiring companies and 43 international offers. Offers are not necessarily unique students."
Indian Institute of Technology Hyderabad,2023-24,All programmes,Overall,OCS public placement snapshot,,,,493,64.07,,,22.5,90,,,87,,,Placement-cell reported,S015,,"521 total offers, 320 registered companies and 43 international offers; denominator differs from annual-report and NIRF records."
Indian Institute of Technology Hyderabad,2022-23,All programmes,Overall,OCS public placement snapshot,,,,570,74.9,,,20.07,63.78,,,104,,,Placement-cell reported,S016,,"621 total offers, 335 companies and 55 international offers; denominator differs from NIRF records."
Indian Institute of Technology Hyderabad,2025-26,All programmes,Overall,Provisional institution-supplied JoSAA profile snapshot,,,,,,,,,,,344,169,,,Institution-published provisional snapshot,S002,,"643 offers from 205 companies, 45 international offers, 13 international internships and about 350+ registered companies. Not a final placement report."
