college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
Indian Institute of Technology Hyderabad,ABB,2025-26,Not publicly specified,Not publicly specified,Not publicly specified,Full-time / internship / PPO not individually specified,confirmed for year,,,S002,"Named as a major recruiter in the official 2026 JoSAA institute profile. Company-wise role, branch eligibility, selections and package were not publicly verified.",B
Indian Institute of Technology Hyderabad,Accenture Japan,2025-26,Not publicly specified,Not publicly specified,Not publicly specified,Full-time / internship / PPO not individually specified,confirmed for year,,,S002,"Named as a major recruiter in the official 2026 JoSAA institute profile. Company-wise role, branch eligibility, selections and package were not publicly verified.",B
Indian Institute of Technology Hyderabad,Arcesium,2025-26,Not publicly specified,Not publicly specified,Not publicly specified,Full-time / internship / PPO not individually specified,confirmed for year,,,S002,"Named as a major recruiter in the official 2026 JoSAA institute profile. Company-wise role, branch eligibility, selections and package were not publicly verified.",B
Indian Institute of Technology Hyderabad,BNY Mellon,2025-26,Not publicly specified,Not publicly specified,Not publicly specified,Full-time / internship / PPO not individually specified,confirmed for year,,,S002,"Named as a major recruiter in the official 2026 JoSAA institute profile. Company-wise role, branch eligibility, selections and package were not publicly verified.",B
Indian Institute of Technology Hyderabad,Deloitte,2025-26,Not publicly specified,Not publicly specified,Not publicly specified,Full-time / internship / PPO not individually specified,confirmed for year,,,S002,"Named as a major recruiter in the official 2026 JoSAA institute profile. Company-wise role, branch eligibility, selections and package were not publicly verified.",B
Indian Institute of Technology Hyderabad,Flipkart,2025-26,Not publicly specified,Not publicly specified,Not publicly specified,Full-time / internship / PPO not individually specified,confirmed for year,,,S002,"Named as a major recruiter in the official 2026 JoSAA institute profile. Company-wise role, branch eligibility, selections and package were not publicly verified.",B
Indian Institute of Technology Hyderabad,Fujitsu,2025-26,Not publicly specified,Not publicly specified,Not publicly specified,Full-time / internship / PPO not individually specified,confirmed for year,,,S002,"Named as a major recruiter in the official 2026 JoSAA institute profile. Company-wise role, branch eligibility, selections and package were not publicly verified.",B
Indian Institute of Technology Hyderabad,Goldman Sachs,2025-26,Not publicly specified,Not publicly specified,Not publicly specified,Full-time / internship / PPO not individually specified,confirmed for year,,,S002,"Named as a major recruiter in the official 2026 JoSAA institute profile. Company-wise role, branch eligibility, selections and package were not publicly verified.",B
Indian Institute of Technology Hyderabad,Intel,2025-26,Not publicly specified,Not publicly specified,Not publicly specified,Full-time / internship / PPO not individually specified,confirmed for year,,,S002,"Named as a major recruiter in the official 2026 JoSAA institute profile. Company-wise role, branch eligibility, selections and package were not publicly verified.",B
Indian Institute of Technology Hyderabad,KLA Tencor,2025-26,Not publicly specified,Not publicly specified,Not publicly specified,Full-time / internship / PPO not individually specified,confirmed for year,,,S002,"Named as a major recruiter in the official 2026 JoSAA institute profile. Company-wise role, branch eligibility, selections and package were not publicly verified.",B
Indian Institute of Technology Hyderabad,MathWorks,2025-26,Not publicly specified,Not publicly specified,Not publicly specified,Full-time / internship / PPO not individually specified,confirmed for year,,,S002,"Named as a major recruiter in the official 2026 JoSAA institute profile. Company-wise role, branch eligibility, selections and package were not publicly verified.",B
Indian Institute of Technology Hyderabad,Microsoft,2025-26,Not publicly specified,Not publicly specified,Not publicly specified,Full-time / internship / PPO not individually specified,confirmed for year,,,S002,"Named as a major recruiter in the official 2026 JoSAA institute profile. Company-wise role, branch eligibility, selections and package were not publicly verified.",B
Indian Institute of Technology Hyderabad,Morgan Stanley,2025-26,Not publicly specified,Not publicly specified,Not publicly specified,Full-time / internship / PPO not individually specified,confirmed for year,,,S002,"Named as a major recruiter in the official 2026 JoSAA institute profile. Company-wise role, branch eligibility, selections and package were not publicly verified.",B
Indian Institute of Technology Hyderabad,Optiver,2025-26,Not publicly specified,Not publicly specified,Not publicly specified,Full-time / internship / PPO not individually specified,confirmed for year,,,S002,"Named as a major recruiter in the official 2026 JoSAA institute profile. Company-wise role, branch eligibility, selections and package were not publicly verified.",B
Indian Institute of Technology Hyderabad,Qualcomm,2025-26,Not publicly specified,Not publicly specified,Not publicly specified,Full-time / internship / PPO not individually specified,confirmed for year,,,S002,"Named as a major recruiter in the official 2026 JoSAA institute profile. Company-wise role, branch eligibility, selections and package were not publicly verified.",B
Indian Institute of Technology Hyderabad,Salesforce,2025-26,Not publicly specified,Not publicly specified,Not publicly specified,Full-time / internship / PPO not individually specified,confirmed for year,,,S002,"Named as a major recruiter in the official 2026 JoSAA institute profile. Company-wise role, branch eligibility, selections and package were not publicly verified.",B
