college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
Indian Institute of Technology Kanpur,109,2023,JoSAA,Round 1,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,EWS,GEN-EWS category rank,AI,Female-only (including Supernumerary),1939,1939,,,GEN-EWS category rank,S001,
Indian Institute of Technology Kanpur,109,2023,JoSAA,Round 1,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,EWS,GEN-EWS category rank,AI,Gender-Neutral,642,818,,,GEN-EWS category rank,S001,
Indian Institute of Technology Kanpur,109,2023,JoSAA,Round 1,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,OBC-NCL,OBC-NCL category rank,AI,Female-only (including Supernumerary),4192,4333,,,OBC-NCL category rank,S001,
Indian Institute of Technology Kanpur,109,2023,JoSAA,Round 1,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,OBC-NCL,OBC-NCL category rank,AI,Gender-Neutral,1615,2047,,,OBC-NCL category rank,S001,
Indian Institute of Technology Kanpur,109,2023,JoSAA,Round 1,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,OBC-NCL (PwD),OBC-NCL category (PwD) rank,AI,Gender-Neutral,65,65,,,OBC-NCL category (PwD) rank,S001,
Indian Institute of Technology Kanpur,109,2023,JoSAA,Round 1,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,OPEN,CRL,AI,Female-only (including Supernumerary),6174,8157,,,CRL,S001,
Indian Institute of Technology Kanpur,109,2023,JoSAA,Round 1,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,OPEN,CRL,AI,Gender-Neutral,2316,3754,,,CRL,S001,
Indian Institute of Technology Kanpur,109,2023,JoSAA,Round 1,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,OPEN (PwD),OPEN-PwD rank,AI,Gender-Neutral,87,87,,,OPEN-PwD rank,S001,
Indian Institute of Technology Kanpur,109,2023,JoSAA,Round 1,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,SC,SC category rank,AI,Female-only (including Supernumerary),2055,2261,,,SC category rank,S001,
Indian Institute of Technology Kanpur,109,2023,JoSAA,Round 1,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,SC,SC category rank,AI,Gender-Neutral,776,1213,,,SC category rank,S001,
Indian Institute of Technology Kanpur,109,2023,JoSAA,Round 1,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,ST,ST category rank,AI,Female-only (including Supernumerary),945,945,,,ST category rank,S001,
Indian Institute of Technology Kanpur,109,2023,JoSAA,Round 1,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,ST,ST category rank,AI,Gender-Neutral,405,698,,,ST category rank,S001,
Indian Institute of Technology Kanpur,109,2023,JoSAA,Round 1,Regular JoSAA round,"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",Biological Sciences and Bioengineering,EWS,GEN-EWS category rank,AI,Female-only (including Supernumerary),2684,2684,,,GEN-EWS category rank,S001,
Indian Institute of Technology Kanpur,109,2023,JoSAA,Round 1,Regular JoSAA round,"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",Biological Sciences and Bioengineering,EWS,GEN-EWS category rank,AI,Gender-Neutral,1121,1263,,,GEN-EWS category rank,S001,
Indian Institute of Technology Kanpur,109,2023,JoSAA,Round 1,Regular JoSAA round,"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",Biological Sciences and Bioengineering,OBC-NCL,OBC-NCL category rank,AI,Female-only (including Supernumerary),5676,6396,,,OBC-NCL category rank,S001,
Indian Institute of Technology Kanpur,109,2023,JoSAA,Round 1,Regular JoSAA round,"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",Biological Sciences and Bioengineering,OBC-NCL,OBC-NCL category rank,AI,Gender-Neutral,3142,3470,,,OBC-NCL category rank,S001,
Indian Institute of Technology Kanpur,109,2023,JoSAA,Round 1,Regular JoSAA round,"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",Biological Sciences and Bioengineering,OPEN,CRL,AI,Female-only (including Supernumerary),10435,11591,,,CRL,S001,
Indian Institute of Technology Kanpur,109,2023,JoSAA,Round 1,Regular JoSAA round,"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",Biological Sciences and Bioengineering,OPEN,CRL,AI,Gender-Neutral,5576,7520,,,CRL,S001,
Indian Institute of Technology Kanpur,109,2023,JoSAA,Round 1,Regular JoSAA round,"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",Biological Sciences and Bioengineering,SC,SC category rank,AI,Female-only (including Supernumerary),3283,3442,,,SC category rank,S001,
Indian Institute of Technology Kanpur,109,2023,JoSAA,Round 1,Regular JoSAA round,"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",Biological Sciences and Bioengineering,SC,SC category rank,AI,Gender-Neutral,1591,2051,,,SC category rank,S001,
