college_name,placement_year,programme,branch,record_scope,graduating_students,eligible_students,registered_students,students_placed,placement_percentage,higher_studies_count,median_package_lpa,average_package_lpa,highest_domestic_package_lpa,highest_international_package_lpa,internship_count,ppo_count,average_stipend,highest_stipend,source_type,source_id,source_page,notes
Indian Institute of Technology Kanpur,2022-23,All registered UG and PG programmes,,institution overall,,,1382,1215,87.92,,,,190,,,208,,,Official institution report,S014,125-127,"Registration-based campus placement. 81 international offers, 73 accepted. Highest international base salary was HKD 2,250,000 and is not converted to LPA."
Indian Institute of Technology Kanpur,2022-23,"B.Tech., B.S. and Double Major",,programme group,,,774,684,88.37,,,,,,,,,,Official institution report,S014,placement programme chart,Registration-based campus placement.
Indian Institute of Technology Kanpur,2022-23,PG programmes,,programme group,,,608,531,87.34,,,,,,,,,,Official institution report,S014,placement programme chart,Registration-based campus placement.
Indian Institute of Technology Kanpur,2023-24,All registered UG and PG programmes,,institution overall,,,1430,1111,77.69,,,,,,440,220,,,Official institution report,S012,88,Final placement section; 22 international offers. 471 internships were offered and 440 accepted; internship_count records accepted internships.
Indian Institute of Technology Kanpur,2023-24,"B.Tech., B.S., Double Major and Dual Degree",,programme group,,,899,738,82.09,,,,,,,,,,Official institution report,S012,88,Registration-based campus placement.
Indian Institute of Technology Kanpur,2023-24,"M.Tech., MS(R), MBA and M.Des.",,programme group,,,531,373,70.24,,,,,,,,,,Official institution report,S012,88,Registration-based campus placement; scope excludes some programmes listed in the institute-wide denominator.
Indian Institute of Technology Kanpur,2024-25,All registered UG and PG programmes,,institution overall,,,1530,1225,80.07,,,,,,552,200,,,Official institution report,S010,118,Provisional as of 18 May 2025; 29 international offers. 589 internships offered and 552 accepted; internship_count records accepted internships.
Indian Institute of Technology Kanpur,2024-25,"B.Tech., B.S., Double Major and Dual Degree",,programme group,,,937,799,85.27,,,,,,,,,,Official institution report,S010,118,Provisional registration-based placement as of 18 May 2025.
Indian Institute of Technology Kanpur,2024-25,"M.Tech., MS(R), M.Sc., MBA, M.Des. and PhD",,programme group,,,593,426,71.84,,,,,,,,,,Official institution report,S010,118,Provisional registration-based placement as of 18 May 2025.
Indian Institute of Technology Kanpur,2022-23,UG four-year programmes,,NIRF graduating-batch scope,985,,,688,,239,23.0,,,,,,,,NIRF-reported,S009,UG 4-year outcomes,NIRF outcome record; denominator and scope differ from SPO registration-based data.
Indian Institute of Technology Kanpur,2023-24,UG four-year programmes,,NIRF graduating-batch scope,1133,,,754,,283,19.4,,,,,,,,NIRF-reported,S009,UG 4-year outcomes,NIRF outcome record; denominator and scope differ from SPO registration-based data.
