college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
Indian Institute of Technology Kanpur,Adobe,2024-25,,Multiple/unknown,Not publicly specified in the cited summary,Full-time / PPO / internship not consistently separated,confirmed for year,,,S010,Named in the official 2024-25 annual-report placement section.,B
Indian Institute of Technology Kanpur,Bharat Petroleum Corporation Limited (BPCL),2024-25,,Multiple/unknown,Not publicly specified in the cited summary,Full-time / PPO / internship not consistently separated,confirmed for year,,,S010,Named in the official 2024-25 annual-report placement section.,B
Indian Institute of Technology Kanpur,National Payments Corporation of India (NPCI),2024-25,,Multiple/unknown,Not publicly specified in the cited summary,Full-time / PPO / internship not consistently separated,confirmed for year,,,S010,Named in the official 2024-25 annual-report placement section.,B
Indian Institute of Technology Kanpur,Databricks,2024-25,,Multiple/unknown,Not publicly specified in the cited summary,Full-time / PPO / internship not consistently separated,confirmed for year,,,S010,Named in the official 2024-25 annual-report placement section.,B
Indian Institute of Technology Kanpur,Microsoft,2024-25,,Multiple/unknown,Not publicly specified in the cited summary,Full-time / PPO / internship not consistently separated,confirmed for year,,,S010,Named in the official 2024-25 annual-report placement section.,B
Indian Institute of Technology Kanpur,Google,2024-25,,Multiple/unknown,Not publicly specified in the cited summary,Full-time / PPO / internship not consistently separated,confirmed for year,,,S010,Named in the official 2024-25 annual-report placement section.,B
Indian Institute of Technology Kanpur,Oracle,2024-25,,Multiple/unknown,Not publicly specified in the cited summary,Full-time / PPO / internship not consistently separated,confirmed for year,,,S010,Named in the official 2024-25 annual-report placement section.,B
Indian Institute of Technology Kanpur,Qualcomm,2024-25,,Multiple/unknown,Not publicly specified in the cited summary,Full-time / PPO / internship not consistently separated,confirmed for year,,,S010,Named in the official 2024-25 annual-report placement section.,B
Indian Institute of Technology Kanpur,Intel,2024-25,,Multiple/unknown,Not publicly specified in the cited summary,Full-time / PPO / internship not consistently separated,confirmed for year,,,S010,Named in the official 2024-25 annual-report placement section.,B
Indian Institute of Technology Kanpur,Texas Instruments,2024-25,,Multiple/unknown,Not publicly specified in the cited summary,Full-time / PPO / internship not consistently separated,confirmed for year,,,S010,Named in the official 2024-25 annual-report placement section.,B
Indian Institute of Technology Kanpur,Meesho,2024-25,,Multiple/unknown,Not publicly specified in the cited summary,Full-time / PPO / internship not consistently separated,confirmed for year,,,S010,Named in the official 2024-25 annual-report placement section.,B
Indian Institute of Technology Kanpur,Shiprocket,2024-25,,Multiple/unknown,Not publicly specified in the cited summary,Full-time / PPO / internship not consistently separated,confirmed for year,,,S010,Named in the official 2024-25 annual-report placement section.,B
