college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
Indian Institute of Technology Kharagpur,Grimoire of Code,Technical,Official TSG-associated,Programming and competitive-coding society,https://gymkhana.iitkgp.ac.in/committees/tech,Listed on current TSG committee portal,2026,Not systematically verified,Current TSG/club induction process; verify active notice,active,S022,2026-06-26
Indian Institute of Technology Kharagpur,Kharagpur Data Analytics Group,Technical,Official TSG-associated,Data analytics and machine-learning society,https://gymkhana.iitkgp.ac.in/committees/tech,Listed on current TSG committee portal,2026,Not systematically verified,Current TSG/club induction process; verify active notice,active,S022,2026-06-26
Indian Institute of Technology Kharagpur,Developers’ Society,Technical,Official TSG-associated,Software development community,https://gymkhana.iitkgp.ac.in/committees/tech,Listed on current TSG committee portal,2026,Not systematically verified,Current TSG/club induction process; verify active notice,active,S022,2026-06-26
Indian Institute of Technology Kharagpur,Technology Robotix Society,Technical,Official TSG-associated,Robotics projects and competitions,https://gymkhana.iitkgp.ac.in/committees/tech,Listed on current TSG committee portal,2026,Not systematically verified,Current TSG/club induction process; verify active notice,active,S022,2026-06-26
Indian Institute of Technology Kharagpur,Kharagpur Robosoccer Students’ Group,Technical,Official TSG-associated,Autonomous robotic football and related engineering,https://gymkhana.iitkgp.ac.in/committees/tech,Listed on current TSG committee portal,2026,Not systematically verified,Current TSG/club induction process; verify active notice,active,S022,2026-06-26
Indian Institute of Technology Kharagpur,Computer Graphics Society,Technical,Official TSG-associated,Computer graphics and visual computing,https://gymkhana.iitkgp.ac.in/committees/tech,Listed on current TSG committee portal,2026,Not systematically verified,Current TSG/club induction process; verify active notice,active,S022,2026-06-26
Indian Institute of Technology Kharagpur,Business Club,Business/consulting,Official TSG-associated,"Business, finance and case activities",https://gymkhana.iitkgp.ac.in/committees/tech,Listed on current TSG committee portal,2026,Not systematically verified,Current TSG/club induction process; verify active notice,active,S022,2026-06-26
Indian Institute of Technology Kharagpur,IIT Kharagpur Quiz Club,Quiz,Official TSG-associated,Quiz practice and competitions,https://gymkhana.iitkgp.ac.in/committees/tech,Listed on current TSG committee portal,2026,Not systematically verified,Current TSG/club induction process; verify active notice,active,S022,2026-06-26
Indian Institute of Technology Kharagpur,Technology Filmmaking and Photography Society,Cultural/media,Official TSG-associated,Photography and filmmaking,https://gymkhana.iitkgp.ac.in/committees/socult,Listed on current TSG committee portal,2026,Not systematically verified,Current TSG/club induction process; verify active notice,active,S023,2026-06-26
Indian Institute of Technology Kharagpur,Technology Comedy Club,Cultural,Official TSG-associated,Comedy performance and writing,https://gymkhana.iitkgp.ac.in/committees/socult,Listed on current TSG committee portal,2026,Not systematically verified,Current TSG/club induction process; verify active notice,active,S023,2026-06-26
Indian Institute of Technology Kharagpur,Eastern Technology Music Society,Cultural/music,Official TSG-associated,Indian/eastern music activities,https://gymkhana.iitkgp.ac.in/committees/socult,Listed on current TSG committee portal,2026,Not systematically verified,Current TSG/club induction process; verify active notice,active,S023,2026-06-26
Indian Institute of Technology Kharagpur,Western Technology Music Society,Cultural/music,Official TSG-associated,Western music activities,https://gymkhana.iitkgp.ac.in/committees/socult,Listed on current TSG committee portal,2026,Not systematically verified,Current TSG/club induction process; verify active notice,active,S023,2026-06-26
Indian Institute of Technology Kharagpur,Technology Dance Society,Cultural/dance,Official TSG-associated,Dance training and performances,https://gymkhana.iitkgp.ac.in/committees/socult,Listed on current TSG committee portal,2026,Not systematically verified,Current TSG/club induction process; verify active notice,active,S023,2026-06-26
Indian Institute of Technology Kharagpur,Dramatics Society,Cultural/theatre,Official TSG-associated,Theatre and dramatics,https://gymkhana.iitkgp.ac.in/committees/socult,Listed on current TSG committee portal,2026,Not systematically verified,Current TSG/club induction process; verify active notice,active,S023,2026-06-26
Indian Institute of Technology Kharagpur,Technology Literary Society,Literary,Official TSG-associated,"Writing, literature and related events",https://gymkhana.iitkgp.ac.in/committees/socult,Listed on current TSG committee portal,2026,Not systematically verified,Current TSG/club induction process; verify active notice,active,S023,2026-06-26
Indian Institute of Technology Kharagpur,Debating Society,Literary/debate,Official TSG-associated,Debate and public speaking,https://gymkhana.iitkgp.ac.in/committees/socult,Listed on current TSG committee portal,2026,Not systematically verified,Current TSG/club induction process; verify active notice,active,S023,2026-06-26
Indian Institute of Technology Kharagpur,Chess Club,Sports,Official TSG-associated,Chess training and competition,https://gymkhana.iitkgp.ac.in/committees/sports,Listed on current TSG committee portal,2026,Not systematically verified,Current TSG/club induction process; verify active notice,active,S024,2026-06-26
Indian Institute of Technology Kharagpur,Technology Adventure Society,Sports/adventure,Official TSG-associated,Adventure and outdoor activities,https://gymkhana.iitkgp.ac.in/committees/sports,Listed on current TSG committee portal,2026,Not systematically verified,Current TSG/club induction process; verify active notice,active,S024,2026-06-26
Indian Institute of Technology Kharagpur,Technology Environment Society,Welfare/environment,Official TSG-associated,Environmental awareness and action,https://gymkhana.iitkgp.ac.in/,Listed on current TSG committee portal,2026,Not systematically verified,Current TSG/club induction process; verify active notice,active,S021,2026-06-26
Indian Institute of Technology Kharagpur,Student Welfare Group,Welfare,Official TSG-associated,Student support and welfare activities,https://gymkhana.iitkgp.ac.in/,Listed on current TSG committee portal,2026,Not systematically verified,Current TSG/club induction process; verify active notice,active,S021,2026-06-26
