college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
Indian Institute of Technology Kharagpur,106,2024,JoSAA,Round 1,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",AE,EWS,GEN-EWS rank,AI,Female-only (including Supernumerary),1513,1513,,,GEN-EWS rank,S001,
Indian Institute of Technology Kharagpur,106,2024,JoSAA,Round 2,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",AE,EWS,GEN-EWS rank,AI,Female-only (including Supernumerary),1513,1513,,,GEN-EWS rank,S001,
Indian Institute of Technology Kharagpur,106,2024,JoSAA,Round 3,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",AE,EWS,GEN-EWS rank,AI,Female-only (including Supernumerary),1513,1513,,,GEN-EWS rank,S001,
Indian Institute of Technology Kharagpur,106,2024,JoSAA,Round 4,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",AE,EWS,GEN-EWS rank,AI,Female-only (including Supernumerary),1513,1513,,,GEN-EWS rank,S001,
Indian Institute of Technology Kharagpur,106,2024,JoSAA,Round 5,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",AE,EWS,GEN-EWS rank,AI,Female-only (including Supernumerary),2021,2021,,,GEN-EWS rank,S001,
Indian Institute of Technology Kharagpur,106,2024,JoSAA,Round 1,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",AE,EWS,GEN-EWS rank,AI,Gender-Neutral,628,884,,,GEN-EWS rank,S001,
Indian Institute of Technology Kharagpur,106,2024,JoSAA,Round 2,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",AE,EWS,GEN-EWS rank,AI,Gender-Neutral,628,938,,,GEN-EWS rank,S001,
Indian Institute of Technology Kharagpur,106,2024,JoSAA,Round 3,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",AE,EWS,GEN-EWS rank,AI,Gender-Neutral,628,938,,,GEN-EWS rank,S001,
Indian Institute of Technology Kharagpur,106,2024,JoSAA,Round 4,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",AE,EWS,GEN-EWS rank,AI,Gender-Neutral,628,949,,,GEN-EWS rank,S001,
Indian Institute of Technology Kharagpur,106,2024,JoSAA,Round 5,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",AE,EWS,GEN-EWS rank,AI,Gender-Neutral,628,989,,,GEN-EWS rank,S001,
Indian Institute of Technology Kharagpur,106,2024,JoSAA,Round 1,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",AE,OBC-NCL,OBC-NCL rank,AI,Female-only (including Supernumerary),4427,5359,,,OBC-NCL rank,S001,
Indian Institute of Technology Kharagpur,106,2024,JoSAA,Round 2,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",AE,OBC-NCL,OBC-NCL rank,AI,Female-only (including Supernumerary),4427,5359,,,OBC-NCL rank,S001,
Indian Institute of Technology Kharagpur,106,2024,JoSAA,Round 3,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",AE,OBC-NCL,OBC-NCL rank,AI,Female-only (including Supernumerary),4427,5359,,,OBC-NCL rank,S001,
