college_name,placement_year,programme,branch,record_scope,graduating_students,eligible_students,registered_students,students_placed,placement_percentage,higher_studies_count,median_package_lpa,average_package_lpa,highest_domestic_package_lpa,highest_international_package_lpa,internship_count,ppo_count,average_stipend,highest_stipend,source_type,source_id,source_page,notes
Indian Institute of Technology Kharagpur,2022-23,B.Arch.,Architecture,Programme-group; CDC registered students,,,36,34,94,,,,268,,,,,,Institute annual report,S012,410; 605,"Highest package is institute-wide CTC, not B.Arch-specific."
Indian Institute of Technology Kharagpur,2022-23,B.Tech.,All B.Tech. branches,Programme-group; CDC registered students,,,503,422,84,,,,,,,,,,Institute annual report,S012,410,Registration-based scope.
Indian Institute of Technology Kharagpur,2022-23,Dual Degree,All dual-degree branches,Programme-group; CDC registered students,,,602,537,89,,,,,,,,,,Institute annual report,S012,410,Historical dual-degree programme scope.
Indian Institute of Technology Kharagpur,2022-23,Integrated M.Sc.,All 5-year integrated M.Sc. programmes,Programme-group; CDC registered students,,,212,176,83,,,,,,,,,,Institute annual report,S012,410,Historical programme structure.
Indian Institute of Technology Kharagpur,2022-23,All programmes,Overall,Institute-wide CDC registration,,,2256,1615,72,,,,268,,900,404,,,Institute annual report,S012,410; 605,"1,742 offers received and 1,615 accepted; 45 international offers; 404 PPOs, 345 accepted. Overall branch placement narrative also reports 85%, reflecting a different scope."
Indian Institute of Technology Kharagpur,2022-23,UG 4-year,All 4-year UG,NIRF graduating cohort,580,,,460,79.31,40,24,,,,,,,,NIRF institution submission,S008,UG 4-year outcomes,Median is NIRF salary for placed graduates.
Indian Institute of Technology Kharagpur,2022-23,UG 5-year,All 5-year UG,NIRF graduating cohort,819,,,637,77.78,62,21.28,,,,,,,,NIRF institution submission,S008,UG 5-year outcomes,Median is NIRF salary for placed graduates.
Indian Institute of Technology Kharagpur,2023-24,B.Arch.,Architecture,Programme-group; CDC registered students,,,37,19,51,,,,169,,,,,,Institute annual report,S011,706,Highest international CTC institute-wide; not programme-specific.
Indian Institute of Technology Kharagpur,2023-24,B.Tech.,All B.Tech. branches,Programme-group; CDC registered students,,,695,540,78,,,,,,,,,,Institute annual report,S011,706,Registration-based scope.
Indian Institute of Technology Kharagpur,2023-24,Dual Degree,All dual-degree branches,Programme-group; CDC registered students,,,641,441,69,,,,,,,,,,Institute annual report,S011,706,Registration-based scope.
Indian Institute of Technology Kharagpur,2023-24,Integrated M.Sc.,All 5-year integrated M.Sc. programmes,Programme-group; CDC registered students,,,224,140,63,,,,,,,,,,Institute annual report,S011,706,Registration-based scope.
Indian Institute of Technology Kharagpur,2023-24,All programmes,Overall,Institute-wide CDC registration,,,2667,1647,62,,,,,169,3303,469,,,Institute annual report,S011,706-707,"1,731 offers received and 1,647 accepted; 412 PPOs accepted; 36 international offers. Internship count is students enlisted; 1,280 campus-selected, 1,985 self-arranged and 38 foreign."
Indian Institute of Technology Kharagpur,2023-24,UG 4-year,All 4-year UG,NIRF graduating cohort,679,,,517,76.14,83,19.76,,,,,,,,NIRF institution submission,S008,UG 4-year outcomes,Median is NIRF salary for placed graduates.
Indian Institute of Technology Kharagpur,2023-24,UG 5-year,All 5-year UG,NIRF graduating cohort,638,,,442,69.28,97,20.43,,,,,,,,NIRF institution submission,S008,UG 5-year outcomes,Median is NIRF salary for placed graduates.
Indian Institute of Technology Kharagpur,2024-25,B.Arch.,Architecture,Programme-group; CDC registered students,,,42,21,50,,,,214,,,,,,Institute annual report,S010,505,"Highest package institute-wide, not programme-specific."
Indian Institute of Technology Kharagpur,2024-25,B.Tech.,All B.Tech. branches,Programme-group; CDC registered students,,,633,441,70,,,,,,,,,,Institute annual report,S010,505,Registration-based scope.
Indian Institute of Technology Kharagpur,2024-25,Dual Degree,All dual-degree branches,Programme-group; CDC registered students,,,773,533,69,,,,,,,,,,Institute annual report,S010,505,Registration-based scope.
Indian Institute of Technology Kharagpur,2024-25,B.S. 4-year,All B.S. branches,Programme-group; CDC registered students,,,151,90,60,,,,,,,,,,Institute annual report,S010,505,Registration-based scope.
Indian Institute of Technology Kharagpur,2024-25,Integrated M.Sc.,All 5-year integrated M.Sc. programmes,Programme-group; CDC registered students,,,241,152,63,,,,,,,,,,Institute annual report,S010,505,Registration-based scope.
Indian Institute of Technology Kharagpur,2024-25,All programmes,Overall,Institute-wide CDC registration,,,3090,1735,56,,,,214,,3248,409,,,Institute annual report,S010,504-505,"1,811 offers received and 1,735 accepted; 409 PPOs and 366 accepted in the detailed CDC section; 25 international offers; internship count is students enlisted, with 813 campus and 2,435 self-arranged/foreign."
