college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
Indian Institute of Technology Madras,110,2023,JoSAA,Round 1,Regular JoSAA allotment,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,EWS,GEN-EWS rank,AI,Female-only (including Supernumerary),1306,1306,,,GEN-EWS rank,S001,
Indian Institute of Technology Madras,110,2023,JoSAA,Round 1,Regular JoSAA allotment,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,EWS,GEN-EWS rank,AI,Gender-Neutral,451,701,,,GEN-EWS rank,S001,
Indian Institute of Technology Madras,110,2023,JoSAA,Round 1,Regular JoSAA allotment,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,OBC-NCL,OBC-NCL rank,AI,Female-only (including Supernumerary),1741,3594,,,OBC-NCL rank,S001,
Indian Institute of Technology Madras,110,2023,JoSAA,Round 1,Regular JoSAA allotment,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,OBC-NCL,OBC-NCL rank,AI,Gender-Neutral,1131,1606,,,OBC-NCL rank,S001,
Indian Institute of Technology Madras,110,2023,JoSAA,Round 1,Regular JoSAA allotment,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,OPEN,CRL,AI,Female-only (including Supernumerary),4062,5990,,,CRL,S001,
Indian Institute of Technology Madras,110,2023,JoSAA,Round 1,Regular JoSAA allotment,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,OPEN,CRL,AI,Gender-Neutral,422,3001,,,CRL,S001,
Indian Institute of Technology Madras,110,2023,JoSAA,Round 1,Regular JoSAA allotment,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,SC,SC rank,AI,Female-only (including Supernumerary),787,1628,,,SC rank,S001,
Indian Institute of Technology Madras,110,2023,JoSAA,Round 1,Regular JoSAA allotment,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,SC,SC rank,AI,Gender-Neutral,281,1202,,,SC rank,S001,
Indian Institute of Technology Madras,110,2023,JoSAA,Round 1,Regular JoSAA allotment,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,ST,ST rank,AI,Female-only (including Supernumerary),548,548,,,ST rank,S001,
Indian Institute of Technology Madras,110,2023,JoSAA,Round 1,Regular JoSAA allotment,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,ST,ST rank,AI,Gender-Neutral,317,518,,,ST rank,S001,
Indian Institute of Technology Madras,110,2023,JoSAA,Round 1,Regular JoSAA allotment,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Aerospace Engineering Dual Degree,EWS,GEN-EWS rank,AI,Gender-Neutral,897,897,,,GEN-EWS rank,S001,
Indian Institute of Technology Madras,110,2023,JoSAA,Round 1,Regular JoSAA allotment,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Aerospace Engineering Dual Degree,OBC-NCL,OBC-NCL rank,AI,Female-only (including Supernumerary),3019,3019,,,OBC-NCL rank,S001,
