college_name,placement_year,programme,branch,record_scope,graduating_students,eligible_students,registered_students,students_placed,placement_percentage,higher_studies_count,median_package_lpa,average_package_lpa,highest_domestic_package_lpa,highest_international_package_lpa,internship_count,ppo_count,average_stipend,highest_stipend,source_type,source_id,source_page,notes
Indian Institute of Technology Madras,2021-22,UG 4-year programmes,,overall UG4,388,,,297,,78,17.0,,,,,,,,NIRF-reported,S008,1-2,NIRF graduating-in-minimum-time denominator; not directly comparable with placement-office registration denominator.
Indian Institute of Technology Madras,2022-23,UG 4-year programmes,,overall UG4,639,,,496,,96,16.6344,,,,,,,,NIRF-reported,S008,1-2,NIRF graduating-in-minimum-time denominator; not directly comparable with placement-office registration denominator.
Indian Institute of Technology Madras,2023-24,UG 4-year programmes,,overall UG4,714,,,549,,153,17.5,,,,,,,,NIRF-reported,S008,1-2,NIRF graduating-in-minimum-time denominator; not directly comparable with placement-office registration denominator.
Indian Institute of Technology Madras,2021-22,UG 5-year programmes,,overall UG5,426,,,352,,65,18.96,,,,,,,,NIRF-reported,S008,1-2,NIRF graduating-in-minimum-time denominator; not directly comparable with placement-office registration denominator.
Indian Institute of Technology Madras,2022-23,UG 5-year programmes,,overall UG5,385,,,325,,41,17.0,,,,,,,,NIRF-reported,S008,1-2,NIRF graduating-in-minimum-time denominator; not directly comparable with placement-office registration denominator.
Indian Institute of Technology Madras,2023-24,UG 5-year programmes,,overall UG5,244,,,215,,24,19.4,,,,,,,,NIRF-reported,S008,1-2,NIRF graduating-in-minimum-time denominator; not directly comparable with placement-office registration denominator.
Indian Institute of Technology Madras,2023-24,,,overall campus placement,,,,1091,,,19.6,22.0,,,,300,,,college-reported,S013,,"1,091 students placed in 256 companies through Phase I and II; 235 of 300 PPOs accepted. Reported median/average apply to offers overall; >80% B.Tech/dual-degree placement stated, but exact denominator not published."
Indian Institute of Technology Madras,2024-25,,,overall internship,,,,,,,,,,,724,255,,,college-reported,S012,,724 students secured internships across 199 companies; 255 PPOs offered and 202 accepted. PPO accepted count retained in note because schema has one PPO field.
Indian Institute of Technology Madras,2024-25,B.Tech,Aerospace Engineering,branch-specific B.Tech,,,,,,,16.2,17.1,,,,,,,college-reported,S009,13,CTC values; branch denominator and placed count not published in CTC summary.
Indian Institute of Technology Madras,2024-25,B.Tech,Chemical Engineering,branch-specific B.Tech,,,,,,,17.4,18.8,,,,,,,college-reported,S009,13,CTC values; branch denominator and placed count not published in CTC summary.
Indian Institute of Technology Madras,2024-25,B.Tech,Civil Engineering,branch-specific B.Tech,,,,,,,17.2,17.5,,,,,,,college-reported,S009,13,CTC values; branch denominator and placed count not published in CTC summary.
Indian Institute of Technology Madras,2024-25,B.Tech,Computer Science and Engineering,branch-specific B.Tech,,,,,,,46.0,53.2,,,,,,,college-reported,S009,13,CTC values; branch denominator and placed count not published in CTC summary.
