college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
Indian Institute of Technology Madras,Adobe,2022-23,,unknown,,full-time placement,confirmed for year,,,S011,"Named in the official IIT Madras 2022-23 placement-season company list; role, selection count and package were not published company-wise.",B
Indian Institute of Technology Madras,Agnikul Cosmos,2022-23,,unknown,,full-time placement,confirmed for year,,,S011,"Named in the official IIT Madras 2022-23 placement-season company list; role, selection count and package were not published company-wise.",B
Indian Institute of Technology Madras,Air India,2022-23,,unknown,,full-time placement,confirmed for year,,,S011,"Named in the official IIT Madras 2022-23 placement-season company list; role, selection count and package were not published company-wise.",B
Indian Institute of Technology Madras,Airbus,2022-23,,unknown,,full-time placement,confirmed for year,,,S011,"Named in the official IIT Madras 2022-23 placement-season company list; role, selection count and package were not published company-wise.",B
Indian Institute of Technology Madras,AlphaGrep Securities,2022-23,,unknown,,full-time placement,confirmed for year,,,S011,"Named in the official IIT Madras 2022-23 placement-season company list; role, selection count and package were not published company-wise.",B
Indian Institute of Technology Madras,Amazon,2022-23,,unknown,,full-time placement,confirmed for year,,,S011,"Named in the official IIT Madras 2022-23 placement-season company list; role, selection count and package were not published company-wise.",B
Indian Institute of Technology Madras,AMD,2022-23,,unknown,,full-time placement,confirmed for year,,,S011,"Named in the official IIT Madras 2022-23 placement-season company list; role, selection count and package were not published company-wise.",B
Indian Institute of Technology Madras,American Express,2022-23,,unknown,,full-time placement,confirmed for year,,,S011,"Named in the official IIT Madras 2022-23 placement-season company list; role, selection count and package were not published company-wise.",B
Indian Institute of Technology Madras,Analog Devices,2022-23,,unknown,,full-time placement,confirmed for year,,,S011,"Named in the official IIT Madras 2022-23 placement-season company list; role, selection count and package were not published company-wise.",B
Indian Institute of Technology Madras,Apple,2022-23,,unknown,,full-time placement,confirmed for year,,,S011,"Named in the official IIT Madras 2022-23 placement-season company list; role, selection count and package were not published company-wise.",B
Indian Institute of Technology Madras,Applied Materials,2022-23,,unknown,,full-time placement,confirmed for year,,,S011,"Named in the official IIT Madras 2022-23 placement-season company list; role, selection count and package were not published company-wise.",B
Indian Institute of Technology Madras,Arthur D. Little,2022-23,,unknown,,full-time placement,confirmed for year,,,S011,"Named in the official IIT Madras 2022-23 placement-season company list; role, selection count and package were not published company-wise.",B
Indian Institute of Technology Madras,Ather Energy,2022-23,,unknown,,full-time placement,confirmed for year,,,S011,"Named in the official IIT Madras 2022-23 placement-season company list; role, selection count and package were not published company-wise.",B
Indian Institute of Technology Madras,Axis Bank,2022-23,,unknown,,full-time placement,confirmed for year,,,S011,"Named in the official IIT Madras 2022-23 placement-season company list; role, selection count and package were not published company-wise.",B
Indian Institute of Technology Madras,Bain & Company,2022-23,,unknown,,full-time placement,confirmed for year,,,S011,"Named in the official IIT Madras 2022-23 placement-season company list; role, selection count and package were not published company-wise.",B
Indian Institute of Technology Madras,Bajaj Auto / Chetak Technology,2022-23,,unknown,,full-time placement,confirmed for year,,,S011,"Named in the official IIT Madras 2022-23 placement-season company list; role, selection count and package were not published company-wise.",B
Indian Institute of Technology Madras,Boston Consulting Group,2022-23,,unknown,,full-time placement,confirmed for year,,,S011,"Named in the official IIT Madras 2022-23 placement-season company list; role, selection count and package were not published company-wise.",B
Indian Institute of Technology Madras,Biocon Biologics,2022-23,,unknown,,full-time placement,confirmed for year,,,S011,"Named in the official IIT Madras 2022-23 placement-season company list; role, selection count and package were not published company-wise.",B
Indian Institute of Technology Madras,Caterpillar,2022-23,,unknown,,full-time placement,confirmed for year,,,S011,"Named in the official IIT Madras 2022-23 placement-season company list; role, selection count and package were not published company-wise.",B
Indian Institute of Technology Madras,Cisco,2022-23,,unknown,,full-time placement,confirmed for year,,,S011,"Named in the official IIT Madras 2022-23 placement-season company list; role, selection count and package were not published company-wise.",B
Indian Institute of Technology Madras,Citi,2022-23,,unknown,,full-time placement,confirmed for year,,,S011,"Named in the official IIT Madras 2022-23 placement-season company list; role, selection count and package were not published company-wise.",B
Indian Institute of Technology Madras,Cohesity,2022-23,,unknown,,full-time placement,confirmed for year,,,S011,"Named in the official IIT Madras 2022-23 placement-season company list; role, selection count and package were not published company-wise.",B
Indian Institute of Technology Madras,Collins Aerospace,2022-23,,unknown,,full-time placement,confirmed for year,,,S011,"Named in the official IIT Madras 2022-23 placement-season company list; role, selection count and package were not published company-wise.",B
