college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 1,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,EWS,GEN-EWS rank,AI,Female-only (including Supernumerary),4599,4599,,,GEN-EWS rank,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 2,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,EWS,GEN-EWS rank,AI,Female-only (including Supernumerary),4599,4599,,,GEN-EWS rank,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 3,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,EWS,GEN-EWS rank,AI,Female-only (including Supernumerary),4599,4599,,,GEN-EWS rank,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 4,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,EWS,GEN-EWS rank,AI,Female-only (including Supernumerary),4599,4599,,,GEN-EWS rank,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 5,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,EWS,GEN-EWS rank,AI,Female-only (including Supernumerary),4599,4599,,,GEN-EWS rank,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 1,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,EWS,GEN-EWS rank,AI,Gender-Neutral,2916,2926,,,GEN-EWS rank,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 2,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,EWS,GEN-EWS rank,AI,Gender-Neutral,2916,2926,,,GEN-EWS rank,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 3,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,EWS,GEN-EWS rank,AI,Gender-Neutral,2916,2926,,,GEN-EWS rank,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 4,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,EWS,GEN-EWS rank,AI,Gender-Neutral,2916,2926,,,GEN-EWS rank,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 5,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,EWS,GEN-EWS rank,AI,Gender-Neutral,2916,2926,,,GEN-EWS rank,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 1,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OBC-NCL,OBC-NCL rank,AI,Gender-Neutral,5379,6968,,,OBC-NCL rank,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 2,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OBC-NCL,OBC-NCL rank,AI,Gender-Neutral,5379,6968,,,OBC-NCL rank,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 3,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OBC-NCL,OBC-NCL rank,AI,Gender-Neutral,5379,6968,,,OBC-NCL rank,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 4,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OBC-NCL,OBC-NCL rank,AI,Gender-Neutral,5379,6968,,,OBC-NCL rank,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 5,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OBC-NCL,OBC-NCL rank,AI,Gender-Neutral,5379,6973,,,OBC-NCL rank,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 1,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN,CRL,AI,Female-only (including Supernumerary),17302,19354,,,CRL,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 2,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN,CRL,AI,Female-only (including Supernumerary),17302,19354,,,CRL,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 3,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN,CRL,AI,Female-only (including Supernumerary),17302,19354,,,CRL,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 4,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN,CRL,AI,Female-only (including Supernumerary),17302,19354,,,CRL,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 5,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN,CRL,AI,Female-only (including Supernumerary),17302,19354,,,CRL,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 1,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN,CRL,AI,Gender-Neutral,3105,16381,,,CRL,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 2,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN,CRL,AI,Gender-Neutral,3105,16381,,,CRL,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 3,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN,CRL,AI,Gender-Neutral,3105,16381,,,CRL,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 4,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN,CRL,AI,Gender-Neutral,3105,16381,,,CRL,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 5,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN,CRL,AI,Gender-Neutral,3105,19885,,,CRL,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 1,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,SC,SC rank,AI,Female-only (including Supernumerary),1739,1739,,,SC rank,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 2,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,SC,SC rank,AI,Female-only (including Supernumerary),1739,1739,,,SC rank,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 3,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,SC,SC rank,AI,Female-only (including Supernumerary),1739,1739,,,SC rank,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 4,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,SC,SC rank,AI,Female-only (including Supernumerary),1739,1739,,,SC rank,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 5,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,SC,SC rank,AI,Female-only (including Supernumerary),1739,1739,,,SC rank,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 1,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,SC,SC rank,AI,Gender-Neutral,3473,3792,,,SC rank,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 2,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,SC,SC rank,AI,Gender-Neutral,3473,3792,,,SC rank,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 3,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,SC,SC rank,AI,Gender-Neutral,3473,3792,,,SC rank,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 4,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,SC,SC rank,AI,Gender-Neutral,3473,3792,,,SC rank,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 5,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",Architecture,SC,SC rank,AI,Gender-Neutral,3473,3792,,,SC rank,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 1,Regular JoSAA round,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",BSBE,EWS,GEN-EWS rank,AI,Female-only (including Supernumerary),2617,2617,,,GEN-EWS rank,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 2,Regular JoSAA round,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",BSBE,EWS,GEN-EWS rank,AI,Female-only (including Supernumerary),2617,2617,,,GEN-EWS rank,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 3,Regular JoSAA round,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",BSBE,EWS,GEN-EWS rank,AI,Female-only (including Supernumerary),2617,2617,,,GEN-EWS rank,S001,
Indian Institute of Technology Roorkee,113,2024,JoSAA,Round 4,Regular JoSAA round,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",BSBE,EWS,GEN-EWS rank,AI,Female-only (including Supernumerary),2617,2617,,,GEN-EWS rank,S001,
