college_name,official_branch_name,normalized_branch,degree,duration_years,approved_intake,female_supernumerary_seats,tfws_seats,nba_status,academic_year,source_id
Malaviya National Institute of Technology Jaipur,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,B.Tech,4,115,0,,NBA accredited through 30 June 2027 in the latest institute-hosted status document.,2026-27,SRC001
Malaviya National Institute of Technology Jaipur,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,B.Tech,4,115,0,,Latest institute-hosted NBA status is dated 2022 and showed validity only through 30 June 2022; current renewal requires verification.,2026-27,SRC001
Malaviya National Institute of Technology Jaipur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,B.Tech,4,117,0,,Latest institute-hosted NBA status is dated 2022 and said currently not accredited; current status requires verification.,2026-27,SRC001
Malaviya National Institute of Technology Jaipur,"Electrical Engineering (4 Years, Bachelor of Technology)",Electrical Engineering,B.Tech,4,117,0,,Latest institute-hosted NBA status is dated 2022 and showed validity only through 30 June 2022; current renewal requires verification.,2026-27,SRC001
Malaviya National Institute of Technology Jaipur,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Electronics and Communication Engineering,B.Tech,4,117,0,,Latest institute-hosted NBA status showed validity through 30 June 2024; current renewal requires verification.,2026-27,SRC001
Malaviya National Institute of Technology Jaipur,"Engineering Physics (4 Years, Bachelor of Technology)",Engineering Physics,B.Tech,4,30,0,,,2026-27,SRC001
Malaviya National Institute of Technology Jaipur,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",Artificial Intelligence and Data Engineering,B.Tech,4,40,0,,,2026-27,SRC001
Malaviya National Institute of Technology Jaipur,"Mathematics and Computing (4 Years, Bachelor of Technology)",Mathematics and Computing,B.Tech,4,30,0,,,2026-27,SRC001
Malaviya National Institute of Technology Jaipur,"Mechanical Engineering (4 Years, Bachelor of Technology)",Mechanical Engineering,B.Tech,4,116,0,,Latest institute-hosted NBA status is dated 2022 and showed validity only through 30 June 2022; current renewal requires verification.,2026-27,SRC001
Malaviya National Institute of Technology Jaipur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Metallurgical and Materials Engineering,B.Tech,4,74,0,,Latest institute-hosted NBA status is dated 2022 and showed validity only through 30 June 2022; current renewal requires verification.,2026-27,SRC001
Malaviya National Institute of Technology Jaipur,"Architecture (5 Years, Bachelor of Architecture)",Architecture,B.Arch,5,77,0,,,2026-27,SRC001
