college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
Malaviya National Institute of Technology Jaipur,Data Science Club,Technical,Official institute society/club listing,Technical student club under MNIT Jaipur student societies.,https://mnit.ac.in/TS/,Listed as active under the Science and Technology Society; individual 2026 event not verified.,,,Not published on the reviewed page,active,SRC022,2026-06-26
Malaviya National Institute of Technology Jaipur,Computer Science Club,Technical,Official institute society/club listing,Technical student club under MNIT Jaipur student societies.,https://mnit.ac.in/TS/,Listed as active under the Science and Technology Society; individual 2026 event not verified.,,,Not published on the reviewed page,active,SRC022,2026-06-26
Malaviya National Institute of Technology Jaipur,Robotics Club,Technical,Official institute society/club listing,Technical student club under MNIT Jaipur student societies.,https://mnit.ac.in/TS/,Listed as active under the Science and Technology Society; individual 2026 event not verified.,,,Not published on the reviewed page,active,SRC022,2026-06-26
Malaviya National Institute of Technology Jaipur,Aeromodelling Club,Technical,Official institute society/club listing,Technical student club under MNIT Jaipur student societies.,https://mnit.ac.in/TS/,Listed as active by the relevant official society page.,,,Not published on the reviewed page,active,SRC022,2026-06-26
Malaviya National Institute of Technology Jaipur,Astronomy Club,Science,Official institute society/club listing,Science student club under MNIT Jaipur student societies.,https://mnit.ac.in/TS/,Listed as active by the relevant official society page.,,,Not published on the reviewed page,active,SRC022,2026-06-26
Malaviya National Institute of Technology Jaipur,Economics and Finances Club,Finance,Official institute society/club listing,Finance student club under MNIT Jaipur student societies.,https://mnit.ac.in/TS/,Listed as active by the relevant official society page.,,,Not published on the reviewed page,active,SRC022,2026-06-26
Malaviya National Institute of Technology Jaipur,Technical Communication House,Communication,Official institute society/club listing,Communication student club under MNIT Jaipur student societies.,https://mnit.ac.in/TS/,Listed as active by the relevant official society page.,,,Not published on the reviewed page,active,SRC022,2026-06-26
Malaviya National Institute of Technology Jaipur,Tinkering Lab,Innovation,Official institute society/club listing,Innovation student club under MNIT Jaipur student societies.,https://mnit.ac.in/TS/,Listed as active by the relevant official society page.,,,Not published on the reviewed page,active,SRC022,2026-06-26
Malaviya National Institute of Technology Jaipur,Consultancy Club,Consulting,Official institute society/club listing,Consulting student club under MNIT Jaipur student societies.,https://mnit.ac.in/TS/,Listed as active by the relevant official society page.,,,Not published on the reviewed page,active,SRC022,2026-06-26
Malaviya National Institute of Technology Jaipur,Infosec Club,Cybersecurity,Official institute society/club listing,Cybersecurity student club under MNIT Jaipur student societies.,https://mnit.ac.in/TS/,Listed as active under the Science and Technology Society; individual 2026 event not verified.,,,Not published on the reviewed page,active,SRC022,2026-06-26
Malaviya National Institute of Technology Jaipur,Entrepreneurship Club,Entrepreneurship,Official institute society/club listing,Entrepreneurship student club under MNIT Jaipur student societies.,https://mnit.ac.in/TS/,Listed as active under the Science and Technology Society; individual 2026 event not verified.,,,Not published on the reviewed page,active,SRC022,2026-06-26
Malaviya National Institute of Technology Jaipur,Science Club,Science,Official institute society/club listing,Science student club under MNIT Jaipur student societies.,https://mnit.ac.in/TS/,Listed as active by the relevant official society page.,,,Not published on the reviewed page,active,SRC022,2026-06-26
Malaviya National Institute of Technology Jaipur,Bureau of Indian Standards Club,Standards and engineering,Official institute society/club listing,Standards and engineering student club under MNIT Jaipur student societies.,https://mnit.ac.in/TS/,Listed as active by the relevant official society page.,,,Not published on the reviewed page,active,SRC022,2026-06-26
Malaviya National Institute of Technology Jaipur,Debate Club,Literary,Official institute society/club listing,Literary student club under MNIT Jaipur student societies.,https://mnit.ac.in/cacs/,Listed as active by the relevant official society page.,,,Not published on the reviewed page,active,SRC021,2026-06-26
Malaviya National Institute of Technology Jaipur,Creative Arts Club,Arts,Official institute society/club listing,Arts student club under MNIT Jaipur student societies.,https://mnit.ac.in/cacs/,Listed as active by the relevant official society page.,,,Not published on the reviewed page,active,SRC021,2026-06-26
Malaviya National Institute of Technology Jaipur,Dance Club,Cultural,Official institute society/club listing,Cultural student club under MNIT Jaipur student societies.,https://www.mnit.ac.in/cms/uploads/2026/03/Feb2026NLEng.pdf,Participated in Youthfest 2026 / January 2026 institute activities.,2026-01-14,,Not published on the reviewed page,active,SRC023,2026-06-26
Malaviya National Institute of Technology Jaipur,Photography Club,Media,Official institute society/club listing,Media student club under MNIT Jaipur student societies.,https://mnit.ac.in/cacs/,Listed as active by the relevant official society page.,,,Not published on the reviewed page,active,SRC021,2026-06-26
Malaviya National Institute of Technology Jaipur,Drama Club,Theatre,Official institute society/club listing,Theatre student club under MNIT Jaipur student societies.,https://mnit.ac.in/cacs/,Listed as active by the relevant official society page.,,,Not published on the reviewed page,active,SRC021,2026-06-26
Malaviya National Institute of Technology Jaipur,Music Club,Music,Official institute society/club listing,Music student club under MNIT Jaipur student societies.,https://www.mnit.ac.in/cms/uploads/2026/03/Feb2026NLEng.pdf,Participated in Youthfest 2026 / January 2026 institute activities.,2026-01-14,,Not published on the reviewed page,active,SRC023,2026-06-26
Malaviya National Institute of Technology Jaipur,National Service Scheme (NSS),Social service,Official institute society/club listing,Social service student club under MNIT Jaipur student societies.,https://www.mnit.ac.in/cms/uploads/2026/03/Feb2026NLEng.pdf,Participated in Youthfest 2026 / January 2026 institute activities.,2026-01-14,,Not published on the reviewed page,active,SRC023,2026-06-26
