college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,EWS,EWS category rank,Home State,Gender-Neutral,155,196,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OBC-NCL,OBC-NCL category rank,Home State,Female-only (including Supernumerary),526,761,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OBC-NCL,OBC-NCL category rank,Home State,Gender-Neutral,629,1551,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN,CRL,Home State,Female-only (including Supernumerary),581,699,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN,CRL,Home State,Gender-Neutral,155,1494,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,SC,SC category rank,Home State,Female-only (including Supernumerary),119,119,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,SC,SC category rank,Home State,Gender-Neutral,248,526,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,ST,ST category rank,Home State,Female-only (including Supernumerary),20,20,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,ST,ST category rank,Home State,Gender-Neutral,27,35,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,EWS,EWS category rank,Other State,Female-only (including Supernumerary),44,44,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,EWS,EWS category rank,Other State,Gender-Neutral,96,109,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OBC-NCL,OBC-NCL category rank,Other State,Female-only (including Supernumerary),290,292,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OBC-NCL,OBC-NCL category rank,Other State,Gender-Neutral,248,301,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN,CRL,Other State,Female-only (including Supernumerary),183,392,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN,CRL,Other State,Gender-Neutral,416,514,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,SC,SC category rank,Other State,Female-only (including Supernumerary),143,143,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,SC,SC category rank,Other State,Gender-Neutral,80,148,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,ST,ST category rank,Other State,Female-only (including Supernumerary),59,59,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,ST,ST category rank,Other State,Gender-Neutral,18,45,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",Artificial Intelligence and Data Engineering,EWS,EWS category rank,Home State,Female-only (including Supernumerary),1641,1641,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",Artificial Intelligence and Data Engineering,EWS,EWS category rank,Home State,Gender-Neutral,951,951,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",Artificial Intelligence and Data Engineering,OBC-NCL,OBC-NCL category rank,Home State,Female-only (including Supernumerary),8550,8550,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",Artificial Intelligence and Data Engineering,OBC-NCL,OBC-NCL category rank,Home State,Gender-Neutral,2154,2449,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",Artificial Intelligence and Data Engineering,OPEN,CRL,Home State,Gender-Neutral,4106,6547,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",Artificial Intelligence and Data Engineering,SC,SC category rank,Home State,Female-only (including Supernumerary),2540,2540,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",Artificial Intelligence and Data Engineering,SC,SC category rank,Home State,Gender-Neutral,714,1106,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",Artificial Intelligence and Data Engineering,ST,ST category rank,Home State,Female-only (including Supernumerary),2008,2008,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",Artificial Intelligence and Data Engineering,ST,ST category rank,Home State,Gender-Neutral,454,454,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",Artificial Intelligence and Data Engineering,EWS,EWS category rank,Other State,Female-only (including Supernumerary),1545,1545,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",Artificial Intelligence and Data Engineering,EWS,EWS category rank,Other State,Gender-Neutral,753,768,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",Artificial Intelligence and Data Engineering,OBC-NCL,OBC-NCL category rank,Other State,Female-only (including Supernumerary),4998,4998,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",Artificial Intelligence and Data Engineering,OBC-NCL,OBC-NCL category rank,Other State,Gender-Neutral,1654,1878,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",Artificial Intelligence and Data Engineering,OPEN,CRL,Other State,Female-only (including Supernumerary),7664,7664,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",Artificial Intelligence and Data Engineering,OPEN,CRL,Other State,Gender-Neutral,4977,5434,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",Artificial Intelligence and Data Engineering,SC,SC category rank,Other State,Female-only (including Supernumerary),3086,3086,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",Artificial Intelligence and Data Engineering,SC,SC category rank,Other State,Gender-Neutral,930,976,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",Artificial Intelligence and Data Engineering,ST,ST category rank,Other State,Gender-Neutral,281,281,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,EWS,EWS category rank,Home State,Female-only (including Supernumerary),5959,5959,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,EWS,EWS category rank,Home State,Gender-Neutral,4069,4324,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,OBC-NCL,OBC-NCL category rank,Home State,Female-only (including Supernumerary),10340,12375,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
Malaviya National Institute of Technology Jaipur,202,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,OBC-NCL,OBC-NCL category rank,Home State,Gender-Neutral,7026,8796,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
