college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
Malaviya National Institute of Technology Jaipur,D.E. Shaw,2024-25,Software/quantitative roles (specific role not stated),software/finance/analytics,,Full-time/internship/PPO not distinguished,confirmed for year in official placement report,,,SRC014,"Named in the report’s prominent companies visited list; exact role, branches, selections and package were not published.",B
Malaviya National Institute of Technology Jaipur,Zomato,2024-25,Technology/product roles (specific role not stated),software/product/technology,,Full-time/internship/PPO not distinguished,confirmed for year in official placement report,,,SRC014,"Named in the report’s prominent companies visited list; exact role, branches, selections and package were not published.",B
Malaviya National Institute of Technology Jaipur,Microsoft,2024-25,Software engineering (specific role not stated),software/product/technology,,Full-time/internship/PPO not distinguished,confirmed for year in official placement report,,,SRC014,"Named in the report’s prominent companies visited list; exact role, branches, selections and package were not published.",B
Malaviya National Institute of Technology Jaipur,Google,2024-25,Software engineering (specific role not stated),software/product/technology,,Full-time/internship/PPO not distinguished,confirmed for year in official placement report,,,SRC014,"Named in the report’s prominent companies visited list; exact role, branches, selections and package were not published.",B
Malaviya National Institute of Technology Jaipur,Texas Instruments,2024-25,Electronics/semiconductor and software roles (specific role not stated),electronics/VLSI,,Full-time/internship/PPO not distinguished,confirmed for year in official placement report,,,SRC014,"Named in the report’s prominent companies visited list; exact role, branches, selections and package were not published.",B
Malaviya National Institute of Technology Jaipur,Salesforce,2024-25,Software engineering (specific role not stated),software/product/technology,,Full-time/internship/PPO not distinguished,confirmed for year in official placement report,,,SRC014,"Named in the report’s prominent companies visited list; exact role, branches, selections and package were not published.",B
Malaviya National Institute of Technology Jaipur,Arcesium,2024-25,Software/financial technology roles (specific role not stated),software/product/technology,,Full-time/internship/PPO not distinguished,confirmed for year in official placement report,,,SRC014,"Named in the report’s prominent companies visited list; exact role, branches, selections and package were not published.",B
Malaviya National Institute of Technology Jaipur,Oracle,2024-25,Software engineering (specific role not stated),software/product/technology,,Full-time/internship/PPO not distinguished,confirmed for year in official placement report,,,SRC014,"Named in the report’s prominent companies visited list; exact role, branches, selections and package were not published.",B
Malaviya National Institute of Technology Jaipur,Cleartrip,2024-25,Software/product roles (specific role not stated),software/product/technology,,Full-time/internship/PPO not distinguished,confirmed for year in official placement report,,,SRC014,"Named in the report’s prominent companies visited list; exact role, branches, selections and package were not published.",B
Malaviya National Institute of Technology Jaipur,Procore,2024-25,Software engineering (specific role not stated),software/product/technology,,Full-time/internship/PPO not distinguished,confirmed for year in official placement report,,,SRC014,"Named in the report’s prominent companies visited list; exact role, branches, selections and package were not published.",B
Malaviya National Institute of Technology Jaipur,NVIDIA,2024-25,Semiconductor/software roles (specific role not stated),electronics/VLSI,,Full-time/internship/PPO not distinguished,confirmed for year in official placement report,,,SRC014,"Named in the report’s prominent companies visited list; exact role, branches, selections and package were not published.",B
Malaviya National Institute of Technology Jaipur,Visa,2024-25,Software/analytics roles (specific role not stated),software/product/technology,,Full-time/internship/PPO not distinguished,confirmed for year in official placement report,,,SRC014,"Named in the report’s prominent companies visited list; exact role, branches, selections and package were not published.",B
Malaviya National Institute of Technology Jaipur,Marvell,2024-25,Semiconductor roles (specific role not stated),electronics/VLSI,,Full-time/internship/PPO not distinguished,confirmed for year in official placement report,,,SRC014,"Named in the report’s prominent companies visited list; exact role, branches, selections and package were not published.",B
