college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
"Manipal Institute of Technology, Manipal",IEEE Student Branch Manipal,technical/professional,Officially listed by MIT Student Welfare,technical and professional student organisation,https://www.manipal.edu/mit/mit-experience/student-welfare.html,Current dated activity not independently verified,,,Verify with club/student-welfare office,unable to verify,SRC019,2026-06-27
"Manipal Institute of Technology, Manipal",ACM Manipal,technical/computing,Officially listed by MIT Student Welfare,technical and computing student organisation,https://www.manipal.edu/mit/mit-experience/student-welfare.html,Current dated activity not independently verified,,,Verify with club/student-welfare office,unable to verify,SRC019,2026-06-27
"Manipal Institute of Technology, Manipal",ACM-W Manipal,technical/diversity,Officially listed by MIT Student Welfare,technical and diversity student organisation,https://www.manipal.edu/mit/mit-experience/student-welfare.html,Current dated activity not independently verified,,,Verify with club/student-welfare office,unable to verify,SRC019,2026-06-27
"Manipal Institute of Technology, Manipal",Apple Developers Group,technical/development,Officially listed by MIT Student Welfare,technical and development student organisation,https://www.manipal.edu/mit/mit-experience/student-welfare.html,Current dated activity not independently verified,,,Verify with club/student-welfare office,unable to verify,SRC019,2026-06-27
"Manipal Institute of Technology, Manipal",Google Developer Student Club,technical/development,Officially listed by MIT Student Welfare,technical and development student organisation,https://www.manipal.edu/mit/mit-experience/student-welfare.html,Current dated activity not independently verified,,,Verify with club/student-welfare office,unable to verify,SRC019,2026-06-27
"Manipal Institute of Technology, Manipal",IECSE,technical/computing,Officially listed by MIT Student Welfare,technical and computing student organisation,https://www.manipal.edu/mit/mit-experience/student-welfare.html,Current dated activity not independently verified,,,Verify with club/student-welfare office,unable to verify,SRC019,2026-06-27
"Manipal Institute of Technology, Manipal",IOSD Manipal,technical/open source,Officially listed by MIT Student Welfare,technical and open source student organisation,https://www.manipal.edu/mit/mit-experience/student-welfare.html,Current dated activity not independently verified,,,Verify with club/student-welfare office,unable to verify,SRC019,2026-06-27
"Manipal Institute of Technology, Manipal",MIST,technical/information security,Officially listed by MIT Student Welfare,technical and information security student organisation,https://www.manipal.edu/mit/mit-experience/student-welfare.html,Current dated activity not independently verified,,,Verify with club/student-welfare office,unable to verify,SRC019,2026-06-27
"Manipal Institute of Technology, Manipal",MOSS,technical/open source,Officially listed by MIT Student Welfare,technical and open source student organisation,https://www.manipal.edu/mit/mit-experience/student-welfare.html,Current dated activity not independently verified,,,Verify with club/student-welfare office,unable to verify,SRC019,2026-06-27
"Manipal Institute of Technology, Manipal",Research Society Manipal,technical/research,Officially listed by MIT Student Welfare,technical and research student organisation,https://www.manipal.edu/mit/mit-experience/student-welfare.html,Current dated activity not independently verified,,,Verify with club/student-welfare office,unable to verify,SRC019,2026-06-27
"Manipal Institute of Technology, Manipal",SAE-IM,technical/automotive,Officially listed by MIT Student Welfare,technical and automotive student organisation,https://www.manipal.edu/mit/mit-experience/student-welfare.html,Current dated activity not independently verified,,,Verify with club/student-welfare office,unable to verify,SRC019,2026-06-27
"Manipal Institute of Technology, Manipal",Astronomy Club,technical/science,Officially listed by MIT Student Welfare,technical and science student organisation,https://www.manipal.edu/mit/mit-experience/student-welfare.html,Current dated activity not independently verified,,,Verify with club/student-welfare office,unable to verify,SRC019,2026-06-27
"Manipal Institute of Technology, Manipal",Data Alchemists,technical/data,Officially listed by MIT Student Welfare,technical and data student organisation,https://www.manipal.edu/mit/mit-experience/student-welfare.html,Current dated activity not independently verified,,,Verify with club/student-welfare office,unable to verify,SRC019,2026-06-27
"Manipal Institute of Technology, Manipal",Enactus Manipal,entrepreneurship/social impact,Officially listed by MIT Student Welfare,entrepreneurship and social impact student organisation,https://www.manipal.edu/mit/mit-experience/student-welfare.html,Current dated activity not independently verified,,,Verify with club/student-welfare office,unable to verify,SRC019,2026-06-27
"Manipal Institute of Technology, Manipal",Aaina Dramatics,cultural/drama,Officially listed by MIT Student Welfare,cultural and drama student organisation,https://www.manipal.edu/mit/mit-experience/student-welfare.html,Current dated activity not independently verified,,,Verify with club/student-welfare office,unable to verify,SRC019,2026-06-27
"Manipal Institute of Technology, Manipal",Chords & Co.,cultural/music,Officially listed by MIT Student Welfare,cultural and music student organisation,https://www.manipal.edu/mit/mit-experience/student-welfare.html,Current dated activity not independently verified,,,Verify with club/student-welfare office,unable to verify,SRC019,2026-06-27
"Manipal Institute of Technology, Manipal","Literary, Debate and Quiz Club",literary/debate/quiz,Officially listed by MIT Student Welfare,literary and debate and quiz student organisation,https://www.manipal.edu/mit/mit-experience/student-welfare.html,Current dated activity not independently verified,,,Verify with club/student-welfare office,unable to verify,SRC019,2026-06-27
"Manipal Institute of Technology, Manipal",Mudra,cultural/dance,Officially listed by MIT Student Welfare,cultural and dance student organisation,https://www.manipal.edu/mit/mit-experience/student-welfare.html,Current dated activity not independently verified,,,Verify with club/student-welfare office,unable to verify,SRC019,2026-06-27
"Manipal Institute of Technology, Manipal",Rotaract Club,service/community,Officially listed by MIT Student Welfare,service and community student organisation,https://www.manipal.edu/mit/mit-experience/student-welfare.html,Current dated activity not independently verified,,,Verify with club/student-welfare office,unable to verify,SRC019,2026-06-27
"Manipal Institute of Technology, Manipal",Showstoppers,cultural/performance,Officially listed by MIT Student Welfare,cultural and performance student organisation,https://www.manipal.edu/mit/mit-experience/student-welfare.html,Current dated activity not independently verified,,,Verify with club/student-welfare office,unable to verify,SRC019,2026-06-27
