college_name,academic_year,programme,category_or_quota,annual_tuition_inr,semester_tuition_inr,full_programme_tuition_inr,admission_fee_inr,registration_fee_inr,exam_fee_inr,refundable_deposit_inr,annual_hostel_fee_inr,annual_mess_fee_inr,other_compulsory_fee_inr,calculated_four_year_cost_inr,source_id,source_page,notes
"Manipal Institute of Technology, Manipal",2026-27,B.Tech in Aeronautical Engineering,General,303000,,1212000,,,,10000,,,186000,1966000,SRC005,10,Published four-year academic total; hostel/mess excluded.
"Manipal Institute of Technology, Manipal",2026-27,B.Tech in Biotechnology,General,277000,,1108000,,,,10000,,,171000,1802000,SRC005,10,Published four-year academic total; hostel/mess excluded.
"Manipal Institute of Technology, Manipal",2026-27,B.Tech in Chemical Engineering,General,277000,,1108000,,,,10000,,,171000,1802000,SRC005,10,Published four-year academic total; hostel/mess excluded.
"Manipal Institute of Technology, Manipal",2026-27,B.Tech in Civil Engineering,General,277000,,1108000,,,,10000,,,171000,1802000,SRC005,10,Published four-year academic total; hostel/mess excluded.
"Manipal Institute of Technology, Manipal",2026-27,B.Tech in Computer Science and Engineering,General,376000,,1504000,,,,10000,,,232000,2442000,SRC005,10,Published four-year academic total; hostel/mess excluded.
"Manipal Institute of Technology, Manipal",2026-27,B.Tech in Computer Science and Financial Technology,General,376000,,1504000,,,,10000,,,232000,2442000,SRC005,10,Published four-year academic total; hostel/mess excluded.
"Manipal Institute of Technology, Manipal",2026-27,B.Tech in Electrical and Electronics Engineering,General,277000,,1108000,,,,10000,,,171000,1802000,SRC005,10,Published four-year academic total; hostel/mess excluded.
"Manipal Institute of Technology, Manipal",2026-27,B.Tech in Electronics & Communication Engineering,General,376000,,1504000,,,,10000,,,232000,2442000,SRC005,10,Published four-year academic total; hostel/mess excluded.
"Manipal Institute of Technology, Manipal",2026-27,B.Tech in Mathematics and Computing,General,376000,,1504000,,,,10000,,,232000,2442000,SRC005,10,Published four-year academic total; hostel/mess excluded.
"Manipal Institute of Technology, Manipal",2026-27,B.Tech in Mechanical Engineering,General,277000,,1108000,,,,10000,,,171000,1802000,SRC005,10,Published four-year academic total; hostel/mess excluded.
"Manipal Institute of Technology, Manipal",2026-27,B.Tech in Mechatronics,General,303000,,1212000,,,,10000,,,186000,1966000,SRC005,10,Published four-year academic total; hostel/mess excluded.
"Manipal Institute of Technology, Manipal",2026-27,B.Tech in Electronics Engineering,General; umbrella fee label,277000,,1108000,,,,10000,,,171000,1802000,SRC005,10,Do not auto-map to EIE/CPS/VLSI without MAHE confirmation.
"Manipal Institute of Technology, Manipal",2026-27,B.Tech in Automobile Engineering,General,,,,,,,,,,,,SRC005,10,No unambiguous regular-entry row found; lateral-entry/umbrella rows not substituted.
"Manipal Institute of Technology, Manipal",2026-27,B.Tech in Biomedical Engineering,General,,,,,,,,,,,,SRC005,10,No unambiguous regular-entry row found; lateral-entry/umbrella rows not substituted.
"Manipal Institute of Technology, Manipal",2026-27,B.Tech in Industrial Engineering,General,,,,,,,,,,,,SRC005,10,No unambiguous regular-entry row found; lateral-entry/umbrella rows not substituted.
"Manipal Institute of Technology, Manipal",2026-27,B.Tech in Electronics and Instrumentation Engineering,General,,,,,,,,,,,,SRC005,10,No unambiguous regular-entry row found; lateral-entry/umbrella rows not substituted.
"Manipal Institute of Technology, Manipal",2026-27,B.Tech in Cyber Physical Systems,General,,,,,,,,,,,,SRC005,10,No unambiguous regular-entry row found; lateral-entry/umbrella rows not substituted.
"Manipal Institute of Technology, Manipal",2026-27,B.Tech in Electronics Engineering (VLSI Design and Technology),General,,,,,,,,,,,,SRC005,10,No unambiguous regular-entry row found; lateral-entry/umbrella rows not substituted.
"Manipal Institute of Technology, Manipal",2026-27,First-year hostel accommodation,Boys V/VI triple common non-AC,,,,,,,7500,58000,62000,0,,SRC006,MIT first-year tables,"Published first-year total INR 127,500; subject to availability."
"Manipal Institute of Technology, Manipal",2026-27,First-year hostel accommodation,Boys V/VI double common non-AC,,,,,,,7500,61000,62000,0,,SRC006,MIT first-year tables,"Published first-year total INR 130,500; subject to availability."
"Manipal Institute of Technology, Manipal",2026-27,First-year hostel accommodation,Boys XVI/XVII double attached AC,,,,,,,15000,105000,62000,10000,,SRC006,MIT first-year tables,"Published first-year total INR 192,000; subject to availability."
"Manipal Institute of Technology, Manipal",2026-27,First-year hostel accommodation,Boys XVI deluxe double attached AC,,,,,,,15000,116000,62000,10000,,SRC006,MIT first-year tables,"Published first-year total INR 203,000; subject to availability."
"Manipal Institute of Technology, Manipal",2026-27,First-year hostel accommodation,Boys XVIII/XIX single attached AC,,,,,,,15000,162000,62000,15000,,SRC006,MIT first-year tables,"Published first-year total INR 254,000; subject to availability."
"Manipal Institute of Technology, Manipal",2026-27,First-year hostel accommodation,Girls I/II/III/IV triple common non-AC,,,,,,,7500,58000,62000,0,,SRC006,MIT first-year tables,"Published first-year total INR 127,500; subject to availability."
"Manipal Institute of Technology, Manipal",2026-27,First-year hostel accommodation,Girls VII double attached AC,,,,,,,15000,105000,62000,10000,,SRC006,MIT first-year tables,"Published first-year total INR 192,000; subject to availability."
"Manipal Institute of Technology, Manipal",2026-27,First-year hostel accommodation,"Girls XXII double attached AC, limited",,,,,,,15000,127000,62000,10000,,SRC006,MIT first-year tables,"Published first-year total INR 214,000; subject to availability."
