college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
"Manipal Institute of Technology, Manipal",Citrix R&D,,,Technology/software or financial technology; exact role unpublished,Not officially stated,Placement/internship/PPO group listing,"Officially listed, year unavailable",,Grouped among recruiters offering CTC of INR 10 lakh or more; company-specific value unstated,SRC017,Undated institution-published CSE page.,C
"Manipal Institute of Technology, Manipal",Cloudera,,,Technology/software or financial technology; exact role unpublished,Not officially stated,Placement/internship/PPO group listing,"Officially listed, year unavailable",,Grouped among recruiters offering CTC of INR 10 lakh or more; company-specific value unstated,SRC017,Undated institution-published CSE page.,C
"Manipal Institute of Technology, Manipal",Cohesity,,,Technology/software or financial technology; exact role unpublished,Not officially stated,Placement/internship/PPO group listing,"Officially listed, year unavailable",,Grouped among recruiters offering CTC of INR 10 lakh or more; company-specific value unstated,SRC017,Undated institution-published CSE page.,C
"Manipal Institute of Technology, Manipal",DBOI Global Services,,,Technology/software or financial technology; exact role unpublished,Not officially stated,Placement/internship/PPO group listing,"Officially listed, year unavailable",,Grouped among recruiters offering CTC of INR 10 lakh or more; company-specific value unstated,SRC017,Undated institution-published CSE page.,C
"Manipal Institute of Technology, Manipal",Goldman Sachs,,,Technology/software or financial technology; exact role unpublished,Not officially stated,Placement/internship/PPO group listing,"Officially listed, year unavailable",,Grouped among recruiters offering CTC of INR 10 lakh or more; company-specific value unstated,SRC017,Undated institution-published CSE page.,C
"Manipal Institute of Technology, Manipal",Komprise India,,,Technology/software or financial technology; exact role unpublished,Not officially stated,Placement/internship/PPO group listing,"Officially listed, year unavailable",,Grouped among recruiters offering CTC of INR 10 lakh or more; company-specific value unstated,SRC017,Undated institution-published CSE page.,C
"Manipal Institute of Technology, Manipal",Microsoft,,,Technology/software or financial technology; exact role unpublished,Not officially stated,Placement/internship/PPO group listing,"Officially listed, year unavailable",,Grouped among recruiters offering CTC of INR 10 lakh or more; company-specific value unstated,SRC017,Undated institution-published CSE page.,C
"Manipal Institute of Technology, Manipal",SAP Labs,,,Technology/software or financial technology; exact role unpublished,Not officially stated,Placement/internship/PPO group listing,"Officially listed, year unavailable",,Grouped among recruiters offering CTC of INR 10 lakh or more; company-specific value unstated,SRC017,Undated institution-published CSE page.,C
"Manipal Institute of Technology, Manipal",VMware,,,Technology/software or financial technology; exact role unpublished,Not officially stated,Placement/internship/PPO group listing,"Officially listed, year unavailable",,Grouped among recruiters offering CTC of INR 10 lakh or more; company-specific value unstated,SRC017,Undated institution-published CSE page.,C
"Manipal Institute of Technology, Manipal",Western Digital,,,Technology/software or financial technology; exact role unpublished,Not officially stated,Placement/internship/PPO group listing,"Officially listed, year unavailable",,Grouped among recruiters offering CTC of INR 10 lakh or more; company-specific value unstated,SRC017,Undated institution-published CSE page.,C
"Manipal Institute of Technology, Manipal",Amazon,,,,Not officially stated,,Historical/official example; year unavailable,,,SRC018,Named on official page without year.,C
"Manipal Institute of Technology, Manipal",Deloitte,,,,Not officially stated,,Historical/official example; year unavailable,,,SRC018,Named on official page without year.,C
"Manipal Institute of Technology, Manipal",Infosys,,,,Not officially stated,,Historical/official example; year unavailable,,,SRC018,Named on official page without year.,C
"Manipal Institute of Technology, Manipal",Samsung,,,,Not officially stated,,Historical/official example; year unavailable,,,SRC018,Named on official page without year.,C
