college_name,official_branch_name,normalized_branch,degree,duration_years,approved_intake,female_supernumerary_seats,tfws_seats,nba_status,academic_year,source_id
National Institute of Technology Calicut,"Bio Technology (4 Years, Bachelor of Technology)",Biotechnology,B.Tech,4,37,0,,NBA accreditation reported for 2023-2026; renewal/current status requires verification,2026-27,SRC001
National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,B.Tech,4,116,0,,,2026-27,SRC001
National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,B.Tech,4,172,0,,NBA accredited through 30 June 2028,2026-27,SRC001
National Institute of Technology Calicut,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,B.Tech,4,172,3,,NBA accredited through 30 June 2028,2026-27,SRC001
National Institute of Technology Calicut,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Electronics and Communication Engineering,B.Tech,4,172,0,,NBA accredited through 30 June 2028,2026-27,SRC001
National Institute of Technology Calicut,"Engineering Physics (4 Years, Bachelor of Technology)",Engineering Physics,B.Tech,4,37,0,,NBA accredited for six years; exact validity dates require letter verification,2026-27,SRC001
National Institute of Technology Calicut,"Materials Science and Engineering (4 Years, Bachelor of Technology)",Materials Science and Engineering,B.Tech,4,30,0,,,2026-27,SRC001
National Institute of Technology Calicut,"Mechanical Engineering (4 Years, Bachelor of Technology)",Mechanical Engineering,B.Tech,4,172,31,,NBA accredited through 30 June 2028,2026-27,SRC001
National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",Electrical and Electronics Engineering,B.Tech,4,172,0,,NBA accredited through 30 June 2028,2026-27,SRC001
National Institute of Technology Calicut,"Production Engineering (4 Years, Bachelor of Technology)",Production Engineering,B.Tech,4,59,0,,,2026-27,SRC001
National Institute of Technology Calicut,"Energy Engineering (4 Years, Bachelor of Technology)",Energy Engineering,B.Tech,4,40,0,,,2026-27,SRC001
National Institute of Technology Calicut,"Architecture (5 Years, Bachelor of Architecture)",Architecture,B.Arch,5,59,0,,,2026-27,SRC001
National Institute of Technology Calicut,"B. Tech. (Mathematics & Computing) M. Tech. in (Mathematics & Computing) (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",Mathematics and Computing,B.Tech. + M.Tech. (Dual Degree),5,40,0,,,2026-27,SRC001
