college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
National Institute of Technology Calicut,Club Mathematica,Technical / mathematics,Officially listed,Mathematics and problem-solving club,,,,,Not published,Official page listed; recent activity requires verification,SRC019,2026-06-26
National Institute of Technology Calicut,Indian Society for Technical Education (ISTE),Professional / technical,Officially listed,Student chapter of ISTE,,,,,Not published,Official page listed,SRC019,2026-06-26
National Institute of Technology Calicut,Nature Club,Environment,Officially listed,Environmental awareness and nature activities,,,,,Not published,Official page listed,SRC019,2026-06-26
National Institute of Technology Calicut,National Service Scheme (NSS),Community service,Officially listed,"Four NSS units; community teaching, farming and social service are described by the institute",,Weekly/community activities described by institute,,,Unit-based enrolment; details not published,Institution reports active service,SRC001,2026-06-26
National Institute of Technology Calicut,Adventure Club,Outdoor / adventure,Officially listed,Adventure and outdoor activity club,,,,,Not published,Official page listed,SRC019,2026-06-26
National Institute of Technology Calicut,Club Unwired,Technical / electronics,Officially listed,"Electronics, embedded systems and technical projects",,,,,Not published,Official page listed,SRC019,2026-06-26
National Institute of Technology Calicut,Robotics Interest Group (RIG),Technical / robotics,Officially listed,Robotics projects and competitions,,ROBOCON participation/achievement referenced on official pages,2023,ROBOCON-related activity,Selection/process not published,Official page and dated achievement found,SRC019,2026-06-26
National Institute of Technology Calicut,FOSSCell,Technical / open source,Officially listed,Free and open-source software community,,,,,Not published,Official page listed,SRC019,2026-06-26
National Institute of Technology Calicut,Club Innovation (SEF),Innovation / entrepreneurship,Officially listed,Innovation and entrepreneurship activities,,,,,Not published,Official page listed,SRC019,2026-06-26
National Institute of Technology Calicut,CPHUB,Technical / competitive programming,Officially listed,Competitive programming club focused on problem solving and career development,https://cphub-nitc.github.io/,,,,Not published,Official page live,SRC019,2026-06-26
National Institute of Technology Calicut,National Cadet Corps (NCC),Service / leadership,Officially listed,NCC activities and leadership training,,,,,Unit-based enrolment,Official page listed,SRC019,2026-06-26
National Institute of Technology Calicut,Artificial Intelligence Club,Technical / AI,Officially listed,Artificial intelligence learning and project community,,,,,Not published,Official page listed,SRC019,2026-06-26
National Institute of Technology Calicut,Research Forum,Research,Officially listed,Research discussion and academic engagement,,,,,Not published,Official page listed,SRC019,2026-06-26
National Institute of Technology Calicut,Music Club,Cultural,Named in official JoSAA institute profile,Music and performance activities,,,,,Not published,Officially named; current page/activity requires verification,SRC001,2026-06-26
National Institute of Technology Calicut,Literary and Debating Club,Cultural / literary,Named in official JoSAA institute profile,"Literary, speaking and debating activities",,Official activity located in institute material,2024,,Not published,Officially named; active status should be reconfirmed,SRC001,2026-06-26
National Institute of Technology Calicut,SAE India Collegiate Club,Professional / automotive,Named in official JoSAA institute profile,Automotive engineering and SAE-related student activity,,,,,Not published,Officially named; current activity requires verification,SRC001,2026-06-26
National Institute of Technology Calicut,Enquire Quiz Club,Cultural / quiz,Named in official JoSAA institute profile,Quizzing and knowledge events,,,,,Not published,Officially named; current activity requires verification,SRC001,2026-06-26
