college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
National Institute of Technology Calicut,206,2024,JoSAA,Round 1,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,EWS,EWS category rank,Home State,Female-only (including Supernumerary),111,111,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 2,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,EWS,EWS category rank,Home State,Female-only (including Supernumerary),479,479,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 3,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,EWS,EWS category rank,Home State,Female-only (including Supernumerary),479,479,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 4,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,EWS,EWS category rank,Home State,Female-only (including Supernumerary),479,479,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 5,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,EWS,EWS category rank,Home State,Female-only (including Supernumerary),479,479,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 1,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,EWS,EWS category rank,Home State,Gender-Neutral,211,479,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 2,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,EWS,EWS category rank,Home State,Gender-Neutral,211,595,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 3,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,EWS,EWS category rank,Home State,Gender-Neutral,211,595,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 4,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,EWS,EWS category rank,Home State,Gender-Neutral,211,595,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 5,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,EWS,EWS category rank,Home State,Gender-Neutral,211,595,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 1,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OBC-NCL,OBC-NCL category rank,Home State,Female-only (including Supernumerary),96,105,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 2,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OBC-NCL,OBC-NCL category rank,Home State,Female-only (including Supernumerary),96,105,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 3,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OBC-NCL,OBC-NCL category rank,Home State,Female-only (including Supernumerary),96,105,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 4,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OBC-NCL,OBC-NCL category rank,Home State,Female-only (including Supernumerary),96,105,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 5,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OBC-NCL,OBC-NCL category rank,Home State,Female-only (including Supernumerary),96,105,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 1,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OBC-NCL,OBC-NCL category rank,Home State,Gender-Neutral,78,133,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 2,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OBC-NCL,OBC-NCL category rank,Home State,Gender-Neutral,78,133,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 3,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OBC-NCL,OBC-NCL category rank,Home State,Gender-Neutral,78,133,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 4,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OBC-NCL,OBC-NCL category rank,Home State,Gender-Neutral,78,133,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 5,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OBC-NCL,OBC-NCL category rank,Home State,Gender-Neutral,78,133,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 1,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN,CRL,Home State,Female-only (including Supernumerary),83,138,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 2,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN,CRL,Home State,Female-only (including Supernumerary),83,138,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 3,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN,CRL,Home State,Female-only (including Supernumerary),83,138,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 4,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN,CRL,Home State,Female-only (including Supernumerary),83,138,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 5,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN,CRL,Home State,Female-only (including Supernumerary),83,138,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 1,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN,CRL,Home State,Gender-Neutral,68,271,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 2,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN,CRL,Home State,Gender-Neutral,68,271,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 3,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN,CRL,Home State,Gender-Neutral,68,271,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 4,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN,CRL,Home State,Gender-Neutral,68,271,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 5,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN,CRL,Home State,Gender-Neutral,68,271,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 1,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN (PwD),CRL-PwD,Home State,Gender-Neutral,62,62,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 2,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN (PwD),CRL-PwD,Home State,Gender-Neutral,57,62,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 3,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN (PwD),CRL-PwD,Home State,Gender-Neutral,57,62,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 4,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN (PwD),CRL-PwD,Home State,Gender-Neutral,62,62,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 5,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,OPEN (PwD),CRL-PwD,Home State,Gender-Neutral,62,62,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 1,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,SC,SC category rank,Home State,Female-only (including Supernumerary),298,298,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 2,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,SC,SC category rank,Home State,Female-only (including Supernumerary),298,298,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 3,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,SC,SC category rank,Home State,Female-only (including Supernumerary),298,298,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 4,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,SC,SC category rank,Home State,Female-only (including Supernumerary),298,298,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 5,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,SC,SC category rank,Home State,Female-only (including Supernumerary),298,298,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 1,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,SC,SC category rank,Home State,Gender-Neutral,13,107,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
National Institute of Technology Calicut,206,2024,JoSAA,Round 2,Regular seat allocation,"Architecture (5 Years, Bachelor of Architecture)",Architecture,SC,SC category rank,Home State,Gender-Neutral,13,289,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
