college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
National Institute of Technology Calicut,D. E. Shaw,,,,,Campus recruitment,Named in official NITC placement notice,,,SRC016,"Company appears in an official institute notice. Role, branch eligibility, selection count and package were not published company-wise.",B
National Institute of Technology Calicut,Salesforce,,,,,Campus recruitment,Named in official NITC placement notice,,,SRC016,"Company appears in an official institute notice. Role, branch eligibility, selection count and package were not published company-wise.",B
National Institute of Technology Calicut,Google,,,,,Campus recruitment,Named in official NITC placement notice,,,SRC016,"Company appears in an official institute notice. Role, branch eligibility, selection count and package were not published company-wise.",B
National Institute of Technology Calicut,Goldman Sachs,,,,,Campus recruitment,Named in official NITC placement notice,,,SRC016,"Company appears in an official institute notice. Role, branch eligibility, selection count and package were not published company-wise.",B
National Institute of Technology Calicut,Texas Instruments,,,,,Campus recruitment,Named in official NITC placement notice,,,SRC016,"Company appears in an official institute notice. Role, branch eligibility, selection count and package were not published company-wise.",B
National Institute of Technology Calicut,Qualcomm,,,,,Campus recruitment,Named in official NITC placement notice,,,SRC016,"Company appears in an official institute notice. Role, branch eligibility, selection count and package were not published company-wise.",B
National Institute of Technology Calicut,Oracle,,,,,Campus recruitment,Named in official NITC placement notice,,,SRC016,"Company appears in an official institute notice. Role, branch eligibility, selection count and package were not published company-wise.",B
National Institute of Technology Calicut,Cisco,,,,,Campus recruitment,Named in official NITC placement notice,,,SRC016,"Company appears in an official institute notice. Role, branch eligibility, selection count and package were not published company-wise.",B
National Institute of Technology Calicut,Atlassian,,,,,Campus recruitment,Named in official NITC placement notice,,,SRC016,"Company appears in an official institute notice. Role, branch eligibility, selection count and package were not published company-wise.",B
National Institute of Technology Calicut,SAP Labs,,,,,Campus recruitment,Named in official NITC placement notice,,,SRC016,"Company appears in an official institute notice. Role, branch eligibility, selection count and package were not published company-wise.",B
National Institute of Technology Calicut,Micron,,,,,Campus recruitment,Named in official NITC placement notice,,,SRC016,"Company appears in an official institute notice. Role, branch eligibility, selection count and package were not published company-wise.",B
National Institute of Technology Calicut,Marvell,,,,,Campus recruitment,Named in official NITC placement notice,,,SRC016,"Company appears in an official institute notice. Role, branch eligibility, selection count and package were not published company-wise.",B
National Institute of Technology Calicut,Samsung,,,,,Campus recruitment,Named in official NITC placement notice,,,SRC016,"Company appears in an official institute notice. Role, branch eligibility, selection count and package were not published company-wise.",B
National Institute of Technology Calicut,Fastenal,,,,,Campus recruitment,Named in official NITC placement notice,,,SRC016,"Company appears in an official institute notice. Role, branch eligibility, selection count and package were not published company-wise.",B
National Institute of Technology Calicut,Larsen & Toubro,,,,,Campus recruitment,Named in official NITC placement notice,,,SRC016,"Company appears in an official institute notice. Role, branch eligibility, selection count and package were not published company-wise.",B
National Institute of Technology Calicut,IBM,,,,,Campus recruitment,Named in official NITC placement notice,,,SRC016,"Company appears in an official institute notice. Role, branch eligibility, selection count and package were not published company-wise.",B
National Institute of Technology Calicut,TCS,,,,,Campus recruitment,Named in official NITC placement notice,,,SRC016,"Company appears in an official institute notice. Role, branch eligibility, selection count and package were not published company-wise.",B
National Institute of Technology Calicut,Caterpillar,,,,,Campus recruitment,Named in official NITC placement notice,,,SRC016,"Company appears in an official institute notice. Role, branch eligibility, selection count and package were not published company-wise.",B
National Institute of Technology Calicut,HCL,,,,,Campus recruitment,Named in official NITC placement notice,,,SRC016,"Company appears in an official institute notice. Role, branch eligibility, selection count and package were not published company-wise.",B
National Institute of Technology Calicut,Bosch,,,,,Campus recruitment,Named in official NITC placement notice,,,SRC016,"Company appears in an official institute notice. Role, branch eligibility, selection count and package were not published company-wise.",B
National Institute of Technology Calicut,Infosys,,,,,Campus recruitment,Named in official NITC placement notice,,,SRC016,"Company appears in an official institute notice. Role, branch eligibility, selection count and package were not published company-wise.",B
National Institute of Technology Calicut,Wipro,,,,,Campus recruitment,Named in official NITC placement notice,,,SRC016,"Company appears in an official institute notice. Role, branch eligibility, selection count and package were not published company-wise.",B
National Institute of Technology Calicut,Maruti Suzuki,,,,,Campus recruitment,Named in official NITC placement notice,,,SRC016,"Company appears in an official institute notice. Role, branch eligibility, selection count and package were not published company-wise.",B
National Institute of Technology Calicut,Tata Motors,,,,,Campus recruitment,Named in official NITC placement notice,,,SRC016,"Company appears in an official institute notice. Role, branch eligibility, selection count and package were not published company-wise.",B
